"title","wikibase_item","Distributor"
"كوكو (فيلم 2017)","Q5815826","distributor = [[والت ديزني ستوديوز موشن بيكشرز]] "
"مهمة: مستحيلة - تقدير الموضع الجزء الأول","Q61876370","distributor = [[باراماونت بيكتشرز]] "
"عداء المتاهة (فيلم)","Q13099455","distributor = [[توينتيث سينشوري ستوديوز"
"جراند ثفت أوتو: فايس سيتي ستوريز","Q94640","distributor = [[تيك-تو إنترأكتيف]] "
"سيد الخواتم: خواتم السلطة","Q59149852","distributor = [[أمازون (شركة)"
"قتلة زهرة القمر (فيلم)","Q66316924","distributor = {{قائمة بسيطة"
"جراند ثفت أوتو: ليبرتي سيتي ستوريز","Q94778","distributor = [[تيك-تو إنترأكتيف]] "
"إله الحرب (لعبة فيديو 2018)","Q18345138","distributor = | series = ''[[سوني إنتراكتيف إنترتينمنت"
"127 ساعة (فيلم)","Q174371","distributor = {{قائمة غير مرقمة"
"لا تتنفس (فيلم)","Q21450470","distributor = {{قائمة بسيطة"
"ثاء رمزا للثأر","Q5890","distributor = [[وارنر برذرز]]<ref name=bfi>{{استشهاد ويب"
"الموتى السائرون: العالم فيما بعد","Q77422787","distributor = [[شبكات إيه إم سي"
"أنا الماعز الأليف","Q16201137","distributor = |released = {{تاريخ صدور فيلم"
"ملاذكرد (فيلم)","Q111190696","distributor = [[Mars Dağıtım"
"ديد باي دايلايت","Q24514682","distributor = | series = "
"فتاة القطار (فيلم 2016)","Q21433535","distributor = [[يونيفرسال بيكشرز]] (في جميع أنحاء العالم)<br />{{وإو"
"الصبي الذي سخر الرياح (فيلم)","Q60738660","distributor = [[نتفليكس]] "
"إنسايد مان","Q81224","distributor = [[يونيفرسال بيكشرز"
"أميرة (فيلم)","Q108907348","distributor = ماد سولوشنس <ref>{{استشهاد ويب"
"شيء من الأمل","Q58814939","distributor = [[نتفليكس]] "
"بولت (فيلم 2008)","Q212792","distributor = [[والت ديزني ستوديوز موشن بيكشرز"
"المفترس (فيلم)","Q25461297","distributor = [[توينتيث سينشوري ستوديوز"
"الجمال الداخلي (مسلسل)","Q55430524","distributor = | network = "
"القصر الأبيض (فيلم)","Q1472274","distributor = [[يونيفرسال بيكشرز]] "
"نبض القلب (فيلم هندي)","Q2059136","distributor = | released = 11 أغسطس 2000 "
"باور رينجرز (فيلم)","Q21648810","distributor = {{قائمة بسيطة"
"كراش أوف ذا تايتنز","Q869532","distributor = [[فيفندي غيمز]] "
"عرض غير لائق","Q603448","distributor = [[باراماونت بيكتشرز]] "
"9 أغاني","Q277457","distributor = [[Optimum Releasing]] "
"آنا كارنينا (فيلم 1915)","Q4767137","distributor = [[فوكس فيلم"
"على حافة الحب","Q471569","distributor = | released = {{تاريخ صدور فيلم"
"الحافة (فيلم)","Q759333","distributor = [[توينتيث سينشوري ستوديوز"
"عرابو طوكيو","Q917278","distributor = [[سوني بيكتشرز انترتينمنت اليابان]] "
"لا تتنفس 2","Q100701374","distributor = {{Ill-WD2"
"أحبني الليلة","Q1331849","distributor = [[باراماونت بيكتشرز]] "
"بوم بيتش","Q16246617","distributor = [[آب ستور]]<br />[[جوجل بلاي]] "
"إبراهيم (فيلم)","Q630496","distributor = [[شبكة تورنر التلفزيونية"
"امرأة تدعى غولدا","Q2658625","distributor = [[أوبريشن برايم تايم]] "
"متتالية فرنسية (فيلم)","Q13722122","distributor = {{قائمة بسيطة"
"ابنة الجنرال (فيلم)","Q1425487","distributor = [[باراماونت بيكتشرز]] "
"الموج (فيلم)","Q19372190","distributor = [[Nordisk Film]]distribusjon "
"عيون الملاك (فيلم)","Q531675","distributor = [[وارنر برذرز]] "
"الغريب (مسلسل قصير)","Q59622879","distributor = | budget = "
"العودة إلى البحيرة الزرقاء","Q1114179","distributor = [[كولومبيا بيكتشرز]] "
"أميريكان أولترا (فيلم)","Q16354845","distributor = [[ليونزغيت إنترتينمنت"
"القرون الوسطى (فيلم)","Q30602709","distributor = Bioscop<ref name=distributor>{{استشهاد ويب "
"دراغون بول زد : شجرة القوة","Q1254986","distributor = [[شركة توي]] "
"ميمي (فيلم هندي 2021)","Q85785582","distributor = [[جوسينما]]<br />[[نتفليكس]] "
"أنتوراج (مسلسل)","Q253205","distributor = [[تلفزيون وارنر بروس]]<br />[[إتش بي أو]] "
"1 أكتوبر (فيلم)","Q16733965","distributor = استوديوهات التأثيرات الذهبية <br /> فيلم وان للتوزيع "
"محاكاة (فيلم)","Q1423555","distributor = [[ميرماكس]] "
"محامي جوسون","Q115941173","distributor = | network = "
"ماكس باين 2: ذا فول أوف ماكس باين","Q946795","distributor = 3دي ريلمس <br /> تايك-تو انتراكتيف "
"اقبض على كارتر (فيلم 2000)","Q1010099","distributor = [[وارنر برذرز بيكتشرز]] "
"القدوم إلى أمريكا","Q493755","distributor = [[باراماونت بيكتشرز]] "
"ماندينغو (فيلم)","Q745753","distributor = [[باراماونت بيكتشرز]] "
"ماداري (فيلم 2016)","Q24049854","distributor = بوجا للترفيه والأفلام "
"وخلق الله امرأة (فيلم 1956)","Q1129547","distributor = | released = "
"بيوتيفول","Q879174","distributor = [[LD Entertainment]]<br />[[رودسايد أتراكشنز]] {{صغير"
"السياف (فيلم كوري)","Q30612342","distributor = Opus Pictures<br />Kiwi Media Group "
"العصر الجليدي: مسار التصادم","Q15965953","distributor = [[توينتيث سينشوري ستوديوز"
"موضة (فيلم)","Q2665454","distributor = [[يو تي في موشن بيكتشرز]]<br />بندركار للترفيه "
"التغيير (فيلم)","Q1168623","distributor = [[ITC Entertainment"
"الجدة (فيلم)","Q19320953","distributor = [[سوني بيكتشرز كلاسيك]] "
"مانوليت (فيلم)","Q2418958","distributor = [[3L Filmverleih]]<br />[[Momentum Pictures]]<br />[[G2 Pictures]]<br />[[HandMade Films International]] "
"اعترافات عقلية خطيرة","Q770965","distributor = [[ميرماكس"
"لعازر والغني (مسلسل)","Q30930595","distributor = | network = [[ريكورد تي في]] "
"عيون الحرامية","Q18205960","distributor = | تاريخ الصدور = {{تاريخ صدور فيلم"
"الأخطبوطي","Q204398","distributor = [[مترو غولدوين ماير]] (United States)<br />[[يونايتد إنترناشونال بيكتشرز]] (United Kingdom) "
"آدم وإيفا","Q19007158","distributor = [[باراماونت بيكتشرز]] "
"كل شيء أردت معرفته عن الجنس (لكن كنت خائفا أن تسأل) (فيلم)","Q499697","distributor = [[يونايتد آرتيست]] "
"الفراشة الذهبية (فيلم)","Q109284721","distributor = | released = 2021 "
"جمال أسود (فيلم)","Q85747484","distributor = [[ديزني+]] "
"شارب بعيد","Q85881910","distributor = [[نتفليكس]] "
"ذا بوبل (فيلم)","Q1506263","distributor = '''- Israel -'''<br />United King Films <br />'''- USA -'''<br />[[Strand Releasing]] <br />'''- UK -'''<br />TLA Releasing <br />'''- Germany -'''<br />pro fun media GmbH "
"أسود وأزرق (فيلم)","Q60738666","distributor = {{Ill-WD2"
"بوبي (فيلم)","Q888434","distributor = شركة آر كيه للأفلام المحدودة "
"فيلم تاو","Q55166818","distributor = [[نتفليكس]] "
"القاموس النائم (فيلم)","Q676584","distributor = فاينلاين فيتشرز "
"عيد الميلاد الأسود (فيلم 1974)","Q783069","distributor = {{قائمة بسيطة"
"الشجعان فقط (فيلم 2017)","Q25136669","distributor = {{قائمة غير مرقمة"
"فيليسيتي (فيلم 2017)","Q28222427","distributor = Jour2Fête (فرنسا)<br />[[Strand Releasing]] (الولايات المتحدة) "
"عودة الجاسوسة","Q110734545","distributor = [[نتفليكس]] "
"الحياة المزدوجة لفيروينك","Q1130211","distributor = | released = {{Film date"
"الشياطين 2 (فيلم)","Q1269678","distributor = [[Titanus"
"ترافيك (فيلم)","Q50364753","distributor = [[أفلام ليونزغيت]]<ref name=""BOM""/> "
"الهدية (فيلم 2021)","Q97174271","distributor = | released = [[2021]] "
"دراكولا (فيلم باللغة الانجليزية 1931)","Q279378","distributor = [[يونيفرسال بيكشرز]] "
"ذا واريورز (لعبة فيديو)","Q1974230","distributor = [[تيك-تو إنترأكتيف]]<br/>[[باراماونت بيكتشرز]] "
"مصاصة ليمون (فيلم)","Q946157","distributor = Noah Films (Israel)<br /> SCO (West Germany) "
"الضغينة (فيلم 2020)","Q54339473","distributor = {{Ill-WD2"
"الليل له عيون (فيلم)","Q7754078","distributor = [[باثي (شركة أفلام)]] "
"نابليون (فيلم 1927)","Q1632158","distributor = [[شركة أفلام غومونت]] "
"هايدي (فيلم 1937)","Q1594303","distributor = [[توينتيث سينشوري ستوديوز]] "
"علي بابا والأربعون حرامي (فيلم 1918)","Q21752616","distributor = فوكس فيلم "
"وداعا ملكتي (فيلم)","Q1236069","distributor = Ad Vitam Distribution "
"دراغون بول زد: ولادة جديدة للاندماج!! غوكو وبيجيتا","Q1254966","distributor = [[شركة توي]] "
"الطيور الغاضبة الفيلم 2","Q18722273","distributor = [[Sony Pictures Motion Picture Group#Sony Pictures Releasing"
"دراغون بول زد: أعد إلي جوهاني","Q475559","distributor = [[شركة توي]] "
"آنا كريستي (فيلم 1923)","Q1759166","distributor = [[فيرست ناشيونال"
"الطمع (فيلم)","Q690583","distributor = [[مترو غولدوين ماير]] "
"صرخة الحرية","Q962363","distributor = [[يونيفرسال بيكشرز]] "
"النمر الوردي (1963)","Q1131556","distributor = [[يونايتد آرتيست]] "
"القفاز الذهبي (فيلم 2019)","Q56054702","distributor = {{قائمة بسيطة"
"دابل بلاي (فيلم)","Q48672597","distributor = [[Paradiso Entertainment]] "
"القناع الحديدي","Q738056","distributor = فنانون متحدون "
"دوم 2","Q755186","distributor = جي تي إنتراكتيف <br /> فيرجن إنتراكتيف <small>[[أوروبا]]</small> "
"القصة الأصلية (فيلم)","Q171365","distributor = [[نيو لاين سينما]] "
"قبلات مسروقة (فيلم فرنسي)","Q324933","distributor = [[يونايتد آرتيست]] "
"ولفينشتاين (لعبة فيديو 2009)","Q1165728","distributor = [[أكتيفجن بليزارد]] "
"ماري من اسكتلندا (فيلم)","Q2154202","distributor = [[آر كي أو بيكتشرز]] "
"كون (لعبة فيديو 2004)","Q2655757","distributor = {{إصدار ألعاب/إنجليزي"
"دراغون بول زد: احترق: المعركة الحامية - المعركة العنيفة - المعركة الحادة","Q543064","distributor = [[شركة توي]] "
"تويستد ميتال بلاك","Q2978434","distributor = |director = [[ديفيد جاف]] "
"أبزو (لعبة فيديو)","Q20899382","distributor = | director = مات نافا "
"إعدام ماري ستيوارت (فيلم 1895)","Q1789171","distributor = [[شركة إديسون للتصنيع]] "
