"title","wikibase_item","CompanyID","QID.imdb"
"صب واي","Q244457","co0097753",NA
"المؤسسة اللبنانية للإرسال","Q1810824","co0595344",NA
"يونيفرسال بيكشرز","Q168383","co0226568",NA
"كرتون نتورك ستوديوز","Q858803","co0238110",NA
"سوني بيكتشرز","Q822314","co0026545",NA
"ساي فاي","Q276542","co0182712",NA
"وارنر براذرز أنيميشن","Q13416804","co0072876",NA
"زي دي اف","Q48989","co0078814",NA
"استوديوهات مارفل","Q367466","co0051941",NA
"ياش راج فيلم","Q1696916","co0077190",NA
"هانا-باربيرا للإنتاج","Q736464","co0024579",NA
"بونز (ستوديو)","Q834471","co0073964",NA
"شركة واينستين","Q1138789","co0150452",NA
"راكتي للإنتاج والتوزيع الفني","Q20011068","co0595681",NA
"هوليوود بيكشرز","Q1348264","co0076240",NA
"أوريون بيكشرز","Q891732","co0001995",NA
"مجموعة فنون مصر","Q10310717","co0377894",NA
"سوني بيكتشرز أنيميشن","Q1416835","co0121181",NA
"نيوسينشري للإنتاج الفني","Q15633350","co0067379",NA
"وارنر براذرز كارتونز","Q384930","co0072876",NA
"لوكاس فيلم","Q242446","co0071326",NA
"مجموعة سباي غلاس الإعلامية","Q512858","co0031181",NA
"سوبر إم للإنتاج","Q18785918","co0594391",NA
"تري ستار بيكتشرز","Q651454","co0005883",NA
"تلفزيون سوني بيكتشورز","Q652390","co0086397",NA
"آي إف سي فيلمز","Q2910457","co0015762",NA
"مركز بيروت الدولي للإنتاج","Q25454138","co0594232",NA
"استديو بونوك","Q28025376","co0548370",NA
"فوكس كيدز","Q626178","co0031877",NA
"كودوس (شركة إنتاج)","Q2245650","co0110977",NA
"معهد الكونسرفتوار (كاليفورنيا)","Q4651503","co0020445",NA
"أفلام إم تي في","Q1111024","co0034438",NA
"سينكوبي","Q984047","co0147954",NA
"أغاني للصغار","Q6405035","co0152386",NA
"سيفين أند آي","Q639447","co0270301",NA
"آي تي-إكس","Q298702","co0035005",NA
"سايكو للترفيه","Q2755989","co0164569",NA
"معهد غيراسيموف للسينما","Q1130457","co0016875",NA
"أبيان واي برودكشنز","Q2858710","co0088354",NA
"ديزني تون ستوديوز","Q2081339","co0092035",NA
"تي إس جي إنترتينمينت","Q18155354","co0420822",NA
"كروز/واغنر للإنتاج","Q3005562","co0012382",NA
"مايكل كورتيز","Q51491","co0364894",NA
"روجر كورمان","Q318292","co0065427",NA
"تويستد بيكتشرز","Q1755165","co0137447",NA
"آذربيجان فيلم","Q2875131","co0114122",NA
"فيرست ناشيونال","Q1188369","co0041460",NA
"ستوديو فوكس القرن العشرين للترفيه المنزلي","Q2084961","co0010224",NA
"شركة ديك كلارك للإنتاج","Q5272768","co0061493",NA
"3 فنون للإنتاج السينمائي والتلفزيوني","Q22021534","co0070636",NA
"مجموعة كانون","Q1033465","co0080240",NA
"ديزني كاراكتير فويسز إنترناشيونال","Q5282435","co0212138",NA
"إيماجي للرسوم المتحركة","Q3043485","co0188658",NA
"ارماندو كالفو","Q453515","co0130922",NA
"استوديوهات إسناي","Q1368540","co0079753",NA
"جامعة طوكيو التكنولوجية","Q916902","co0353388",NA
"ذا ثري دي أو كومباني","Q1062171","co0048923",NA
"لوكاس آرتز","Q216611","co0019779",NA
"أرك برودكشين","Q4785019","co0445987",NA
"موتوال فيلم","Q540590","co0007500",NA
"زي دي أف نيو","Q136012","co0078814",NA
"الشركة التونسية للإنتاج والتنمية السينمائية","Q3487676","co0044327",NA
"إيمج نيشن","Q17063507","co0251916",NA
"كينيما سيتروس","Q6410686","co0273707",NA
"كارلوكو بيكشرز","Q1044291","co0094459",NA
"كرونوس ديجيتال إنترتنمنت","Q1022372","co0122226",NA
"رودسايد أتراكشنز","Q7339672","co0119624",NA
"آي إن آي إس","Q5972831","co0325419",NA
"داي ون ستوديوز","Q2076545","co0123852",NA
"بام! انترتنمنت","Q795397","co0090785",NA
"تشيرنين إنترتينمينت","Q17335666","co0286257",NA
"تريمارك بيكشرز","Q4853294","co0079484",NA
"بيرل ستريت للأفلام","Q7158172","co0358992",NA
"كليف ريد","Q20828223","co0436879",NA
"بروسيديس","Q3406428","co0000910",NA
"طوم بولوك","Q16106408","co0364226",NA
"سورا ليمتد","Q1317078","co0232745",NA
"جايسون ستيفنز","Q6163548","co0139494",NA
"واكاليوود","Q20002690","co0324230",NA
"قايدو سيبر","Q86332","co0064793",NA
"بيفور ذا دور بيكتشرز","Q23302704","co0271126",NA
