"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"مايكل غامبون","classification.ores.articletopic/Culture.Biography.Biography*|949|classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Media.Media*|907","Q203545","tt3734688","Cordelia","not exact match",NA,NA
"ميلف","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/History_and_Society.Society|981|classification.ores.articletopic/STEM.STEM*|924|classification.ores.articletopic/Culture.Media.Media*|971|classification.ores.articletopic/Geography.Regions.Americas.North_America|523|classification.ores.articletopic/STEM.Biology|965|recommendation.image_section/exists|1","Q861578","tt0061722","The Graduate","not exact match",NA,NA
"آير فورس إيمي","classification.ores.articletopic/Geography.Regions.Americas.North America|582|classification.ores.articletopic/Culture.Biography.Biography*|832|classification.ores.articletopic/Culture.Media.Media*|860|classification.ores.articletopic/Culture.Media.Films|712|classification.ores.articletopic/History and Society.Society|497|classification.ores.articletopic/Culture.Media.Entertainment|260","Q3351955","tt0326596","Lesbian Ho'Down at the Bunnyranch","not exact match",NA,NA
"صلاح ذو الفقار","classification.ores.articletopic/Culture.Biography.Biography*|592|classification.ores.articletopic/Geography.Regions.Africa.Northern_Africa|984|classification.ores.articletopic/Geography.Regions.Africa.Africa*|972|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Media.Films|890","Q7403450","tt0123262","Secret of the Sphinx","not exact match",NA,NA
"قائمة أفلام ممنوعة","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Media.Films|919","Q376479","tt0067625","Trial on the Road","not exact match",NA,NA
"الكبير أوي (مسلسل)","classification.ores.articletopic/Culture.Media.Films|523|classification.ores.articletopic/Culture.Media.Media*|737|recommendation.link/exists|1","Q5351478","tt2290891","Al Kabeer","not exact match",NA,NA
"بيني باكس","classification.ores.articletopic/Culture.Biography.Women|760|classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Media.Films|998","Q15080893","tt2040295","Bloody Homecoming","not exact match",NA,NA
"كازابلانكا (فيلم 2019)","classification.ores.articletopic/Geography.Regions.Africa.Northern Africa|989|classification.ores.articletopic/Culture.Media.Films|968|classification.ores.articletopic/Geography.Regions.Africa.Africa*|946|classification.ores.articletopic/Culture.Media.Media*|828","Q60576357","tt10497826","Kasablanka","not exact match",NA,NA
"قائمة أعمال دنزل واشنطن","classification.ores.articletopic/Culture.Media.Films|344|classification.ores.articletopic/Culture.Media.Media*|754|classification.ores.articletopic/Culture.Biography.Biography*|300","Q15085362","tt0104721","Liberators: Fighting on Two Fronts in World War II","not exact match",NA,NA
"عامر خان","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Biography.Biography*|956|classification.ores.articletopic/Geography.Regions.Asia.Asia*|999|classification.ores.articletopic/Culture.Media.Films|999|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|1000|recommendation.image_section/exists|1","Q9557","tt0169102","Lagaan: Once Upon a Time in India","not exact match",NA,NA
"سكريم (سلسلة أفلام)","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Culture.Media.Films|979|classification.ores.articletopic/Geography.Regions.Americas.North_America|600|recommendation.image_section/exists|1","Q388659","tt0117571","Scream","not exact match",NA,NA
"بني آدم (فيلم)","classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|999","Q67083871","tt8884336","Sons of Adam","not exact match",NA,NA
"الهوبيت (سلسلة أفلام)","classification.ores.articletopic/Culture.Media.Films|978|classification.ores.articletopic/Culture.Media.Media*|869","Q74331","tt0903624","The Hobbit: An Unexpected Journey","not exact match",NA,NA
"ويل سميث","classification.ores.articletopic/Culture.Media.Films|973|classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Culture.Biography.Biography*|874|classification.ores.articletopic/Geography.Regions.Americas.North_America|562","Q40096","tt0814314","Seven Pounds","not exact match",NA,NA
"رامي مالك","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Biography.Biography*|968|classification.ores.articletopic/Geography.Regions.Americas.North_America|523|classification.ores.articletopic/Culture.Media.Films|956","Q375590","tt1727824","Bohemian Rhapsody","not exact match",NA,NA
"أكشاي كومار","classification.ores.articletopic/Geography.Regions.Asia.South_Asia|979|classification.ores.articletopic/Culture.Media.Media*|952|classification.ores.articletopic/Culture.Media.Films|941|classification.ores.articletopic/Geography.Regions.Asia.Asia*|971|classification.ores.articletopic/Culture.Biography.Biography*|952|recommendation.image_section/exists|1","Q233748","tt3679060","Dishoom","not exact match",NA,NA
"سمير صبري","classification.ores.articletopic/Culture.Media.Media*|771|classification.ores.articletopic/Culture.Biography.Biography*|982|classification.ores.articletopic/Geography.Regions.Africa.Northern_Africa|939|classification.ores.articletopic/Geography.Regions.Africa.Africa*|936|classification.ores.articletopic/Culture.Media.Films|607","Q12216883","tt19783870","Zekraiaty - Radio Show","not exact match",NA,NA
"ساندرا بولوك","classification.ores.articletopic/Culture.Biography.Biography*|917|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Biography.Women|705|classification.ores.articletopic/Culture.Media.Films|987|classification.ores.articletopic/Geography.Regions.Americas.North_America|685|recommendation.image_section/exists|1","Q40791","tt0685721","Sandra Bullock","not exact match",NA,NA
"سكوت آدكنز","classification.ores.articletopic/Culture.Media.Media*|964|classification.ores.articletopic/Culture.Media.Films|799|classification.ores.articletopic/Culture.Media.Entertainment|477|classification.ores.articletopic/Culture.Biography.Biography*|750","Q28310","tt8351882","No Surrender","not exact match",NA,NA
"محمود ذو الفقار","classification.ores.articletopic/Geography.Regions.Africa.Africa*|917|classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Culture.Media.Films|831|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Africa.Northern_Africa|917","Q4884383","tt0226461","Soft Hands","not exact match",NA,NA
"قائمة أفلام والت ديزني","classification.ores.articletopic/Culture.Media.Films|436|classification.ores.articletopic/Culture.Media.Media*|847","Q835515","tt0029583","Snow White and the Seven Dwarfs","not exact match",NA,NA
"سريديفي","classification.ores.articletopic/Geography.Regions.Asia.South_Asia|998|classification.ores.articletopic/Culture.Media.Films|984|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Culture.Biography.Biography*|899|classification.ores.articletopic/Geography.Regions.Asia.Asia*|996|classification.ores.articletopic/Culture.Biography.Women|658","Q270691","tt2181931","English Vinglish","not exact match",NA,NA
"شاهيد كابور","classification.ores.articletopic/Geography.Regions.Asia.South_Asia|999|classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Media.Films|994|classification.ores.articletopic/Geography.Regions.Asia.Asia*|997|classification.ores.articletopic/Culture.Biography.Biography*|909","Q319491","tt1392744","Chance Pe Dance","not exact match",NA,NA
"توم هاردي","classification.ores.articletopic/Culture.Media.Films|975|classification.ores.articletopic/Culture.Media.Media*|973|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Geography.Regions.Europe.Europe*|901|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|949","Q208026","tt5013056","Dunkirk","not exact match",NA,NA
"محمد محمود عبد العزيز","classification.ores.articletopic/Culture.Media.Films|531|classification.ores.articletopic/Geography.Regions.Africa.Africa*|890|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Africa.Northern_Africa|839","Q12240986","tt2330934","Bab Al Khalk","not exact match",NA,NA
"بيتر دينكلاج","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Media.Films|644|classification.ores.articletopic/Culture.Biography.Biography*|658","Q310937","tt4058618","The Thicket","not exact match",NA,NA
"أحمد مالك","classification.ores.articletopic/Geography.Regions.Africa.Northern_Africa|870|classification.ores.articletopic/Culture.Media.Films|870|classification.ores.articletopic/Geography.Regions.Africa.Africa*|843|classification.ores.articletopic/Culture.Biography.Biography*|863|classification.ores.articletopic/Culture.Media.Media*|914","Q16119803","tt10964530","The Furnace","not exact match",NA,NA
"ليندا لوفليس","classification.ores.articletopic/Geography.Regions.Americas.North America|788|classification.ores.articletopic/History and Society.Society|382|classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Culture.Media.Films|962|classification.ores.articletopic/Culture.Media.Media*|783|classification.ores.articletopic/History and Society.History|510|classification.ores.articletopic/Culture.Philosophy and religion|389|classification.ores.articletopic/Culture.Biography.Women|983|recommendation.image_section/exists|1","Q407","tt0073271","Forever Emmanuelle","not exact match",NA,NA
"سبع البرمبة (فيلم)","classification.ores.articletopic/Culture.Media.Films|722|classification.ores.articletopic/Geography.Regions.Africa.Africa*|915","Q65553949","tt10446658","Sab el-Burumbah","not exact match",NA,NA
"كايدن كروس","classification.ores.articletopic/Culture.Media.Films|909|classification.ores.articletopic/Culture.Biography.Women|793|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Media*|992|recommendation.image_section/exists|1","Q235394","tt1307442","Blue Dream","not exact match",NA,NA
"ألان ريكمان","classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Films|968|classification.ores.articletopic/Culture.Biography.Biography*|995","Q106481","tt2639254","A Little Chaos","not exact match",NA,NA
"جيمس دين","classification.ores.articletopic/Culture.Biography.Biography*|945|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Geography.Regions.Americas.North_America|585|classification.ores.articletopic/Culture.Media.Films|904","Q83359","tt0126973","James Dean: Race with Destiny","not exact match",NA,NA
"كوينتن تارانتينو","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Biography.Biography*|899|classification.ores.articletopic/Culture.Media.Films|989|recommendation.link/exists|1|recommendation.image_section/exists|1","Q3772","tt0110912","Pulp Fiction","not exact match",NA,NA
"قائمة أعمال كريستيان بيل","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Media.Films|994","Q5109310","tt0090446","Heart of the Country","not exact match",NA,NA
"كاران سينغ غروفر","classification.ores.articletopic/Culture.Media.Films|771|classification.ores.articletopic/Geography.Regions.Asia.Asia*|896|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|777|classification.ores.articletopic/Culture.Biography.Biography*|995|classification.ores.articletopic/Culture.Media.Media*|718","Q3521637","tt9444348","Dangerous","not exact match",NA,NA
"لحظات حرجة (مسلسل)","classification.ores.articletopic/Culture.Media.Media*|887|classification.ores.articletopic/Geography.Regions.Africa.Northern_Africa|884|classification.ores.articletopic/Culture.Media.Films|546|classification.ores.articletopic/Geography.Regions.Africa.Africa*|851","Q12237139","tt0976637","Critical Moments","not exact match",NA,NA
"هاريسون فورد","classification.ores.articletopic/Culture.Media.Entertainment|398|classification.ores.articletopic/Geography.Regions.Americas.North America|881|classification.ores.articletopic/Culture.Biography.Biography*|955|classification.ores.articletopic/Culture.Media.Media*|895|classification.ores.articletopic/Culture.Media.Films|829","Q81328","tt0055710","The Virginian","not exact match",NA,NA
"كلو جونز","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Biography.Women|914|classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Media.Films|1000","Q432937","tt0159879","Howard Stern","not exact match",NA,NA
"جون ويك 5","classification.ores.articletopic/Culture.Media.Films|971|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|523|classification.ores.articletopic/Geography.Regions.Americas.North_America|771|classification.ores.articletopic/Culture.Media.Media*|979","Q121862910","tt12844100","John Wick: Chapter 5","not exact match",NA,NA
"تشاكي (لعبة أطفال)","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Entertainment|245|classification.ores.articletopic/Culture.Literature|949|classification.ores.articletopic/Culture.Media.Films|807","Q25097","tt0094862","Child's Play","not exact match",NA,NA
"دنيز جان آكتاش","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|629","Q85969620","tt16369822","Bandirma Füze Kulübü","not exact match",NA,NA
"باتمان (سلسلة أفلام)","classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Literature|771|classification.ores.articletopic/Geography.Regions.Americas.North_America|665|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|685|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|615","Q2111133","tt1345836","The Dark Knight Rises","not exact match",NA,NA
"إطلعولي بره","classification.ores.articletopic/Culture.Media.Films|999|classification.ores.articletopic/Geography.Regions.Africa.Africa*|971|classification.ores.articletopic/Geography.Regions.Africa.Northern Africa|968|classification.ores.articletopic/Culture.Media.Media*|968","Q65670128","tt8011450","Step Outside","not exact match",NA,NA
"جيسيكا ألبا","classification.ores.articletopic/Geography.Regions.Americas.North_America|831|classification.ores.articletopic/Culture.Media.Films|737|classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.articletopic/Culture.Biography.Women|651|classification.ores.articletopic/Culture.Biography.Biography*|993|recommendation.image_section/exists|1","Q44077","tt0204993","Dark Angel","not exact match",NA,NA
"أوليفر هاردي","classification.ores.articletopic/Culture.Biography.Biography*|806|classification.ores.articletopic/Culture.Media.Media*|894|classification.ores.articletopic/Culture.Media.Films|318|classification.ores.articletopic/Geography.Regions.Americas.North America|508|classification.ores.articletopic/Culture.Media.Entertainment|458|recommendation.image_section/exists|1","Q72911","tt0013341","The Lucky Dog","not exact match",NA,NA
"سوق الجمعة (فيلم)","classification.ores.articletopic/Geography.Regions.Africa.Africa*|970|classification.ores.articletopic/Geography.Regions.Africa.Northern Africa|926|classification.ores.articletopic/Culture.Media.Films|877","Q64679010","tt8829616","Souq elgomaa","not exact match",NA,NA
