"title","wikibase_item","Studio"
"كوكو (فيلم 2017)","Q5815826","studio = {{قائمة بسيطة"
"مهمة: مستحيلة - تقدير الموضع الجزء الأول","Q61876370","studio = {{قائمة بسيطة"
"عداء المتاهة (فيلم)","Q13099455","studio = {{قائمة بسيطة"
"قتلة زهرة القمر (فيلم)","Q66316924","studio = {{قائمة بسيطة"
"127 ساعة (فيلم)","Q174371","studio = {{قائمة غير مرقمة"
"ثاء رمزا للثأر","Q5890","studio = {{قائمة بسيطة"
"أنا الماعز الأليف","Q16201137","studio = Heliofant "
"فتاة القطار (فيلم 2016)","Q21433535","studio = {{قائمة بسيطة"
"الصبي الذي سخر الرياح (فيلم)","Q60738660","studio = {{Ill-WD2"
"إنسايد مان","Q81224","studio = [[إماجين إنترتينمينت]]<br />[[40 Acres and a Mule Filmworks]] "
"أميرة (فيلم)","Q108907348","studio = شبكة آراب ميديا <br /> فيلم كلينك<br /> لاغوني للإنتاج السينمائي <br /> ماد سولوشنس <br /> ذا إيماجيناريوم "
"مرجافان","Q58411779","studio = [[تي سيريز]]<br />[[إيماي إنترتينمنت]] "
"بولت (فيلم 2008)","Q212792","studio = [[أفلام والت ديزني]]<br />[[استديوهات والت ديزني للرسوم المتحركة (كاليفورنيا)]] "
"المفترس (فيلم)","Q25461297","studio = [[تي إس جي إنترتينمينت]]<br />[[Davis Entertainment]] "
"أيريس (مسلسل 2009)","Q496296","studio = | venue = "
"القصر الأبيض (فيلم)","Q1472274","studio = [[Mirage Enterprises]]<br>Double Play "
"9 أغاني","Q277457","studio = Revolution Films "
"الحافة (فيلم)","Q759333","studio = آرت لينسون للإنتاج "
"عرابو طوكيو","Q917278","studio = [[مادهاوس]] "
"إبراهيم (فيلم)","Q630496","studio = | distributor = [[شبكة تورنر التلفزيونية"
"متتالية فرنسية (فيلم)","Q13722122","studio = {{قائمة بسيطة"
"الموج (فيلم)","Q19372190","studio = {{Ill-WD2"
"عيون الملاك (فيلم)","Q531675","studio = {{قائمة بسيطة"
"ألف اختراع واختراع وعالم ابن الهيثم","Q20814415","studio = [[سليم الحسني]] "
"دراغون بول زد : شجرة القوة","Q1254986","studio = [[توي أنيميشن"
"ميمي (فيلم هندي 2021)","Q85785582","studio = [[مادوك فيلمز]]<br />جيو ستوديوز "
"1 أكتوبر (فيلم)","Q16733965","studio = استوديوهات التأثيرات الذهبية "
"محاكاة (فيلم)","Q1423555","studio = [[ديمينشن فيلمز]] "
"اقبض على كارتر (فيلم 2000)","Q1010099","studio = [[Morgan Creek Productions]]<br />[[Franchise Pictures]]<br />{{Ill-WD2"
"القدوم إلى أمريكا","Q493755","studio = إيدي ميرفي للإنتاج "
"ماندينغو (فيلم)","Q745753","studio = [[دينو دي لورانتس]] "
"ماداري (فيلم 2016)","Q24049854","studio = إبداعات بارامانس ، إيزي تريب و سابتاريشي سينما "
"بيوتيفول","Q879174","studio = [[Televisió de Catalunya]]<br />[[التلفزيون الإسباني]]<br />[[Cha Cha Cha Films]]<br />[[فوكس فيتشرز]] "
"السياف (فيلم كوري)","Q30612342","studio = Opus Pictures "
"العصر الجليدي: مسار التصادم","Q15965953","studio = {{قائمة بسيطة"
"ديوار (فيلم 1975)","Q787034","studio = | توزيع = Trimurti Films Pvt. Ltd "
"الجدة (فيلم)","Q19320953","studio = 1821 Media<br />Depth of Field "
"اعترافات عقلية خطيرة","Q770965","studio = Mad Chance<br />[[Section Eight Productions"
"الأخطبوطي","Q204398","studio = [[ايون للإنتاج]]<br />[[يونايتد آرتيست]] "
"آدم وإيفا","Q19007158","studio = [[كوزموبوليتان للإنتاج]] "
"الفراشة الذهبية (فيلم)","Q109284721","studio = | distributor = "
"جمال أسود (فيلم)","Q85747484","studio = {{قائمة بسيطة"
"شارب بعيد","Q85881910","studio = {{قائمة غير مرقمة"
"بوبي (فيلم)","Q888434","studio = استديوهات آر كيه "
"القاموس النائم (فيلم)","Q676584","studio = [[فاين لاين فيتشرز]] "
"عيد الميلاد الأسود (فيلم 1974)","Q783069","studio = {{قائمة بسيطة"
"الشجعان فقط (فيلم 2017)","Q25136669","studio = {{قائمة بسيطة"
"الحياة المزدوجة لفيروينك","Q1130211","studio = | distributor = "
"الشياطين 2 (فيلم)","Q1269678","studio = DACFILM Rome "
"ترافيك (فيلم)","Q50364753","studio = {{قائمة بسيطة"
