"title","wikibase_item","Distributor"
"Gone Girl","Q14920425","distributor = [[20th Century Fox]] "
"Charlotte's Web 2: Wilbur's Great Adventure","Q83161","distributor = {{Plainlist"
"Madagascar (ffilm 2005)","Q174555","distributor = DreamWorks Pictures "
"Charlotte's Web (ffilm 1973)","Q37785","distributor = [[Paramount Pictures]] "
"The Sword in the Stone (ffilm)","Q204662","distributor = Buena Vista Distribution "
"Hon dansade en sommar","Q1536123","distributor = [[Nordisk Tonefilm]] "
"Toy Story","Q171048","distributor = | dyddiad rhyddau = [[Tachwedd]] [[1995]] "
"Alys (cyfres deledu)","Q4738701","distributor = Boomerang<ref>{{cite web"
"Victorious","Q4533","distributor = MTV Networks International<ref>{{cite web"
"Jumanji: Welcome to the Jungle","Q20762680","distributor = Sony Pictures Releasing<ref name=insight/> "
"Tangled","Q188439","distributor = Walt Disney Studios Motion Pictures<ref name=afi/> "
"The Best Exotic Marigold Hotel","Q830295","distributor = [[Fox Searchlight Pictures]] "
"Teen Wolf","Q836393","distributor = {{Plainlist"
"Wreck-It Ralph","Q28891","distributor = Walt Disney Studios Motion Pictures "
"Surf's Up","Q633053","distributor = Columbia Pictures "
"Oklahoma! (ffilm 1955)","Q2017333","distributor = Magna Theatre Corporation {{small"
"Incredibles 2","Q24832112","distributor = Walt Disney Studios<br />Motion Pictures "
"Night Must Fall (ffilm 1937)","Q1545838","distributor = Loew's Inc. "
"Night Must Fall (ffilm 1964)","Q3423723","distributor = [[Metro-Goldwyn-Mayer]] "
"Star Trek: Picard","Q62573305","distributor = CBS Television Distribution "
"Lady and the Tramp II: Scamp's Adventure","Q244434","distributor = Buena Vista Home Entertainment "
"Buck Privates","Q999353","distributor = [[Universal Pictures]] "
"The Silent Village","Q7764240","distributor = Crown Film Unit "
"One Night in the Tropics","Q2053989","distributor = [[Universal Pictures]] "
"Hold That Ghost","Q603067","distributor = [[Universal Pictures]] "
"Finding Dory","Q9321426","distributor = Walt Disney Studios<br />Motion Pictures "
"Luck (ffilm)","Q97359775","distributor = [[Apple TV+]] "
"Pete's Dragon (ffilm 2016)","Q18786473","distributor = Walt Disney Studios<br />Motion Pictures "
"Shadowhunters","Q19756164","distributor = {{Plainlist"
"Ralph Breaks the Internet","Q25167044","distributor = Walt Disney Studios Motion Pictures "
"Poison Pen (ffilm 1939)","Q7208455","distributor = Associated British-Pathé "
"The Halfway House (ffilm)","Q7738656","distributor = ABPC {{small"
"Surf's Up 2: WaveMania","Q26720598","distributor = Sony Pictures Home Entertainment "
"Aguirre, der Zorn Gottes","Q325662","distributor = [[Filmverlag der Autoren]] (West Germany)<br>New Yorker Films (US)<br>Palace Video "
"Twinsters","Q21553080","distributor = [[Netflix]] "
"Dan y Wenallt (ffilm 2015)","Q21085258","distributor = | released = {{Film date"
