"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Jennifer Aniston","classification.ores.articletopic/Culture.Biography.Biography*|838|classification.ores.articletopic/Culture.Media.Media*|894|classification.ores.articletopic/History and Society.Society|387|classification.ores.articletopic/Culture.Media.Films|482","Q32522","tt1001508","He's Just Not That Into You","not exact match",NA,NA
"Will Smith","classification.ores.articletopic/History and Society.Society|509|classification.ores.articletopic/Culture.Media.Music|241|classification.ores.articletopic/Geography.Regions.Americas.North America|707|classification.ores.articletopic/Culture.Media.Films|811|classification.ores.articletopic/Culture.Biography.Biography*|774|classification.ores.articletopic/Culture.Media.Media*|905","Q40096","tt0814314","Seven Pounds","not exact match",NA,NA
"Nymphomaniac","classification.ores.articletopic/Geography.Regions.Europe.Europe*|777|classification.ores.articletopic/Culture.Media.Media*|973|classification.ores.articletopic/Culture.Media.Films|995","Q3346699","tt2382009","Nymphomaniac: Vol. II","not exact match",NA,NA
"Peter Mayhew","classification.ores.articletopic/Culture.Media.Films|540|classification.ores.articletopic/Culture.Biography.Biography*|869|classification.ores.articletopic/Culture.Media.Media*|872|classification.ores.articletopic/Culture.Media.Entertainment|542","Q560552","tt2527336","Star Wars: Episode VIII - The Last Jedi","not exact match",NA,NA
"Porc Pei (ffilm)","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|998|classification.ores.articletopic/Culture.Media.Television|615","Q13130826","tt0246863","Pork Pie","not exact match",NA,NA
"Bolo Natumi Aamar","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Geography.Regions.Asia.Asia*|993|classification.ores.articletopic/Geography.Regions.Asia.South Asia|998","Q4939958","tt1601453","Bolo Na Tumi Amar","not exact match",NA,NA
"Keimendes Leben","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|982","Q23564482","tt0009253","Keimendes Leben, Teil 1","not exact match",NA,NA
"Gwledd","classification.ores.articletopic/Culture.Media.Films|894|classification.ores.articletopic/Culture.Media.Media*|913","Q108131513","tt10738906","The Feast","not exact match",NA,NA
"Die Frau Ohne Namen","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Culture.Media.Films|998","Q19796694","tt0457353","Die Frau ohne Namen - 2. Teil","not exact match",NA,NA
"Staten Island Catapult","classification.ores.articletopic/Geography.Regions.Americas.North America|582|classification.ores.articletopic/Culture.Media.Films|972|classification.ores.articletopic/Culture.Media.Media*|927","Q7603984","tt0481626","The Staten Island Catapult","not exact match",NA,NA
"1925 mewn ffilm","classification.ores.articletopic/Culture.Media.Films|953|classification.ores.articletopic/Culture.Media.Media*|793","Q378565","tt0764829","Miracles of Love","not exact match",NA,NA
