"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Pierre Bachelet","classification.ores.articletopic/Geography.Regions.Europe.Europe*|959|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Music|989|classification.ores.articletopic/Culture.Media.Films|554|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|983|classification.ores.articletopic/Culture.Biography.Biography*|963","Q1373824","nm0045406","Pierre Bachelet","match",NA,NA
"Tyler Hoechlin","classification.ores.articletopic/Culture.Media.Media*|922|classification.ores.articletopic/Culture.Biography.Biography*|691|classification.ores.articletopic/Culture.Media.Films|506","Q432739","nm0388382","Tyler Hoechlin","match",NA,NA
"Brodyr Marx","classification.ores.articletopic/Culture.Biography.Biography*|274|classification.ores.articletopic/Geography.Regions.Americas.North America|773|classification.ores.articletopic/Culture.Media.Films|281|classification.ores.articletopic/Culture.Media.Radio|419|classification.ores.articletopic/Culture.Media.Media*|958","Q64450","nm2580347","The Marx Brothers","not exact match",NA,NA
"Iwan Rheon","classification.ores.articletopic/Culture.Biography.Biography*|873|classification.ores.articletopic/Culture.Media.Media*|916","Q1148937","nm3701064","Iwan Rheon","match",NA,NA
"Justin Bieber","classification.ores.articletopic/Culture.Biography.Biography*|483|classification.ores.articletopic/Culture.Media.Media*|964|classification.ores.articletopic/Geography.Regions.Americas.North America|691|classification.ores.articletopic/Culture.Media.Music|851|recommendation.link/exists|1|recommendation.image_section/exists|1","Q34086","nm3595501","Justin Bieber","match",NA,NA
"Timothy Spall","classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|716|classification.ores.articletopic/Culture.Media.Films|855|classification.ores.articletopic/Culture.Biography.Biography*|531","Q287824","nm0001758","Timothy Spall","match",NA,NA
"Craig Roberts","classification.ores.articletopic/Culture.Media.Media*|878|classification.ores.articletopic/Culture.Biography.Biography*|802|classification.ores.articletopic/Culture.Media.Films|508","Q3400399","nm1064292","Craig Roberts","match",NA,NA
"Caryl Parry Jones","classification.ores.articletopic/Culture.Media.Media*|725|classification.ores.articletopic/Geography.Regions.Europe.Europe*|733|classification.ores.articletopic/Culture.Biography.Biography*|935|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|792","Q18108230","nm2659655","Caryl Parry Jones","match",NA,NA
"Henry Fonda","classification.ores.articletopic/Culture.Sports|38|classification.ores.articletopic/Culture.Biography.Biography*|965|classification.ores.articletopic/Geography.Regions.Americas.North America|724","Q19155","nm0000020","Henry Fonda","match",NA,NA
"Euros Lyn","classification.ores.articletopic/Culture.Biography.Biography*|748|classification.ores.articletopic/Culture.Media.Media*|981|classification.ores.articletopic/Culture.Media.Entertainment|436|classification.ores.articletopic/Culture.Media.Television|944|classification.ores.articletopic/Geography.Regions.Europe.Europe*|872","Q2663889","nm0528186","Euros Lyn","match",NA,NA
"Catherine Zeta-Jones","classification.ores.articletopic/Culture.Media.Media*|888|classification.ores.articletopic/Culture.Media.Films|466|classification.ores.articletopic/History and Society.History|202|classification.ores.articletopic/History and Society.Society|310|classification.ores.articletopic/Culture.Biography.Women|685|classification.ores.articletopic/Culture.Biography.Biography*|919","Q47664","nm0001876","Catherine Zeta-Jones","match",NA,NA
"George R. R. Martin","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Geography.Regions.Americas.North America|544|classification.ores.articletopic/Culture.Biography.Biography*|408|classification.ores.articletopic/Culture.Literature|940|recommendation.link/exists|1","Q181677","nm552333",NA,NA,NA,NA
"David Kaufman","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Entertainment|615|classification.ores.articletopic/Geography.Regions.Americas.North_America|685|classification.ores.articletopic/Culture.Media.Music|731|classification.ores.articletopic/Culture.Media.Films|607|classification.ores.articletopic/Culture.Biography.Women|554","Q3241556","nm0442120","David Kaufman","match",NA,NA
"Gavin McInnes","classification.ores.articletopic/Culture.Media.Media*|637|classification.ores.articletopic/History and Society.Education|371|classification.ores.articletopic/Geography.Regions.Americas.North America|585|classification.ores.articletopic/Culture.Biography.Biography*|843","Q5528217","nm2448354","Gavin McInnes","match",NA,NA
"Jennifer Aniston","classification.ores.articletopic/Culture.Biography.Biography*|838|classification.ores.articletopic/Culture.Media.Media*|894|classification.ores.articletopic/History and Society.Society|387|classification.ores.articletopic/Culture.Media.Films|482","Q32522","nm0000098","Jennifer Aniston","match",NA,NA
"Just Jaeckin","classification.ores.articletopic/Culture.Media.Films|960|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Geography.Regions.Europe.Europe*|817|classification.ores.articletopic/Culture.Media.Media*|839|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|867","Q569824","nm0415333","Just Jaeckin","match",NA,NA
"Richard Harrington","classification.ores.articletopic/Culture.Media.Media*|941|classification.ores.articletopic/Culture.Media.Television|819|classification.ores.articletopic/Culture.Biography.Biography*|654|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|682","Q7326280","nm0364348","Richard Harrington","match",NA,NA
"Gwyn Elfyn","classification.ores.articletopic/Culture.Media.Films|531|classification.ores.articletopic/Culture.Biography.Biography*|999","Q13128891","nm0253354","Gwyn Elfyn","match",NA,NA
"Luke Evans","classification.ores.articletopic/Culture.Media.Films|369|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|627|classification.ores.articletopic/Culture.Media.Media*|842|classification.ores.articletopic/Culture.Biography.Biography*|920","Q722001","nm1812656","Luke Evans","match",NA,NA
"Jim Henson","classification.ores.articletopic/Culture.Media.Media*|647|classification.ores.articletopic/Culture.Biography.Biography*|829|classification.ores.articletopic/STEM.Biology|940|classification.ores.articletopic/Geography.Regions.Americas.North America|933","Q191037","nm0001345","Jim Henson","match",NA,NA
