"title","wikibase_item","CompanyID","QID.imdb"
"Liste der Pixar-Filme","Q2732470","co0017902",NA
"Hammer-Filme","Q3748933","co0103101",NA
"Bungie","Q735267","co0114949",NA
"Ziegler Film","Q21964532","co0464520",NA
"DoRo Produktion","Q877706","co0211260",NA
"Casablanca Records","Q1046707","co0032235",NA
"Mathias Sandorf","Q645024","co0036894",NA
"21Sextury","Q4771811","co0146894",NA
"Filmgalerie 451","Q105393855","co0070145",NA
"Mackevision","Q21031532","co0477501",NA
"Associated Independent Recording","Q743026","co0137663",NA
"Christopher Paul George","Q93954228","co0725662",NA
"Real Film Berlin","Q99302364","co0436241",NA
"NFP Neue Film Produktion","Q106238756","co0222739",NA
"Finnischer Film","Q1001500","co0073557",NA
"Terra Mater Factual Studios","Q30854293","co0369795",NA
"Decla-Bioskop","Q54709350","co0069975",NA
"Breitwandfilme der Universal Pictures in CinemaScope","Q29904084","co0021358",NA
"Corazón International","Q1131926","co0123730",NA
"U5 Filmproduktion","Q99302365","co0006491",NA
"Marc Wohlrabe","Q19513422","co0018825",NA
"Raleigh Studios","Q2380474","co0022349",NA
"FreibeuterFilm","Q18624254","co0215798",NA
"Kordes & Kordes Film","Q111843036","co0154662",NA
"Lucasfan Games","Q2577763","co0281342",NA
"Instituto Mexicano de Cinematografía","Q1665206","co0011735",NA
"Endorphine Production","Q98636310","co0228633",NA
"Rai Cinema","Q3929491","co0066197",NA
"Kurhaus production","Q106779236","co0261712",NA
"Martin Dentler","Q22920308","co0137737",NA
"Astro Records & Filmworks","Q60982782","co0003935",NA
"Midas Filmes","Q1931782","co0204243",NA
"Berliner Theater (Schöneberg)","Q69706991","co0087803",NA
"Frank Driggs","Q638424","co0044653",NA
"Liste der Searchlight-Pictures-Filme","Q85778453","co0781820",NA
"Headbone Interactive","Q18392567","co0399146",NA
"Signal.MD","Q28687148","co0503843",NA
"Döring-Film","Q18019471","co0077386",NA
"Witcraft Szenario","Q2586467","co0267742",NA
"GNP Crescendo Records","Q5513979","co0138663",NA
"Václav Reischl","Q1624814","co0289051",NA
"Reck Filmproduktion","Q104439655","co0137497",NA
"Unfiltered Artists","Q106912917","co0537569",NA
"Maharashtra Film Company","Q141712","co0008753",NA
"Maxximum Film Und Kunst","Q1914336","co0115435",NA
"Kino.net","Q31026005","co0257022",NA
"Fundo de Investimento para o Cinema e o Audiovisual","Q113534592","co0314826",NA
"Minds Eye Entertainment","Q1936485","co0141205",NA
"Dörfler-Filmproduktion","Q22328340","co0013954",NA
"New Line Home Entertainment","Q17091578","co0079450",NA
"Minerva Movietone","Q1936629","co0112435",NA
