"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"The Walt Disney Company","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/History_and_Society.Business_and_economics|912|classification.ores.articletopic/Culture.Media.Films|835|classification.ores.articletopic/Geography.Regions.Americas.North_America|731","Q7414","tt0780521","The Princess and the Frog","not exact match",NA,NA
"Pornodarsteller","classification.ores.articletopic/STEM.STEM*|705|classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/STEM.Biology|705|classification.ores.articletopic/History_and_Society.Society|843","Q488111","tt0386141","À l'écu d'or","not exact match",NA,NA
"Resident Evil (Realfilmreihe)","classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Culture.Media.Video_games|562|classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Culture.Internet_culture|546","Q1276325","tt0432021","Resident Evil: Extinction","not exact match",NA,NA
"Science-Fiction-Film","classification.ores.articletopic/Culture.Media.Films|984|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Entertainment|859|recommendation.image_section/exists|1","Q471839","tt5679566","Violent Starr","not exact match",NA,NA
"The Rainbow Connection","classification.ores.articletopic/Culture.Media.Music|999|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|855","Q3417774","tt0079588","The Muppet Movie","not exact match",NA,NA
"Point-of-View-Shot","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Media.Films|999|recommendation.image/exists|1","Q263963","tt0039545","Lady in the Lake","not exact match",NA,NA
"Fluffer","classification.ores.articletopic/Culture.Media.Films|995|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/History and Society.Society|414|classification.ores.articletopic/STEM.Biology|84|recommendation.image/exists|1","Q1430623","tt0245115","The Fluffer","not exact match",NA,NA
"American Horror Story: Murder House","classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Geography.Regions.Americas.North America|528|classification.ores.articletopic/Culture.Media.Films|284|classification.ores.articletopic/Culture.Media.Entertainment|707|classification.ores.articletopic/Culture.Media.Television|997","Q689821","tt1844624","American Horror Story","not exact match",NA,NA
"King Kong","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Media.Films|998","Q216810","tt0074751","King Kong","match",NA,NA
"American Horror Story: Hotel","classification.ores.articletopic/Culture.Media.Films|354|classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Culture.Media.Television|827|recommendation.link/exists|1","Q19361457","tt1844624","American Horror Story","not exact match",NA,NA
"Speedy Gonzales","classification.ores.articletopic/Culture.Media.Films|308|classification.ores.articletopic/Culture.Media.Media*|969|recommendation.image_section/exists|1|recommendation.image/exists|1","Q912984","tt0048649","Speedy Gonzales","match",NA,NA
"American Horror Story: Asylum","classification.ores.articletopic/Culture.Media.Television|991|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Entertainment|820|classification.ores.articletopic/Culture.Media.Films|588","Q129397","tt1844624","American Horror Story","not exact match",NA,NA
