"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Carmen Cervera","classification.ores.articletopic/Culture.Visual arts.Visual arts*|929|classification.ores.articletopic/Culture.Biography.Biography*|874|classification.ores.articletopic/Geography.Regions.Europe.Southern Europe|872|classification.ores.articletopic/History and Society.History|536|classification.ores.articletopic/Geography.Regions.Europe.Europe*|909","Q433144","nm2405826",NA,NA,"nm0148947",NA
"Nina Chuba","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Europe.Europe*|615|classification.ores.articletopic/Culture.Biography.Women|743|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|554|classification.ores.articletopic/Culture.Media.Music|974|classification.ores.articletopic/Culture.Media.Media*|968","Q26772552","nm3747198",NA,NA,"nm2950377",NA
"Pippi Langstrumpf","classification.ores.articletopic/Culture.Biography.Biography*|880|classification.ores.articletopic/Culture.Biography.Women|793|classification.ores.articletopic/Culture.Literature|863","Q6668","nm0000073","Shirley Temple","not exact match",NA,NA
"Jürgen Vogel","classification.ores.articletopic/Geography.Regions.Europe.Europe*|622|classification.ores.articletopic/Culture.Media.Films|658|classification.ores.articletopic/Culture.Media.Media*|737|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|615|classification.ores.articletopic/Culture.Biography.Biography*|980","Q62052","nm0900920",NA,NA,"nm0900915",NA
"Mark Zuckerberg","classification.ores.articletopic/Culture.Biography.Biography*|945|classification.ores.articletopic/History_and_Society.Business_and_economics|629|classification.ores.articletopic/Geography.Regions.Americas.North_America|585|recommendation.image_section/exists|1","Q36215","nm4800907","Randi Zuckerberg","not exact match","nm3212916",NA
"Barbara Engel","classification.ores.articletopic/Geography.Regions.Europe.Europe*|666|classification.ores.articletopic/Culture.Biography.Biography*|988|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|747|classification.ores.articletopic/Culture.Visual arts.Visual arts*|705|classification.ores.articletopic/Culture.Visual arts.Fashion|887","Q14524660","nm1506164",NA,NA,"nm0993517",NA
"The Weeknd","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Geography.Regions.Americas.North_America|859|classification.ores.articletopic/Culture.Biography.Biography*|658|classification.ores.articletopic/Culture.Media.Music|995|recommendation.image_section/exists|1","Q2121062","nm5809538",NA,NA,"nm1070597",NA
"Sebastian Pufpaff","classification.ores.articletopic/Culture.Biography.Biography*|569|classification.ores.articletopic/Geography.Regions.Europe.Europe*|718|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|855","Q1313697","nm4676677",NA,NA,"nm3908218",NA
"Reiner Goldberg","classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|592|classification.ores.articletopic/Culture.Performing_arts|973|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Music|999|classification.ores.articletopic/Culture.Biography.Biography*|754","Q76130","nm0325291","Reiner Goldberg","match",NA,NA
"Black Sabbath","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Media.Music|999|classification.ores.articletopic/Culture.Biography.Biography*|577|recommendation.image_section/exists|1","Q47670","nm0990572","Geoff Nicholls","not exact match","nm1277292",NA
"Conchita Wurst","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Geography.Regions.Europe.Europe*|843|classification.ores.articletopic/Culture.Biography.Biography*|826|classification.ores.articletopic/Culture.Media.Music|699|classification.ores.articletopic/Culture.Media.Television|998","Q113581","nm4690036",NA,NA,"nm2535973",NA
"Jesse Williams (Schauspieler)","classification.ores.articletopic/Culture.Biography.Women|592|classification.ores.articletopic/Culture.Biography.Biography*|939|classification.ores.articletopic/Culture.Media.Media*|963|classification.ores.articletopic/Geography.Regions.Americas.North_America|919|classification.ores.articletopic/Culture.Media.Films|948|recommendation.image_section/exists|1","Q40046","nm2222264",NA,NA,"nm0930898",NA
"Dschinghis Khan","classification.ores.articletopic/Culture.Biography.Biography*|959|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Geography.Regions.Europe.Europe*|956|classification.ores.articletopic/Culture.Media.Music|966|classification.ores.articletopic/Culture.Biography.Women|644|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|985|classification.ores.articletopic/Culture.Media.Television|924","Q106861","nm3900459",NA,NA,"nm1507909",NA
"Puhdys","classification.ores.articletopic/Geography.Regions.Europe.Europe*|899|classification.ores.articletopic/Culture.Media.Media*|766|classification.ores.articletopic/Culture.Media.Music|592|classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|953","Q657976","nm0700148","Puhdys","match",NA,NA
"Bernd Stegemann (Schauspieler)","classification.ores.articletopic/Culture.Biography.Biography*|975|classification.ores.articletopic/Culture.Media.Films|928|classification.ores.articletopic/Culture.Media.Media*|754","Q824272","nm0825216",NA,NA,"nm0797031",NA
"Daniel Donskoy","classification.ores.articletopic/Culture.Biography.Biography*|987|classification.ores.articletopic/Culture.Media.Media*|808","Q28858358","nm6838351",NA,NA,"nm6838237",NA
"Tony Marshall","classification.ores.articletopic/Culture.Biography.Biography*|804|classification.ores.articletopic/Culture.Media.Media*|642|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|726|classification.ores.articletopic/Culture.Media.Music|764","Q76084","nm1047360",NA,NA,"nm0551218",NA
"The Prodigy","classification.ores.articletopic/Culture.Media.Music|958|classification.ores.articletopic/Culture.Biography.Biography*|673|classification.ores.articletopic/Culture.Media.Media*|957","Q7256860","nm1126193","Liam Howlett","not exact match","nm1980220",NA
"Sara Gilbert","classification.ores.articletopic/Culture.Biography.Women|858|classification.ores.articletopic/Culture.Media.Media*|886|classification.ores.articletopic/Culture.Biography.Biography*|867|recommendation.image_section/exists|1","Q231405","nm0318229",NA,NA,"nm0004960",NA
"Danny Huston","classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Culture.Biography.Biography*|957|classification.ores.articletopic/Culture.Media.Films|912","Q357762","nm0404111",NA,NA,"nm0396812",NA
"Jussi Adler-Olsen","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|900|classification.ores.articletopic/Geography.Regions.Europe.Europe*|870|classification.ores.articletopic/Culture.Biography.Biography*|710|classification.ores.articletopic/Culture.Literature|648","Q930301","nm1568417",NA,NA,"nm0647695",NA
"Alexander Stevens","classification.ores.articletopic/Culture.Biography.Biography*|995","Q1274331","nm10354923","Alexander Stevens","match","nm7683121",NA
"Casper (Rapper)","classification.ores.articletopic/Culture.Media.Media*|966|classification.ores.articletopic/Culture.Media.Music|966|classification.ores.articletopic/Culture.Biography.Biography*|874|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|500","Q324686","nm5424601",NA,NA,"nm0143840",NA
"Ronja Räubertochter","classification.ores.articletopic/Culture.Biography.Biography*|899|classification.ores.articletopic/Culture.Literature|934|classification.ores.articletopic/Culture.Biography.Women|874","Q1144655","nm4265848","Axel Bergstedt","not exact match",NA,NA
"Taylor Swift/Diskografie","classification.ores.articletopic/Culture.Media.Music|991|classification.ores.articletopic/Culture.Biography.Women|592|classification.ores.articletopic/Culture.Biography.Biography*|831|classification.ores.articletopic/Culture.Media.Media*|990","Q276736","nm2357847","Taylor Swift","not exact match",NA,NA
"Molly C. Quinn","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Culture.Biography.Biography*|888","Q36195","nm2829369",NA,NA,"nm0703939",NA
"Die Antwoord","classification.ores.articletopic/Culture.Media.Music|980|classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Geography.Regions.Africa.Southern_Africa|699|recommendation.image_section/exists|1","Q23376","nm4137949","Die Antwoord","match",NA,NA
"Ahmad Mansour (Autor)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|607|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|731","Q17122133","nm9517475",NA,NA,"nm9074042",NA
