"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Ειρήνη Παπά","classification.ores.articletopic/Geography.Regions.Europe.Europe*|955|classification.ores.articletopic/Culture.Media.Media*|798|classification.ores.articletopic/Culture.Media.Films|600|classification.ores.articletopic/Culture.Biography.Biography*|812|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|989|recommendation.image_section/exists|1","Q230563","tt0055950","Electra","not exact match",NA,NA
"Σοφία Λόρεν","classification.ores.articletopic/Culture.Biography.Women|808|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Films|955|classification.ores.articletopic/Culture.Media.Media*|968","Q43252","tt0113228","Grumpier Old Men","not exact match",NA,NA
"Χάρι Πότερ (σειρά ταινιών)","classification.ores.articletopic/Culture.Media.Media*|956|classification.ores.articletopic/Culture.Media.Films|573|classification.ores.articletopic/Culture.Literature|730|recommendation.link/exists|1","Q216930","tt0373889","Harry Potter and the Order of the Phoenix","not exact match",NA,NA
"Ζωή Λάσκαρη","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|884|classification.ores.articletopic/Culture.Media.Films|754|classification.ores.articletopic/Geography.Regions.Europe.Europe*|737|classification.ores.articletopic/Culture.Biography.Biography*|896","Q8073293","tt0482547","Miss Universe Pageant","not exact match",NA,NA
"Ίαν ΜακΚέλεν","classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Biography.Biography*|912|classification.ores.articletopic/Culture.Media.Media*|949","Q170510","tt0611354","Episode #9.5","not exact match",NA,NA
"Κουέντιν Ταραντίνο","classification.ores.articletopic/Culture.Media.Media*|910|classification.ores.articletopic/Culture.Biography.Biography*|803|classification.ores.articletopic/Geography.Regions.Americas.North America|550|classification.ores.articletopic/Culture.Media.Films|774|classification.ores.articletopic/History and Society.Society|550|recommendation.link/exists|1","Q3772","tt0110912","Pulp Fiction","not exact match",NA,NA
"Νικόλ Κίντμαν","classification.ores.articletopic/Culture.Biography.Biography*|988|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Geography.Regions.Americas.North_America|622|classification.ores.articletopic/Culture.Biography.Women|994|classification.ores.articletopic/Culture.Media.Films|969","Q37459","tt3864056","The Goldfinch","not exact match",NA,NA
"Δημήτρης Νικολαΐδης","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|793|classification.ores.articletopic/Geography.Regions.Europe.Europe*|724|classification.ores.articletopic/Culture.Media.Media*|569|classification.ores.articletopic/Culture.Media.Films|658","Q5277656","tt0056825","America America","not exact match",NA,NA
"Ρόμαν Πολάνσκι","classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Films|989|classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Geography.Regions.Americas.North_America|531","Q51552","tt0071315","Chinatown","not exact match",NA,NA
"Τζόλυ Γαρμπή","classification.ores.articletopic/Culture.Media.Media*|538|classification.ores.articletopic/Culture.Biography.Biography*|831|classification.ores.articletopic/Culture.Media.Films|679","Q6270162","tt0343302","The Search for Alexander the Great","not exact match",NA,NA
