"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Ρόμπερτ Οπενχάιμερ","classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/History and Society.Politics and government|544|classification.ores.articletopic/Geography.Regions.Americas.North America|607|classification.ores.articletopic/STEM.STEM*|852|recommendation.image_section/exists|1","Q132537","nm0649185","J. Robert Oppenheimer","not exact match",NA,NA
"Νίκος Καζαντζάκης","classification.ores.articletopic/Geography.Regions.Europe.Europe*|949|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|826|classification.ores.articletopic/Culture.Biography.Biography*|685","Q214622","nm0443611","Nikos Kazantzakis","not exact match",NA,NA
"Μάικλ Γκάμπον","classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Culture.Biography.Women|562|classification.ores.articletopic/Culture.Performing_arts|743|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Europe.Europe*|924|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|946|classification.ores.articletopic/Culture.Media.Films|692","Q203545","nm2091",NA,NA,NA,NA
"Σωτήρης Μουστάκας","classification.ores.articletopic/Culture.Media.Films|531|classification.ores.articletopic/Culture.Media.Media*|665|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Geography.Regions.Europe.Europe*|737|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|812","Q3491392","nm0610127","Sotiris Moustakas","not exact match",NA,NA
"Αλίκη Βουγιουκλάκη","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|930|classification.ores.articletopic/Geography.Regions.Europe.Europe*|859|classification.ores.articletopic/Culture.Media.Media*|884|classification.ores.articletopic/Culture.Biography.Biography*|731|classification.ores.articletopic/Culture.Media.Films|679","Q451116","nm0903818","Aliki Vougiouklaki","not exact match",NA,NA
"Λάμπρος Κωνσταντάρας","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|724|classification.ores.articletopic/Geography.Regions.Europe.Europe*|880|classification.ores.articletopic/Culture.Biography.Biography*|546|classification.ores.articletopic/Culture.Media.Films|507","Q3269881","nm0465349","Labros Konstadaras","not exact match",NA,NA
"Έλλη Τρίγγου","classification.ores.articletopic/Culture.Biography.Biography*|928|classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Media.Films|644|classification.ores.articletopic/Geography.Regions.Europe.Europe*|692","Q51913358","nm6701170","Elli Tringou","not exact match",NA,NA
"Μίνως Μάτσας","classification.ores.articletopic/Geography.Regions.Europe.Europe*|831|classification.ores.articletopic/Culture.Biography.Biography*|957|classification.ores.articletopic/Culture.Media.Music|569|classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|939","Q30085577","nm1060945","Minos Matsas","not exact match",NA,NA
"Μελίνα Ασλανίδου","classification.ores.articletopic/Geography.Regions.Europe.Europe*|955|classification.ores.articletopic/Culture.Media.Music|953|classification.ores.articletopic/Culture.Media.Media*|917|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|507|classification.ores.articletopic/Culture.Biography.Biography*|993","Q3798184","nm2733721","Melina Aslanidou","not exact match",NA,NA
"Αντώνης Καφετζόπουλος","classification.ores.articletopic/Culture.Biography.Biography*|863","Q5896950","nm0434511","Antonis Kafetzopoulos","not exact match",NA,NA
"Γιώργος Νινιός","classification.ores.articletopic/Culture.Media.Media*|679|classification.ores.articletopic/Culture.Biography.Biography*|847","Q5563566","nm0632465","Giorgos Ninios","not exact match",NA,NA
"Ειρήνη Παπά","classification.ores.articletopic/Geography.Regions.Europe.Europe*|955|classification.ores.articletopic/Culture.Media.Media*|798|classification.ores.articletopic/Culture.Media.Films|600|classification.ores.articletopic/Culture.Biography.Biography*|812|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|989|recommendation.image_section/exists|1","Q230563","nm0660327","Irene Papas","not exact match",NA,NA
"Βασίλης Μπισμπίκης","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|651|classification.ores.articletopic/Geography.Regions.Europe.Europe*|798|classification.ores.articletopic/Culture.Biography.Biography*|615|classification.ores.articletopic/Culture.Media.Films|515|classification.ores.articletopic/Culture.Media.Media*|859","Q88692410","nm2802018","Vassilis Bisbikis","not exact match",NA,NA
"Φρέντι Μέρκιουρι","classification.ores.articletopic/Culture.Media.Media*|971|classification.ores.articletopic/Culture.Biography.Biography*|934|classification.ores.articletopic/Culture.Media.Music|987|recommendation.image_section/exists|1","Q15869","nm0006198","Freddie Mercury","not exact match",NA,NA
"Ζέτα Μακρυπούλια","classification.ores.articletopic/Culture.Biography.Biography*|990|classification.ores.articletopic/Geography.Regions.Europe.Europe*|665|classification.ores.articletopic/Culture.Media.Media*|839","Q5202673","nm1105795","Zeta Makrypoulia","not exact match",NA,NA
"Κατερίνα Λέχου","classification.ores.articletopic/Geography.Regions.Europe.Europe*|798|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|731|classification.ores.articletopic/Culture.Biography.Biography*|964|classification.ores.articletopic/Culture.Media.Media*|507","Q12878984","nm1030832","Katerina Lehou","not exact match",NA,NA
"Βάσω Λασκαράκη","classification.ores.articletopic/Culture.Media.Media*|771|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Culture.Biography.Biography*|962","Q7916869","nm3139672","Vaso Laskaraki","not exact match",NA,NA
"Μάρω Κοντού","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|851|classification.ores.articletopic/Culture.Biography.Biography*|699|classification.ores.articletopic/Geography.Regions.Europe.Europe*|874|recommendation.image/exists|1","Q15284647","nm0462685","Maro Kodou","not exact match",NA,NA
"Πάνος Μιχαλόπουλος","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|562|classification.ores.articletopic/Culture.Media.Media*|712|classification.ores.articletopic/Geography.Regions.Europe.Europe*|600|classification.ores.articletopic/Culture.Biography.Biography*|980","Q7131554","nm0586204","Panos Mihalopoulos","not exact match",NA,NA
"Τζερόμ Καλούτα","classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Geography.Regions.Europe.Europe*|904|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|835|classification.ores.articletopic/Culture.Media.Television|803","Q94626827","nm4692827","Jerome Kaluta","not exact match",NA,NA
"Τούπακ Σακούρ","classification.ores.articletopic/Culture.Biography.Biography*|973|classification.ores.articletopic/Culture.Media.Music|930|classification.ores.articletopic/Culture.Media.Media*|948|classification.ores.articletopic/Geography.Regions.Americas.North_America|651|recommendation.image_section/exists|1","Q6107","nm1936394","Keisha Morris","not exact match",NA,NA
"Πέμη Ζούνη","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|930|classification.ores.articletopic/Geography.Regions.Europe.Europe*|847|classification.ores.articletopic/Culture.Biography.Biography*|887|classification.ores.articletopic/Culture.Media.Media*|737","Q16061948","nm0958076","Pemi Zouni","not exact match",NA,NA
"Αιμίλιος Χειλάκης","classification.ores.articletopic/Culture.Media.Media*|712|classification.ores.articletopic/Culture.Biography.Biography*|826|classification.ores.articletopic/Culture.Media.Films|658","Q23905824","nm0157436","Aimilios Heilakis","not exact match",NA,NA
"Έμμα Μάκεϊ","classification.ores.articletopic/Culture.Media.Media*|723|classification.ores.articletopic/Culture.Media.Films|469|classification.ores.articletopic/Culture.Biography.Biography*|861|recommendation.image_section/exists|1","Q60590137","nm8076281","Emma Mackey","not exact match",NA,NA
"Καρυοφυλλιά Καραμπέτη","classification.ores.articletopic/Culture.Biography.Biography*|546|classification.ores.articletopic/Culture.Performing_arts|803","Q12878815","nm0438689","Karyofyllia Karabeti","not exact match",NA,NA
"Θάλεια Ματίκα","classification.ores.articletopic/Culture.Biography.Biography*|880|classification.ores.articletopic/Culture.Media.Media*|712|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|658|classification.ores.articletopic/Geography.Regions.Europe.Europe*|585","Q12877706","nm1228230","Thaleia Matika","not exact match",NA,NA
"Μάργκοτ Ρόμπι","classification.ores.articletopic/Culture.Media.Films|946|classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Culture.Media.Media*|948|recommendation.image_section/exists|1","Q1924847","nm3053338","Margot Robbie","not exact match",NA,NA
"Χριστόφορος Παπακαλιάτης","classification.ores.articletopic/Culture.Biography.Biography*|939|classification.ores.articletopic/Culture.Media.Media*|692","Q15002185","nm0660245","Christopher Papakaliatis","not exact match",NA,NA
"Βόλφγκανγκ Αμαντέους Μότσαρτ","classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Culture.Biography.Biography*|924|classification.ores.articletopic/Culture.Media.Music|974|classification.ores.articletopic/Culture.Performing arts|862","Q254","nm0003665","Wolfgang Amadeus Mozart","not exact match",NA,NA
"Μίκης Θεοδωράκης","classification.ores.articletopic/Geography.Regions.Europe.Europe*|919|classification.ores.articletopic/Culture.Biography.Biography*|798|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|839","Q151976","nm0006319","Mikis Theodorakis","not exact match",NA,NA
"Σταύρος Ζαλμάς","classification.ores.articletopic/Culture.Media.Media*|899|classification.ores.articletopic/Geography.Regions.Europe.Europe*|523|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|546|classification.ores.articletopic/Culture.Biography.Biography*|952","Q85842555","nm0952458","Stavros Zalmas","not exact match",NA,NA
"Σάκης Ρουβάς","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Television|692|classification.ores.articletopic/Culture.Biography.Biography*|943|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|969|classification.ores.articletopic/Geography.Regions.Europe.Europe*|896|classification.ores.articletopic/Culture.Media.Music|874","Q60970","nm1648391","Sakis Rouvas","not exact match",NA,NA
"Στάθης Ψάλτης","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|985|classification.ores.articletopic/Geography.Regions.Europe.Europe*|934|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Media*|592","Q7604113","nm0699614","Stathis Psaltis","not exact match",NA,NA
"Τζούλια Ρόμπερτς","classification.ores.articletopic/Culture.Media.Media*|856|classification.ores.articletopic/Geography.Regions.Americas.North America|676|classification.ores.articletopic/Culture.Media.Films|539|classification.ores.articletopic/History and Society.Society|336|classification.ores.articletopic/Culture.Biography.Biography*|773","Q40523","nm0000210","Julia Roberts","not exact match",NA,NA
