"title","wikibase_item","CompanyID","QID.imdb"
"Northwestern University","Q309350","co0128376",NA
"Torquay","Q209055","co0014269",NA
"Torquay","Q209055","co0035914",NA
"List of National Lampoon films","Q6591456","co0184093",NA
"List of National Lampoon films","Q6591456","co0102282",NA
"Dickson Poon","Q5273802","co0020462",NA
"Boulting brothers","Q3181105","co0103294",NA
"Amitabh Bachchan Corporation","Q4746909","co0100445",NA
"Powell and Pressburger","Q3400831","co0103153",NA
"List of Hanna-Barbera characters","Q3900312","co0024579",NA
"Color motion picture film","Q941530","co0002739",NA
"Kidsongs","Q6405035","co0152386",NA
"London Borough of Merton","Q32504","co0135632",NA
"List of Troma films","Q6600677","co0019150",NA
"Title sequence","Q441606","co0058110",NA
"History of computer animation","Q5867556","co0143869",NA
"List of films produced and released by Viva Films","Q56550747","co0046157",NA
"The Adventure Series","Q319083","co0004240",NA
"List of television series and films based on Dark Horse Comics publications","Q378189","co0020061",NA
"Paul Crouch Jr.","Q7150034","co0419306",NA
"ELP Communications","Q5323317","co0090287",NA
"ELP Communications","Q5323317","co0128193",NA
"ELP Communications","Q5323317","co0020869",NA
"ELP Communications","Q5323317","co0046830",NA
"ELP Communications","Q5323317","co0066302",NA
"WWE Home Video","Q5474463","co0078719",NA
"WWE Home Video","Q5474463","co0108619",NA
"WWE Home Video","Q5474463","co0014828",NA
"WWE Home Video","Q5474463","co0092307",NA
"1917 in film","Q923061","co0051651",NA
"Aesop's Fables (film series)","Q2825683","co0035137",NA
"Aesop's Fables (film series)","Q2825683","co0122161",NA
"Legacy Effects","Q17149291","co0282891",NA
"DV8 Physical Theatre","Q2918822","co0156654",NA
"Violator (company)","Q7933110","co0099695",NA
"Emmay Entertainment","Q28153773","co0415569",NA
"HMS Powerful (1895)","Q2121074","co0103009",NA
"Andrew Banks","Q20810459","co0221144",NA
"Blue Fox Entertainment","Q48976677","co0571694",NA
"Keshet Media Group","Q2910545","co0068002",NA
"List of television series and films based on Boom! Studios publications","Q96390297","co0184340",NA
"1902 in film","Q936395","co0051651",NA
"Enrique Krauze","Q528185","co0144711",NA
"Joseph Medawar","Q17386363","co0217434",NA
"Polonia brothers","Q7225941","co0002754",NA
"Zeitgeist Films","Q8068615","co0078470",NA
"SNL Studios","Q7391860","co0098530",NA
"Film title design","Q5449040","co0058110",NA
"Trans-Lux","Q7833540","co0020177",NA
"NorthSouth Productions","Q7053610","co0123904",NA
"NTA Film Network","Q6955443","co0054771",NA
"List of Spümcø works","Q17109179","co0052166",NA
"Sarathi Studios","Q7421974","co0058630",NA
"Revelations Entertainment","Q7317854","co0075256",NA
"Screen Ireland","Q6070740","co0091878",NA
"Chipperfield's Circus","Q5101654","co0001419",NA
"S.W.A.T. (soundtrack)","Q7387318","co0016836",NA
"Joseph Cayre","Q16105579","co0017741",NA
"Christie Film Company","Q5110670","co0036849",NA
"Agency for the Performing Arts","Q4692020","co0078069",NA
"Mansour (TV series)","Q22690141","co0529233",NA
"Mansour (TV series)","Q22690141","co0446708",NA
"Mansour (TV series)","Q22690141","co0362167",NA
"Michael Jay Solomon","Q23682752","co0119345",NA
"Digital Frontier","Q5275866","co0024252",NA
"Digital Frontier","Q5275866","co0142006",NA
"List of programs broadcast by the DuMont Television Network","Q6635407","co0071248",NA
"Conor McAnally","Q5162248","co0131612",NA
"Walter Reade","Q7965932","co0197188",NA
"List of Coronet Films films","Q22079445","co0015758",NA
"Multimedia Entertainment","Q6934768","co0150299",NA
"Multimedia Entertainment","Q6934768","co0065741",NA
"List of Venevisión telenovelas","Q6140580","co0054264",NA
"List of Venevisión telenovelas","Q6140580","co0081793",NA
"My Family (series 1)","Q6945355","co0104185",NA
"Comic strip syndication","Q48995646","co0012604",NA
"Cinema of Lebanon","Q2973197","co0247997",NA
"Prizma","Q7246553","co0002739",NA
"April 1917","Q13080391","co0051651",NA
"Robert King (conductor)","Q3938332","co0152630",NA
"List of Scotland-based production companies","Q16150557","co0417929",NA
"List of Scotland-based production companies","Q16150557","co0261269",NA
"List of Scotland-based production companies","Q16150557","co0398060",NA
"List of Scotland-based production companies","Q16150557","co0181418",NA
"List of Scotland-based production companies","Q16150557","co0454986",NA
"List of Scotland-based production companies","Q16150557","co0189807",NA
"List of Scotland-based production companies","Q16150557","co0189431",NA
"List of Scotland-based production companies","Q16150557","co0260469",NA
"List of Scotland-based production companies","Q16150557","co0121295",NA
"List of Scotland-based production companies","Q16150557","co0132355",NA
"List of Scotland-based production companies","Q16150557","co0444351",NA
"List of Scotland-based production companies","Q16150557","co0177828",NA
"List of Scotland-based production companies","Q16150557","co0358381",NA
"List of Scotland-based production companies","Q16150557","co0333343",NA
"List of Scotland-based production companies","Q16150557","co0446897",NA
"List of Scotland-based production companies","Q16150557","co0160088",NA
"List of Scotland-based production companies","Q16150557","co0133573",NA
"List of Scotland-based production companies","Q16150557","co0393253",NA
"List of Scotland-based production companies","Q16150557","co0291254",NA
"List of Scotland-based production companies","Q16150557","co0146731",NA
"List of Scotland-based production companies","Q16150557","co0351557",NA
"Frank Evers (businessman)","Q16196002","co0122627",NA
"Tri-Ergon","Q3538629","co0012004",NA
"Tri-Ergon","Q3538629","co0083852",NA
"Children's Film Foundation filmography","Q5449153","co0103210",NA
"Ken Myer","Q6388209","co0052470",NA
"Michael Kulich","Q16731085","co0389143",NA
"My Family (series 2)","Q6945358","co0104185",NA
"Warwick Films","Q7971135","co0103268",NA
"My Family (series 3)","Q6945360","co0104185",NA
"My Family (series 5)","Q6945362","co0104185",NA
"Cinema Management Group","Q17986499","co0179243",NA
"Garrett Kelleher","Q5523916","co0237039",NA
"My Family (series 4)","Q6945361","co0104185",NA
"Can Stock Photo","Q20026793","co0516056",NA
"Rise FX","Q55631737","co0318973",NA
"Hot Entertainment","Q5909960","co0052942",NA
"Vim Comedy Company","Q3559330","co0043270",NA
"Sands Films","Q7416898","co0002760",NA
"Experimental Cinema of the Philippines","Q5421102","co0112867",NA
"Beaconsfield Film Studios","Q4876024","co0103148",NA
"No Gravity (video game)","Q7043913","co0305443",NA
"Castel Film Romania","Q858937","co0020879",NA
"Cinema of Kosovo","Q10840252","co0035224",NA
"Madan Theatre","Q17068451","co0013479",NA
"West London Film Studios","Q18712625","co0668861",NA
"The Animation Workshop","Q7713841","co0238617",NA
"Corymore Productions","Q5173743","co0054949",NA
"Sagar Movietone","Q23020137","co0011791",NA
"Cinelatino","Q3206411","co0124398",NA
"École Supérieure de Réalisation Audiovisuelle","Q3578463","co0185018",NA
"École Supérieure de Réalisation Audiovisuelle","Q3578463","co0151629",NA
"Bell Fund","Q20313238","co0232147",NA
"Fangoria Films","Q5433853","co0060480",NA
"My Family (series 7)","Q6945364","co0104185",NA
"SP Entertainments","Q7392704","co0229853",NA
"Maria Amapola Cabase","Q8197051","co0108980",NA
"Black Audio Film Collective","Q18358517","co0104163",NA
"My Family (series 11)","Q6945357","co0104185",NA
"Fred Mossler","Q18151192","co0462791",NA
"Hong Kong Legends","Q16844558","co0140105",NA
"Woolner Brothers","Q8033895","co0064720",NA
"Xenon Pictures","Q8043630","co0109042",NA
"European Film College","Q5412596","co0165150",NA
