"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Star Wars","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|839|classification.ores.drafttopic/Culture.Internet culture|513|classification.ores.drafttopic/Culture.Media.Films|945|classification.ores.drafttopic/Culture.Literature|824|classification.ores.drafttopic/Culture.Media.Media*|971|recommendation.image_section/exists|1","Q462","tt1185834","Star Wars: The Clone Wars","not exact match",NA,NA
"Aneethi","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.drafttopic/Culture.Media.Films|817|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|817|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|965|classification.ores.drafttopic/Culture.Media.Media*|883","Q120646418","tt15327052","Aneethi","match",NA,NA
"Miss Shetty Mr Polishetty","classification.ores.articletopic/Geography.Regions.Asia.Asia*|874|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|896|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|998|classification.ores.drafttopic/Culture.Media.Films|859|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|797|classification.ores.drafttopic/Geography.Regions.Europe.Europe*|626|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|806|classification.ores.drafttopic/Culture.Media.Media*|865","Q122212383","tt15891388","Miss Shetty Mr Polishetty","match",NA,NA
"The Wachowskis","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Media.Films|967|classification.ores.drafttopic/Culture.Media.Media*|904|classification.ores.drafttopic/Culture.Literature|578|classification.ores.drafttopic/Culture.Biography.Biography*|519|classification.ores.drafttopic/Culture.Media.Films|877","Q195719","tt10838180","The Matrix Resurrections","not exact match",NA,NA
"Bagheera (film)","classification.ores.articletopic/Geography.Regions.Asia.South_Asia|912|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|936|classification.ores.articletopic/Geography.Regions.Asia.Asia*|847|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|892|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|868|classification.ores.drafttopic/Culture.Media.Films|890|classification.ores.drafttopic/Culture.Media.Media*|967","Q116956514","tt11803630","Bagheera","not exact match",NA,NA
"DD Returns","classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Geography.Regions.Asia.Asia*|665|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|831|classification.ores.drafttopic/Culture.Media.Media*|987|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|849|classification.ores.drafttopic/Culture.Media.Films|997|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|949","Q120970331","tt27510150","DD Returns","match",NA,NA
"Willy Wonka","classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Literature|672|classification.ores.articletopic/Culture.Media.Films|705|classification.ores.drafttopic/Culture.Media.Media*|889|classification.ores.drafttopic/Culture.Literature|727|recommendation.image_section/exists|1","Q738747","tt0401736","Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory'","not exact match",NA,NA
"How to Train Your Dragon","classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Media.Films|731|classification.ores.drafttopic/Culture.Internet culture|906|classification.ores.drafttopic/Culture.Media.Media*|974","Q3715071","tt2386490","How to Train Your Dragon: The Hidden World","not exact match",NA,NA
"Ghostface (identity)","classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Media.Films|644|classification.ores.drafttopic/Culture.Media.Media*|959|classification.ores.drafttopic/Culture.Literature|786|classification.ores.drafttopic/Culture.Visual arts.Visual arts*|531|classification.ores.drafttopic/Culture.Media.Films|614|classification.ores.drafttopic/Culture.Visual arts.Comics and Anime|613|classification.ores.drafttopic/Culture.Media.Television|570","Q2444720","tt0134084","Scream 3","not exact match",NA,NA
"Star Wars: Knights of the Old Republic","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Media.Films|843|classification.ores.articletopic/Culture.Internet_culture|685|classification.ores.articletopic/Culture.Media.Video_games|712|classification.ores.drafttopic/Culture.Media.Video games|999|classification.ores.drafttopic/Culture.Media.Media*|989|classification.ores.drafttopic/Culture.Internet culture|998","Q7601095","tt0356070","Star Wars: Knights of the Old Republic","match",NA,NA
"Tillu Square","classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Media.Films|965|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|811|classification.ores.drafttopic/Culture.Media.Films|955|classification.ores.drafttopic/Culture.Media.Media*|981","Q120922057","tt22987820","Tillu Square","match",NA,NA
"Aspect ratio (image)","classification.ores.articletopic/Culture.Media.Films|912|classification.ores.articletopic/Culture.Media.Media*|948|classification.ores.drafttopic/Culture.Media.Films|743|classification.ores.drafttopic/STEM.STEM*|535|classification.ores.drafttopic/Culture.Media.Media*|661|recommendation.image_section/exists|1","Q1441762","tt0360777","The Man with a Flower in His Mouth","not exact match",NA,NA
"The Land Before Time","classification.ores.articletopic/Culture.Media.Films|712|classification.ores.articletopic/Culture.Media.Media*|949|classification.ores.drafttopic/Culture.Media.Films|916|classification.ores.drafttopic/Culture.Internet culture|593|classification.ores.drafttopic/Culture.Media.Media*|986","Q1068384","tt0473584","The Land Before Time","match",NA,NA
"Aircraft in fiction","classification.ores.articletopic/Culture.Media.Films|489|classification.ores.articletopic/History and Society.Transportation|331|classification.ores.articletopic/STEM.STEM*|467|classification.ores.drafttopic/Culture.Media.Music|997|classification.ores.drafttopic/Culture.Media.Media*|986","Q4698551","tt0337678","Zerkalnye voyny. Otrazhenie pervoe","not exact match",NA,NA
"Kaiju","classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Media.Films|859|classification.ores.drafttopic/Culture.Visual arts.Visual arts*|600|classification.ores.drafttopic/Geography.Regions.Asia.East Asia|857|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|849|classification.ores.drafttopic/Culture.Media.Films|773|classification.ores.drafttopic/Culture.Media.Media*|875|classification.ores.drafttopic/Culture.Visual arts.Comics and Anime|913|classification.ores.drafttopic/Culture.Literature|899","Q1065444","tt0012123","Dreams of the Rarebit Fiend: The Pet","not exact match",NA,NA
"Are You Ok Baby?","classification.ores.articletopic/Geography.Regions.Asia.South_Asia|835|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|998|classification.ores.articletopic/Geography.Regions.Asia.Asia*|777|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|984|classification.ores.drafttopic/Culture.Media.Films|969|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|997|classification.ores.drafttopic/Geography.Regions.Africa.Western Africa|999|classification.ores.drafttopic/Culture.Media.Media*|942","Q122679934","tt21767274","Are You Ok Baby?","match",NA,NA
"Exploitation film","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Media.Films|985|classification.ores.drafttopic/Culture.Media.Media*|969|classification.ores.drafttopic/Culture.Media.Films|997","Q1067324","tt0996966","Not Quite Hollywood: The Wild, Untold Story of Ozploitation!","not exact match",NA,NA
"Sith","classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Culture.Media.Films|983|classification.ores.articletopic/Culture.Literature|705|classification.ores.drafttopic/Culture.Media.Television|999|classification.ores.drafttopic/Culture.Media.Media*|988|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|548|recommendation.image_section/exists|1","Q51771","tt0076759","Star Wars: Episode IV - A New Hope","not exact match",NA,NA
"Slasher film","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|987|classification.ores.drafttopic/Culture.Media.Media*|977|classification.ores.drafttopic/Culture.Media.Films|998|recommendation.image_section/exists|1","Q853630","tt0494318","Camp Cuddly Pines Powertool Massacre","not exact match",NA,NA
"Kaalkoot","classification.ores.articletopic/Geography.Regions.Asia.South_Asia|826|classification.ores.articletopic/Culture.Media.Films|546|classification.ores.articletopic/Culture.Media.Media*|941|classification.ores.articletopic/Geography.Regions.Asia.Asia*|803|classification.ores.drafttopic/Culture.Media.Media*|955|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|997|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|890|classification.ores.drafttopic/Culture.Media.Films|745","Q120972716","tt28106779","Kaalkoot","match",NA,NA
"Daniel Radcliffe on screen and stage","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|930|classification.ores.articletopic/Culture.Biography.Biography*|766|classification.ores.drafttopic/Culture.Media.Films|858|classification.ores.drafttopic/Culture.Media.Media*|943","Q24905276","tt5797184","Escape from Pretoria","not exact match",NA,NA
"Golden Age of Porn","classification.ores.articletopic/Culture.Media.Media*|863|classification.ores.articletopic/Culture.Media.Films|890|classification.ores.drafttopic/Culture.Media.Media*|985|classification.ores.drafttopic/Culture.Media.Films|998","Q1476435","tt0062745","Blue Movie","not exact match",NA,NA
"Science fiction film","classification.ores.articletopic/Culture.Media.Entertainment|685|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/Culture.Media.Films|946|classification.ores.drafttopic/Culture.Media.Media*|987|classification.ores.drafttopic/Culture.Media.Films|940|classification.ores.drafttopic/Culture.Media.Entertainment|900|recommendation.image_section/exists|1","Q471839","tt0008100","A Trip to Mars","not exact match",NA,NA
"Priyotoma","classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|985|classification.ores.articletopic/Geography.Regions.Asia.Asia*|965|classification.ores.articletopic/Culture.Media.Films|839|classification.ores.drafttopic/Culture.Media.Media*|928|classification.ores.drafttopic/Geography.Regions.Europe.Europe*|754|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|554|classification.ores.drafttopic/Culture.Media.Films|896","Q55080281","tt28228231","Priyotoma","match",NA,NA
"The Equalizer","classification.ores.articletopic/Culture.Media.Films|909|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Geography.Regions.Americas.North_America|538|classification.ores.drafttopic/Culture.Media.Films|575|classification.ores.drafttopic/Culture.Media.Media*|982|classification.ores.drafttopic/Culture.Media.Television|806","Q113380420","tt0088513","The Equalizer","match",NA,NA
