"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Michael Gambon on screen and stage","classification.ores.articletopic/Culture.Biography.Biography*|705|classification.ores.articletopic/Culture.Media.Media*|585|classification.ores.drafttopic/Culture.Media.Media*|885|classification.ores.drafttopic/Culture.Media.Television|619","Q17090592","nm0002091","Michael Gambon","not exact match",NA,NA
"Vijay Varma","classification.ores.articletopic/Culture.Biography.Biography*|718|classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Media.Films|787|classification.ores.drafttopic/Culture.Media.Media*|703|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|999|classification.ores.drafttopic/Culture.Biography.Biography*|834|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|980","Q46499596","nm1994146","Vijay Varma","match","nm1984146",NA
"Post Malone","classification.ores.articletopic/Culture.Media.Music|917|classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Biography.Biography*|585|classification.ores.drafttopic/Culture.Biography.Biography*|683|classification.ores.drafttopic/Culture.Media.Media*|875","Q21621919","nm8203589",NA,NA,"nm7970428",NA
"Lil Tay","classification.ores.articletopic/Culture.Media.Media*|831|classification.ores.articletopic/Geography.Regions.Americas.North_America|798|classification.ores.articletopic/Culture.Internet_culture|754|classification.ores.articletopic/Culture.Biography.Biography*|870|classification.ores.drafttopic/Culture.Media.Media*|764|classification.ores.drafttopic/Culture.Internet culture|643|classification.ores.drafttopic/Culture.Biography.Biography*|922","Q121323690","nm10119227","Lil Tay","match",NA,NA
"Ben Cohen (rugby union)","classification.ores.articletopic/Culture.Biography.Biography*|839|classification.ores.articletopic/Culture.Sports|971|classification.ores.drafttopic/Culture.Biography.Biography*|862|classification.ores.drafttopic/Culture.Sports|924|classification.ores.drafttopic/Geography.Regions.Europe.Northern Europe|594|recommendation.image_section/exists|1","Q2278517","nm1624210","Ben Cohen","not exact match",NA,NA
"Yolanda Saldívar","classification.ores.articletopic/Geography.Regions.Americas.North_America|637|classification.ores.articletopic/Culture.Biography.Biography*|909|classification.ores.drafttopic/Geography.Regions.Americas.North America|791|classification.ores.drafttopic/Culture.Biography.Women|613|classification.ores.drafttopic/Culture.Biography.Biography*|867","Q284732","nm5058824","E.A. Castillo","not exact match",NA,NA
"Jerry Buss","classification.ores.articletopic/Culture.Sports|987|classification.ores.articletopic/Geography.Regions.Americas.North_America|685|classification.ores.articletopic/Culture.Biography.Biography*|970|classification.ores.drafttopic/Geography.Regions.Americas.North America|727|classification.ores.drafttopic/Culture.Biography.Biography*|844","Q1509908","nm1343942",NA,NA,"nm0124406",NA
"Josh Allen","classification.ores.articletopic/Culture.Sports|987|classification.ores.articletopic/Culture.Biography.Biography*|546|classification.ores.articletopic/Geography.Regions.Americas.North_America|500|classification.ores.drafttopic/Culture.Sports|590|classification.ores.drafttopic/Culture.Biography.Biography*|739|classification.ores.drafttopic/Geography.Regions.Americas.North America|628","Q27966578","nm11165917",NA,NA,"nm5334038",NA
"Salman Khan filmography","classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|953|classification.ores.articletopic/Culture.Biography.Biography*|766|classification.ores.articletopic/Geography.Regions.Asia.Asia*|941|classification.ores.articletopic/Culture.Media.Films|917|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|778|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|647|classification.ores.drafttopic/Geography.Regions.Europe.Europe*|706|classification.ores.drafttopic/Culture.Media.Media*|589|classification.ores.drafttopic/Culture.Biography.Biography*|666","Q7405413","nm0006795","Salman Khan","not exact match",NA,NA
"Vijay filmography","classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Biography.Biography*|615|classification.ores.articletopic/Culture.Media.Films|939|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|782|classification.ores.articletopic/Geography.Regions.Asia.Asia*|847|classification.ores.drafttopic/Culture.Media.Media*|606|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|558|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|869|classification.ores.drafttopic/Culture.Biography.Biography*|559|classification.ores.drafttopic/Geography.Regions.Europe.Europe*|660","Q28936841","nm0897201","Joseph Vijay","not exact match",NA,NA
