"title","wikibase_item","CompanyID","QID.imdb"
"Festival de Avándaro","Q3728570","co0041878",NA
"Literatura de terror","Q193606","co0022781",NA
"Hana yori dango","Q714078","co0446046",NA
"Argos Media Group","Q4789706","co0116599",NA
"Historia de la animación por computadora","Q5867556","co0143869",NA
"Playgirl","Q580633","co0065169",NA
"Chilefilms","Q6410383","co0074470",NA
"Mofos","Q28130199","co0431361",NA
"Girlfriends Films","Q3107636","co0160247",NA
"Hard X","Q62023257","co0453208",NA
"Caravan Pictures","Q2714773","co0072626",NA
"Antonio Miró","Q8201516","co0247837",NA
"Cifesa","Q5119787","co0054607",NA
"Bandidos Films","Q6393277","co0023336",NA
"Turner Entertainment","Q371400","co0183824",NA
"Paramount Global Content Distribution","Q5009280","co0135308",NA
"Película en colores","Q941530","co0002739",NA
"Entropy Studio","Q24418791","co0297251",NA
"Morena Films","Q6024105","co0080779",NA
"Películas de Happy Madison Productions","Q106649465","co0059609",NA
"Aries Cinematográfica Argentina","Q6388292","co0072972",NA
"Vaca Films","Q97164077","co0080779",NA
"The 3DO Company","Q1062171","co0048923",NA
"Bolívar Films","Q4940313","co0067894",NA
"FX Movie Channel","Q5476820","co0004295",NA
"Capitalvision International Corporation","Q5748497","co0053712",NA
"100 Bares","Q5649638","co0119804",NA
"Guru Studio","Q5620440","co0252477",NA
"Los Güeros Films","Q28663782","co0299543",NA
"Showtime Networks","Q7503319","co52980",NA
"Zero Tolerance","Q14408853","co0099837",NA
"Sweetheart Video","Q3506554","co0333653",NA
"El Ranchito","Q5823046","co0174249",NA
"Rodar y Rodar","Q6110408","co0082066",NA
"Orquesta Filarmónica Nacional de Varsovia","Q1154089","co0141826",NA
"Programas de Marte Televisión","Q24042585","co0101294",NA
"Mook Animation","Q3544094","co0242503",NA
"Zavodi Crvena Zastava AS","Q6171032","co0002790",NA
"Cine en 1902","Q936395","co0051651",NA
"AV Films","Q25410609","co0576476",NA
"Catalina Video","Q5051289","co0051838",NA
"Megatrax Production Music","Q6808942","co0016726",NA
"Laya Films","Q5969454","co0044161",NA
"Establecimientos Filmadores Argentinos","Q5840613","co0048256",NA
"Filmografía de Canal 6 de Julio","Q26183050","co0116694",NA
"Jaleo Films","Q5674985","co0084281",NA
"Lavorágine Films","Q18644305","co0066608",NA
"Productora General Belgrano","Q16622360","co0066780",NA
"Cinema Management Group","Q17986499","co0179243",NA
"Maestranza Films","Q5989527","co0047462",NA
"IMAGYX Entertainment","Q26810961","co0311317",NA
"Noticiario Español","Q6045663","co0002184",NA
"Sociedad Impresora de Discos Electrofónicos","Q24879285","co0314065",NA
"Centre d'Estudis Cinematogràfics de Catalunya","Q5760958","co0145917",NA
"Bon Mot Productions","Q4940990","co0332720",NA
"Hermic Films","Q21480691","co0059708",NA
"Onírikal Studio","Q6051132","co0290945",NA
"Lagarto Cine","Q18644299","co0236334",NA
"Third World Media","Q7785024","co0238055",NA
"Rosa Filmes","Q7367039","co0060967",NA
"Euston Films","Q5414361","co0103398",NA
"HYPNOS films","Q20908871","co0402176",NA
"Films 59","Q5861993","co0027254",NA
"Producciones de DuMont Television Network","Q6635407","co0071248",NA
"Underwriter","Q21065582","co0047633",NA
"Charles Delacommune","Q28860754","co0026234",NA
"Groovy Filmes","Q5548411","co0178666",NA
