"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Mickey Mouse","classification.ores.articletopic/Culture.Media.Films|777|classification.ores.articletopic/Culture.Media.Media*|983","Q11934","tt0139986","Dinner Time","not exact match",NA,NA
"Piratas del Caribe","classification.ores.articletopic/Culture.Media.Films|771|classification.ores.articletopic/Culture.Media.Media*|987|recommendation.image_section/exists|1","Q194318","tt0383574","Pirates of the Caribbean: Dead Man's Chest","not exact match",NA,NA
"Cine gore","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|994","Q909586","tt0077402","Dawn of the Dead","not exact match",NA,NA
"El planeta de los simios (franquicia)","classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Media.Entertainment|986","Q731663","tt2103281","Dawn of the Planet of the Apes","not exact match",NA,NA
"Shrek (franquicia)","classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Media.Films|917|recommendation.image/exists|1","Q1203222","tt3915174","Puss in Boots: The Last Wish","not exact match",NA,NA
"Leatherface","classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Media.Media*|924|classification.ores.articletopic/Culture.Literature|835","Q1647348","tt0286214","Texas Chain Saw Massacre: The Shocking Truth","not exact match",NA,NA
"VHS","classification.ores.articletopic/Culture.Media.Media*|943|classification.ores.articletopic/STEM.STEM*|712|classification.ores.articletopic/Culture.Media.Films|798|classification.ores.articletopic/STEM.Technology|705|classification.ores.articletopic/Culture.Media.Television|777","Q183976","tt8704802","The Last Blockbuster","not exact match",NA,NA
"Actores de James Bond","classification.ores.articletopic/STEM.Biology|79|classification.ores.articletopic/Culture.Literature|751|classification.ores.articletopic/Culture.Media.Films|905|classification.ores.articletopic/Culture.Media.Media*|947","Q6129980","tt2382320","No Time to Die","not exact match",NA,NA
"Jessie (Toy Story)","classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Biography.Women|754|classification.ores.articletopic/Geography.Regions.Americas.North_America|651|classification.ores.articletopic/Culture.Literature|507|classification.ores.articletopic/Culture.Media.Films|718|classification.ores.articletopic/Culture.Media.Entertainment|979","Q2200623","tt0435761","Toy Story 3","not exact match",NA,NA
"Barbie (películas)","classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Media.Entertainment|835|classification.ores.articletopic/Culture.Media.Films|955","Q2532722","tt0313254","Barbie and the Rockers: Out of This World","not exact match",NA,NA
"Darth Maul","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Literature|839","Q51766","tt0120915","Star Wars: Episode I - The Phantom Menace","not exact match",NA,NA
