"title","wikibase_item","Studio"
"El exorcista (película)","Q274167","studio = Warner Brothers Burbank Studios "
"Five Nights at Freddy's (película)","Q21512706","studio = }} '''''Five Nights at Freddy's''''' es una próxima película estadounidense de [[cine de terror"
"Dragon Ball","Q2020","studio = [[Toei Animation]] "
"Shingeki no Kyojin","Q586025","studio = [[Wit Studio]]<br />[[Production I.G]] (cooperación) "
"Naruto","Q26971382","studio = [[Pierrot Co., Ltd."
"Scream (película de 1996)","Q27411","studio = Woods Entertainment "
"Chainsaw Man","Q65240543","studio = [[MAPPA]] "
"El padrino (película)","Q47703","studio = Filmways Studios "
"One Piece (serie de televisión)","Q710324","studio = [[Toei Animation]] "
"El lobo de Wall Street","Q1392744","studio = Red Granite Pictures <br /> Appian Way Productions <br /> Sikelia Productions <br /> Emjag Productions "
"Saint Seiya","Q275956","studio = [[Toei Animation]] "
"La vida es bella","Q19355","studio = [[Cecchi Gori Group]] "
"Me before you (película de 2016)","Q20735644","studio = |presupuesto = $20 000 000<ref name=""budget"">{{cita web"
"Dragon Ball Super","Q19839121","studio = [[Toei Animation]] "
"Captain Tsubasa","Q647486","studio = [[Tsuchida Production]] "
"Sailor Moon","Q1643098","studio = [[Toei Animation]] "
"Tokyo Revengers","Q63981675","studio = [[Warner Bros."
"Eyes Wide Shut","Q209481","studio = [[Pinewood Studios]] "
"Inside Out (película de 2015)","Q6144664","studio = [[Pixar]]<br/>[[The Walt Disney Company]] }} '''''Inside Out''''' (titulada '''''Intensa-Mente''''' en [[Hispanoamérica]] y '''''Del revés (Inside Out)''''' en [[España]]) es una película estadounidense de [[animación por computadora]] en [[Cine 3D"
"Split (película)","Q21869840","studio = | presupuesto = USD&nbsp;9&nbsp;000&nbsp;000<ref name=BOM/> "
"Hotel Transylvania","Q249967","studio = [[Sony Pictures Home Entertainment]] "
"Cincuenta sombras de Grey (película)","Q14566553","studio = | presupuesto $40 millones "
"The Batman (película)","Q61117344","studio = [[DC Films]] "
"One Punch-Man","Q5102879","studio = [[Madhouse (animación)"
"Wrong Turn","Q388944","studio = Constantin Film<br />Newmarket Capital Group "
"Death Note","Q1834","studio = Madhouse "
"Hidden Figures","Q23755544","studio = {{Lista"
"Hasta el último hombre","Q21010856","studio = | presupuesto = 40 000 000 USD "
"Ice Age","Q305250","studio = [[20th Century Fox Home Entertainment]] "
"Dragon Ball Z","Q477916","studio = [[Toei Animation]] "
"Aquaman (película)","Q22998395","studio = | presupuesto = [[USD"
"Scott Pilgrim vs. the World","Q753899","studio = Big Talk Films<br />Relativity Media "
"Los asesinos de la luna","Q66316924","studio = | presupuesto = 200 000 000 USD "
"Annabelle (película)","Q15733440","studio = | presupuesto = [[USD]] $6&nbsp;500&nbsp;000 "
"Monster House","Q725842","studio = [[Sony Pictures Home Entertainment]] "
"Fight Club","Q190050","studio = [[20th Century Fox]] "
"El resplandor (película)","Q186341","studio = [[Elstree Film & Television Studios]] "
"That's My Boy (película de 2012)","Q32535","studio = Happy Madison Productions<br />Relativity Media "
"Sing (película)","Q20762698","studio = | presupuesto = [[Dólar estadounidense"
"Black Clover","Q20638503","studio = [[XEBEC]] "
"El Grinch (película de 2000)","Q131864","studio = | presupuesto = [[Dólar estadounidense"
"Rampage (película de 2018)","Q29470162","studio = | presupuesto = $120 000 000<ref name=preview/> "
"La La Land (película)","Q20856802","studio = Warner Brothers Burbank Studios "
"Animales fantásticos y dónde encontrarlos (película)","Q18199330","studio = | presupuesto = [[USD"
"Neon Genesis Evangelion","Q662","studio = [[Gainax]]<br>[[Tatsunoko Production]] "
"Sleepy Hollow (película de 1999)","Q208592","studio = Mandalay Pictures <br/> American Zoetrope <br/> LionsGate Entertainment "
"Home Alone","Q105031","studio = [[21st Century Fox]] "
"F9 (película)","Q29466808","studio = | presupuesto = $200 millones<ref>{{cite news "
