"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Francisco de Asís","classification.ores.articletopic/Culture.Philosophy_and_religion|569|classification.ores.articletopic/Culture.Biography.Biography*|577","Q676555","nm5074783","Jeremy Culver","not exact match",NA,NA
"Rebecca Loos","classification.ores.articletopic/History and Society.Society|350|classification.ores.articletopic/Culture.Media.Television|641|classification.ores.articletopic/Culture.Media.Media*|668|classification.ores.articletopic/Culture.Biography.Biography*|861","Q2027664","nm1605094",NA,NA,"nm1597202",NA
"Beyoncé","classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Biography.Women|793|classification.ores.articletopic/Culture.Media.Music|901|classification.ores.articletopic/Culture.Biography.Biography*|919","Q36153","nm461498",NA,NA,"nm0461498",NA
"Queen","classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Biography.Biography*|569|classification.ores.articletopic/Culture.Media.Music|973","Q15862","nm0006198","Freddie Mercury","not exact match","nm1277102",NA
"AC/DC","classification.ores.articletopic/Culture.Media.Music|990|classification.ores.articletopic/Culture.Biography.Biography*|600|classification.ores.articletopic/Culture.Media.Media*|990","Q27593","nm0779747","Bon Scott","not exact match","nm0009540",NA
"Jill Ireland","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|727|classification.ores.articletopic/Culture.Biography.Biography*|874|classification.ores.articletopic/Culture.Biography.Women|786","Q175571","nm0000314","Charles Bronson","not exact match","nm0409866",NA
"Elizabeth Olsen","classification.ores.articletopic/Culture.Biography.Women|538|classification.ores.articletopic/Culture.Biography.Biography*|934|classification.ores.articletopic/Culture.Media.Films|965|classification.ores.articletopic/Geography.Regions.Americas.North_America|760|classification.ores.articletopic/Culture.Media.Media*|969|recommendation.image_section/exists|1","Q234644","nm647634",NA,NA,"nm0647634",NA
"Charles Manson","classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/Culture.Media.Media*|644|classification.ores.articletopic/Geography.Regions.Americas.North_America|760|recommendation.image_section/exists|1","Q485508","nm0001504","Marilyn Manson","not exact match","nm0543909",NA
"Michael B. Jordan","classification.ores.articletopic/Culture.Media.Films|971|classification.ores.articletopic/Geography.Regions.Americas.North_America|554|classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Culture.Media.Media*|924","Q3308007","nm430107",NA,NA,"nm0430107",NA
"Jeffrey Dean Morgan","classification.ores.articletopic/Culture.Media.Films|893|classification.ores.articletopic/Culture.Biography.Biography*|731|classification.ores.articletopic/Culture.Media.Media*|959|recommendation.image_section/exists|1","Q342665","nm0604747",NA,NA,"nm0604742",NA
