"title","wikibase_item","Distributor"
"فیلم برادران سوپر ماریو","Q108671102","distributor = یونیورسال پیکچرز "
"خط قرمز (مجموعه تلویزیونی)","Q5908906","distributor = | channel = [[شبکه سه سیما]] "
"پدرسالار","Q5958495","distributor = | channel = <!-- or network --> [[شبکه ۲ سیمای جمهوری اسلامی ایران]] "
"نون خ","Q65199550","distributor = <!-- توزیع‌کننده --> "
"باربی (فیلم)","Q55436290","distributor = [[برادران وارنر پیکچرز]] "
"محمد رسول‌الله (فیلم ۱۹۷۶)","Q588464","distributor = طارق فیلم "
"پس از آن (فیلم ۲۰۱۹)","Q55815471","distributor = [[اوریون پیکچرز]] "
"کوچه اقاقیا","Q16053336","distributor = | channel = [[شبکه پنج]] "
"اوپنهایمر (فیلم)","Q108839994","distributor = [[یونیورسال پیکچرز]] "
"قصه‌های جزیره","Q1071675","distributor = | network = [[سی‌بی‌سی تله‌ویژن]] "
"پادشاهان فرار","Q521355","distributor = | channel = A&E "
"پوست شیر","Q114426297","distributor = | network = فیلم‌نت "
"بانشی","Q2813828","distributor = [[اچ‌بی‌او]] "
"بریکینگ بد","Q1079","distributor = سونی پیکچرز تلویژن "
"میان‌ستاره‌ای (فیلم)","Q13417189","distributor = {{فهرست ساده"
"مردگان متحرک (مجموعه تلویزیونی)","Q232737","distributor = {{فهرست ساده"
"پایتخت (مجموعه تلویزیونی)","Q4016289","distributor = | channel = [[شبکه یک]] "
"راهبه (فیلم ۲۰۱۸)","Q29841731","distributor = [[برادران وارنر]] "
"قهوه ترک (مجموعه نمایش خانگی)",NA,"distributor = | network = فیلم‌نت "
"شهرزاد (مجموعه نمایش خانگی)","Q20110576","distributor = تصویر گستر پاسارگاد "
"گودال (مجموعه تلویزیونی)","Q45504593","distributor = | budget = "
"بازی تاج‌وتخت","Q23572","distributor = [[وارنر برادرز تله‌ویژن]] "
"پت و مت","Q590132","distributor = | channel = <!-- or network -->[[Czechoslovak Television"
"فرار از زندان (مجموعه تلویزیونی)","Q80044","distributor = [[تلویزیون بیستم]] "
"وایکینگ‌ها (مجموعه تلویزیونی)","Q2579463","distributor = [[ام‌جی‌ام تله‌ویژن]] "
"پیکی بلایندرز (مجموعه تلویزیونی)","Q14944179","distributor = {{فهرست ساده"
"قهوه تلخ","Q3731449","distributor = گلرنگ پخش - گلپخش اول<ref name=""golrang"">[http://www.aryanews.com/Lct/fa-ir/News/20101123/20101123163536279.htm توزیع قهوه تلخ از شهرتهران تا دور افتاده‌ترین روستاها] {{Webarchive"
"پدرخوانده","Q47703","distributor = پارامونت پیکچرز "
"راهبه ۲","Q111784581","distributor = [[برادران وارنر پیکچرز]] "
"رامو","Q81634295","distributor = | network = [[شو تی‌وی]]<ref>{{Cite web"
"ونزدی (مجموعه تلویزیونی)","Q105553568","distributor = {{فهرست ساده"
"خانه کاغذی (مجموعه تلویزیونی)","Q29647346","distributor = [[نتفلیکس]] "
"جا میونگ گو","Q484727","distributor = | channel = [[اس‌بی‌اس]] "
"فرندز","Q79784","distributor = [[استودیوهای تلویزیون برادران وارنر]] "
"اشتباه من (فیلم)","Q119205965","distributor = [[آمازون استودیوز]] }} '''''اشتباه من''''' ({{Lang-es"
"بن ۱۰ (مجموعه تلویزیونی ۲۰۰۵)","Q207746","distributor = [[استودیوهای تلویزیونی برادران وارنر]] "
"باب‌اسفنجی شلوارمکعبی","Q83279","distributor = [[ام‌تی‌وی نتورکس انترنشنال]] "
"قهرمان (فیلم ۱۴۰۰)","Q105012394","distributor = [[آمازون استودیوز]] (بین‌المللی){{سخ}}[[خانه فیلم]] (ایران، سینمایی){{سخ}}[[نماوا]] (ایران، نمایش خانگی) "
"تهران تابو","Q29585785","distributor = | released = {{Film date"
"حیثیت گمشده (مجموعه نمایش خانگی ۱۴۰۲)",NA,"distributor = | channel = [[فیلیمو]] "
"ساختمان پزشکان","Q5958930","distributor = | channel = [[شبکه ۳ سیمای جمهوری اسلامی ایران]] "
"جیران (مجموعه نمایش خانگی)","Q106782129","distributor = | channel = [[فیلیمو]] "
"بی‌گناه (مجموعه نمایش خانگی)","Q113679735","distributor = | network = [[فیلیمو]] "
"سقوط (فیلم ۲۰۲۲)","Q113470320","distributor = [[لاینزگیت فیلمز]] "
"منک","Q73093591","distributor = نت‌فلیکس "
"ناپلئون (فیلم ۲۰۲۳)","Q105806948","distributor = {{فهرست ساده"
"یوسف پیامبر","Q4115461","distributor = | channel = [[شبکه یک]] "
"مأموریت: غیرممکن – روزشمار مرگ قسمت اول","Q61876370","distributor = [[پارامونت پیکچرز]] "
"صدای آزادی (فیلم)","Q85847274","distributor = [[انجل استودیوز]] "
"خاطرات خون‌آشام","Q28537","distributor = | channel = [[سی‌دابلیو (شبکه تلویزیونی)"
"تلقین (فیلم)","Q25188","distributor = [[برادران وارنر پیکچرز]] "
"ارباب حلقه‌ها (مجموعه‌فیلم)","Q190214","distributor = نیو لاین سینما "
"امیلی در پاریس","Q64584978","distributor = [[نتفلیکس]] "
"رستگاری در شاوشنک","Q172241","distributor = [[کلمبیا پیکچرز]] "
"یاغی (مجموعه نمایش خانگی)","Q112075217","distributor = <!-- توزیع‌کننده --> "
"شانگ چی و افسانه ده حلقه","Q65768589","distributor = [[استودیو سینمایی والت دیزنی]] "
"ویچر (مجموعه تلویزیونی)","Q47500433","distributor = نتفلیکس "
"راه بی‌پایان","Q3417566","distributor = | channel = [[شبکه ۳ سیمای جمهوری اسلامی ایران]] "
"ملاقات (فیلم ۲۰۱۵)","Q18386312","distributor = [[یونیورسال استودیوز]] "
"تایتانیک (فیلم ۱۹۹۷)","Q44578","distributor = {{فهرست ساده"
"راز بقا (مجموعه نمایش خانگی)","Q111426032","distributor = | country = ایران "
"رهایم کن (مجموعه نمایش خانگی)","Q117717208","distributor = <!-- توزیع‌کننده --> "
"لاست","Q23567","distributor = [[تلویزیون بوئنا ویستا]] "
"چیزهای عجیب","Q19798734","distributor = {{Nowrap"
"انتقام‌جویان: پایان بازی","Q23781155","distributor = [[استودیو سینمایی والت دیزنی]] "
"شمارش معکوس (فیلم ۲۰۱۹)","Q68081969","distributor = [[اس تی ایکس اینترتینمنت]] "
"مستر بین","Q484020","distributor = فرمنتل‌مدیا "
"پتان (فیلم)","Q114620212","distributor = یاش راج فیلمز "
"سه هزار سال حسرت","Q94525569","distributor = [[مترو گلدوین مایر]] "
"بازی مرکب","Q106582931","distributor = [[نتفلیکس]] "
