"title","wikibase_item","CompanyID","QID.imdb"
"برادران وارنر","Q126399","co0026840",NA
"پارامونت پیکچرز","Q159846","co0023400",NA
"استودیوهای قرن بیستم","Q434841","co0000756",NA
"برادران وارنر پیکچرز","Q8016302","co0456097",NA
"فهرست فیلم‌های والت دیزنی پیکچرز","Q835515","co0008970",NA
"سونی پیکچرز","Q822314","co0026545",NA
"هانا باربرا","Q736464","co0024579",NA
"نیو لاین سینما","Q79202","co0046718",NA
"ایلومینیشن (شرکت)","Q1189512","co0221986",NA
"ای۲۴","Q16248298","co0390816",NA
"انجمن سینمای جوانان ایران","Q112316907","co0076462",NA
"آردمن انیمیشن","Q301092","co0103531",NA
"هی‌دی فیلمز","Q2415769","co0159772",NA
"آرال‌جی‌ای فیلمز","Q30277272","co0046766",NA
"کاروان پیکچرز","Q2714773","co0072626",NA
"سونی پیکچرز انیمیشن","Q1416835","co0121181",NA
"لجندری پیکچرز","Q621364","co0159111",NA
"ترایستار پیکچرز","Q651454","co0005883",NA
"امبلین انترتینمنت","Q457893","co0009119",NA
"ترژر آیلند مدیا","Q7836705","co0118216",NA
"کارتون نتورک استودیوز","Q858803","co0238110",NA
"پلن بی انترتینمنت","Q28252","co0136967",NA
"فوکس فیچرز","Q649649","co0042399",NA
"برادران وارنر انیمیشن","Q13416804","co0072876",NA
"اسکای‌دنس مدیا","Q3486445","co0152219",NA
"کسل راک انترتینمنت","Q622848","co0040620",NA
"رسانه فیلمسازان مولود","Q50143734","co0167476",NA
"ویلیج رودشو پیکچرز","Q622668","co0108864",NA
"یونایتد پلنکتون پیکچرز","Q388234","co0020957",NA
"فاکس فیلم","Q2644123","co0028775",NA
"تی‌اس‌جی انترتینمنت","Q18155354","co0420822",NA
"ارکستر فیلارمونیک وین","Q154685","co0056253",NA
"دایمنشن فیلمز","Q908662","co0019626",NA
"رولوشن استودیوز","Q1160868","co0003580",NA
"انانیمس کانتنت","Q567633","co0017525",NA
"ریپابلیک پیکچرز","Q774682","co0020540",NA
"تاپ‌کرفت","Q3532077","co0063380",NA
"سی‌بیبیز","Q936111","co0265997",NA
"پارامونت انیمیشن","Q7135302","co0390995",NA
"سرگرمی خانگی برادران وارنر","Q1188361","co0059995",NA
"اوریجینال فیلم","Q557387","co0112448",NA
"آی‌اف‌سی فیلمز","Q2910457","co0015762",NA
"افتر دارک فیلمز","Q4690493","co0166161",NA
"۱۴۹۲ پیکچرز","Q678058","co0046151",NA
"ایون پروداکشنز","Q219135","co0054040",NA
"امبلیمیشن","Q1636748","co0228078",NA
"اچ‌بی‌او فیلمز","Q662081","co0005861",NA
"آرتیسان اینترتیمنت","Q2865801","co0014903",NA
"ترنر اینترتینمنت","Q371400","co0183824",NA
"گلدوین پیکچرز","Q179922","co0073678",NA
"آیکون پروداکشنز","Q2669403","co0068618",NA
"مرکز سیمون ویزنتال","Q311474","co27770",NA
"مالپاسو پروداکشنز","Q2703264","co0010258",NA
"هالیوود پیکچرز","Q1348264","co0076240",NA
"رنک اورگانیزیشن","Q1535788","co0021421",NA
"کنسرواتوار ای.اف.آی","Q4651503","co0020445",NA
"تمپل هیل انترتینمنت","Q17300077","co0069651",NA
"مترو پیکچرز","Q650331","co0042390",NA
"فریم‌استور","Q1165638","co0105094",NA
"لوگو (شبکه تلویزیونی)","Q1812233","co0179756",NA
"کارولکو پیکچرز","Q1044291","co0094459",NA
"کوکی جار گروپ","Q2996530","co0112669",NA
"سایوزمولتفیلم","Q679912","co0114162",NA
"پاور آپ","Q16967555","co0026662",NA
"هندمید فیلمز","Q1033488","co0103514",NA
"رینبو اس.پی.ای.","Q2664422","co0133415",NA
"فیمس پلیرز-لسکی","Q3739165","co0047533",NA
"بلیکر استریت","Q17985957","co0494731",NA
"میوچوال","Q540590","co0172690",NA
"شرکت فیلم‌سازی فیمس پلیرز","Q5433479","co0036767",NA
"استودیوهای ایلینگ","Q72081","co0040024",NA
"لاندن فیلمز","Q1868978","co0103018",NA
"لنترن انترتینمنت","Q57650084","co0625235",NA
"مورگان کریک انترتینمنت","Q3323969","co0033472",NA
"لایکلی استوری","Q23017119","co0190175",NA
"شرکت ۳دی‌او","Q1062171","co0048923",NA
"سیلور پیکچرز","Q1188938","co0019968",NA
"رودساید اترکشنز","Q7339672","co0119624",NA
"دستینیشن فیلمز","Q4411312","co0017834",NA
"چرنین انترتینمنت","Q17335666","co0286257",NA
"فینیکس پیکچرز","Q11887890","co0029574",NA
"نیو وورد پیکچرز","Q3067564","co0065427",NA
"ماندالی پیکچرز","Q16252933","co0013922",NA
"ورتیکال انترتینمنت","Q18395323","co0427244",NA
"شرکت فیلمسازی مثلث","Q24679","co0046754",NA
"تولیدات آمیکوس","Q470851","co0059622",NA
"الکان انترتینمنت","Q4713342","co0054452",NA
"جان گلدوین","Q6235651","co177677",NA
"تلویزیون قرن بیستم","Q2717612","co0056447",NA
"بد هت هری پروداکشنز","Q477943","co0057712",NA
"رسانه والدن","Q1637250","co0073388",NA
"فلاور فیلمز","Q644711","co0148520",NA
"شرکت اشنایدرز بیکری","Q1585284","co0117726",NA
"بریتیش اینترنشنال پیکچرز","Q200976","co0103091",NA
"سی‌بی‌اس پروداکشنز","Q18370014","co0048735",NA
"گراسونور پارک پروداکشنز","Q5610650","co0209305",NA
"پیکچرهاوس","Q1402636","co0133535",NA
"لیک‌شور انترتینمنت","Q1321379","co0100444",NA
"موتور فیلم","Q21292713","co0063593",NA
"گلدکرست فیلمز","Q2138792","co0110372",NA
"شرکت گروه کانن","Q1033465","co0080240",NA
"فیلم رومن","Q2722120","co0042369",NA
"شرکت تئاتر رانداباوت","Q7371225","co0045473",NA
"کراس کریک پیکچرز","Q16249615","co0285648",NA
"پخش تلویزیونی سی‌بی‌اس","Q5009281","co0170466",NA
"وولف و فریدمن فیلم سرویس","Q17148749","co0103069",NA
"کان‌وی رکوردینگ استودیوز","Q5166721","co0152961",NA
"تریمارک پیکچرز","Q4853294","co0079484",NA
"مؤسسه ملی سینما و هنرهای صوتی‌تصویری","Q6973624","co0064529",NA
"ساموئل گلدوین پروداکشنز","Q7411497","co0016710",NA
"ادگار شریک","Q3047494","co10693",NA
"فوردر فیلمز","Q21593055","co0002647",NA
"رسانه ۱۰۹۱","Q65059297","co0731624",NA
"سینماتک ملی ارمنستان","Q22668748","co0229626",NA
"کوین اش","Q6395749","co0038475",NA
"باب پومن","Q4933675","co0124304",NA
