"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"گلشیفته فراهانی","classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|600|classification.ores.articletopic/Geography.Regions.Asia.Asia*|554|classification.ores.articletopic/Culture.Media.Films|917|classification.ores.articletopic/Culture.Biography.Biography*|651","Q464712","tt3517026","Go Home","not exact match",NA,NA
"خواستگاری (فیلم ۱۳۶۸)","classification.ores.articletopic/Geography.Regions.Asia.Asia*|562|classification.ores.articletopic/Culture.Media.Media*|766|classification.ores.articletopic/Culture.Biography.Biography*|665|classification.ores.articletopic/Culture.Media.Films|692","Q6479324","tt1086863","Courtship","not exact match",NA,NA
"مرد عنکبوتی در فیلم","classification.ores.articletopic/Culture.Literature|985|classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|992|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|986|classification.ores.articletopic/Culture.Media.Films|956|recommendation.link/exists|1","Q2307877","tt0078308","Spider-Man Strikes Back","not exact match",NA,NA
"ناصر هاشمی","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Geography.Regions.Asia.Asia*|782|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Media.Films|972|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|705","Q3336235","tt0368018","Call from Darkness","not exact match",NA,NA
"کریستوفر نولان","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Biography.Biography*|692|classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Geography.Regions.Americas.North_America|692|recommendation.link/exists|1","Q25191","tt0154506","Following","not exact match",NA,NA
"بی‌گناه (مجموعه نمایش خانگی)","classification.ores.articletopic/Culture.Media.Television|941|classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|665|classification.ores.articletopic/Geography.Regions.Asia.Asia*|538","Q113679735","tt21978938",NA,NA,NA,NA
"آل پاچینو","classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Media.Films|969|recommendation.image_section/exists|1","Q41163","tt1013105","Al Pacino","not exact match",NA,NA
"نیکی کریمی","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Culture.Media.Films|924|classification.ores.articletopic/Culture.Biography.Biography*|546|recommendation.link/exists|1","Q466645","tt11772966","Atabai","not exact match",NA,NA
"پس از باران","classification.ores.articletopic/Geography.Regions.Asia.Asia*|672|classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Films|523","Q6394928","tt3663000","After the Rain","not exact match",NA,NA
"فهرست آثار اسکارلت جوهانسون","classification.ores.articletopic/Culture.Biography.Biography*|607|classification.ores.articletopic/Culture.Media.Films|964|classification.ores.articletopic/Culture.Media.Media*|980","Q6351501","tt0512190","Girl with the Pearl Earring","not exact match",NA,NA
"آنتونی کوئین","classification.ores.articletopic/Geography.Regions.Americas.North_America|592|classification.ores.articletopic/Culture.Media.Films|983|classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Culture.Biography.Biography*|896","Q83484","tt0116441","Gotti","not exact match",NA,NA
"رضا بیک ایمانوردی","classification.ores.articletopic/Culture.Media.Media*|887|classification.ores.articletopic/Culture.Biography.Biography*|839|classification.ores.articletopic/Culture.Media.Films|934","Q4808641","tt0086474","Treasure of the Lost Desert","not exact match",NA,NA
"خانه سبز (مجموعه تلویزیونی)","classification.ores.articletopic/Culture.Media.Films|843|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|679|classification.ores.articletopic/Culture.Biography.Biography*|679|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Geography.Regions.Asia.Asia*|644|recommendation.link/exists|1","Q5931737","tt0120977","The Green House","not exact match",NA,NA
"آلن دلون","classification.ores.articletopic/Culture.Media.Films|919|classification.ores.articletopic/Culture.Biography.Biography*|839|classification.ores.articletopic/Geography.Regions.Europe.Europe*|749|classification.ores.articletopic/Culture.Media.Media*|924|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|901","Q106529","tt0053707","Che gioia vivere","not exact match",NA,NA
"بهاره کیان‌افشار","classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Media.Films|930|classification.ores.articletopic/Geography.Regions.Asia.Asia*|665|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|658|classification.ores.articletopic/Culture.Biography.Biography*|977","Q13453217","tt1284587","Shirin","not exact match",NA,NA
"شبنم قلی‌خانی","classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Biography.Biography*|531|recommendation.link/exists|1","Q4116451","tt1978595","Life","not exact match",NA,NA
"بری لارسون","classification.ores.articletopic/Culture.Biography.Women|938|classification.ores.articletopic/Geography.Regions.Americas.North_America|615|classification.ores.articletopic/Culture.Biography.Biography*|901|classification.ores.articletopic/Culture.Media.Films|983|classification.ores.articletopic/Culture.Media.Media*|968|recommendation.image_section/exists|1","Q29328","tt10676048","The Marvels","not exact match",NA,NA
"نیمفومانیاک","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|932|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Geography.Regions.Europe.Europe*|919","Q3346699","tt1937390","Nymphomaniac: Vol. I","not exact match",NA,NA
"امبر هرد","classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Geography.Regions.Americas.North_America|803|classification.ores.articletopic/Culture.Biography.Women|637|classification.ores.articletopic/Culture.Media.Media*|941|classification.ores.articletopic/History_and_Society.Society|615|classification.ores.articletopic/Culture.Media.Films|914|recommendation.link/exists|1","Q229166","tt1477834","Aquaman","not exact match",NA,NA
"برایس دالاس هاوارد","classification.ores.articletopic/Culture.Media.Films|992|classification.ores.articletopic/Culture.Media.Media*|978|classification.ores.articletopic/Geography.Regions.Americas.North_America|607|classification.ores.articletopic/Culture.Biography.Biography*|870","Q229775","tt4442390","Solemates","not exact match",NA,NA
"ممنوعه","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|926|classification.ores.articletopic/Geography.Regions.Asia.Asia*|808|classification.ores.articletopic/Culture.Media.Media*|712|classification.ores.articletopic/Culture.Media.Films|607","Q56368114","tt13561432","Forbidden","not exact match",NA,NA
"سو بورجو یازگی جوشکون","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|928|classification.ores.articletopic/Culture.Media.Films|847|classification.ores.articletopic/Culture.Biography.Biography*|997|classification.ores.articletopic/Culture.Media.Media*|893|classification.ores.articletopic/Geography.Regions.Asia.Asia*|867","Q115609938","tt5201513",NA,NA,NA,NA
"نوید محمودی","classification.ores.articletopic/Culture.Media.Media*|967|classification.ores.articletopic/Culture.Media.Films|961","Q56370683","tt3516158","A Few Cubic Meters of Love","not exact match",NA,NA
"آکتور (مجموعه نمایش خانگی)","classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Media.Television|569","Q116503485","tt14690552","Actor","not exact match",NA,NA
"مردان ایکس (مجموعه‌فیلم)","classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Culture.Literature|887|classification.ores.articletopic/Culture.Media.Films|373","Q2006869","tt1877832","X-Men: Days of Future Past","not exact match",NA,NA
"سارا شاهی","classification.ores.articletopic/Culture.Sports|600|classification.ores.articletopic/Culture.Biography.Women|880|classification.ores.articletopic/Geography.Regions.Americas.North_America|835|classification.ores.articletopic/Culture.Media.Films|951|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Biography.Biography*|960|recommendation.image_section/exists|1","Q230530","tt0330251","The L Word","not exact match",NA,NA
"پنه‌لوپه کروز","classification.ores.articletopic/Culture.Media.Films|678|classification.ores.articletopic/Culture.Media.Media*|897|classification.ores.articletopic/History and Society.Society|338|classification.ores.articletopic/Culture.Biography.Biography*|854|recommendation.image_section/exists|1","Q39666","tt0715270","Elle et lui","not exact match",NA,NA
"سمندون","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|983|classification.ores.articletopic/Culture.Biography.Biography*|585","Q16051029","tt1094619","Samandoon","not exact match",NA,NA
"اخراجی‌ها ۳","classification.ores.articletopic/Culture.Media.Films|766|classification.ores.articletopic/Culture.Media.Media*|880|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|685|classification.ores.articletopic/Geography.Regions.Asia.Asia*|629","Q5964113","tt3131744","Deportees 3","not exact match",NA,NA
"خشم و هیاهو (فیلم ۱۳۹۴)","classification.ores.articletopic/Culture.Media.Media*|943|classification.ores.articletopic/Culture.Media.Films|554","Q21600124","tt5468300","Sound and Fury","not exact match",NA,NA
"مصطفی طاری","classification.ores.articletopic/Culture.Biography.Biography*|890|classification.ores.articletopic/Geography.Regions.Asia.Asia*|817|classification.ores.articletopic/Culture.Media.Media*|699|classification.ores.articletopic/Culture.Media.Films|615|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|893","Q16047363","tt1500693","The Pothole","not exact match",NA,NA
"سیاه‌چاله (مجموعه نمایش خانگی)","classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Geography.Regions.Asia.Asia*|851|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|843|classification.ores.articletopic/Culture.Media.Films|724","Q120122531","tt27521744","The Black Hole","not exact match",NA,NA
"جیسون موموآ","classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Media.Television|782|classification.ores.articletopic/Geography.Regions.Oceania|880|classification.ores.articletopic/Geography.Regions.Americas.North_America|973|classification.ores.articletopic/Culture.Media.Media*|909|classification.ores.articletopic/Culture.Biography.Biography*|843","Q315271","tt0772137","The Game","not exact match",NA,NA
"عاشورا (مجموعه تلویزیونی)","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|887|classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Geography.Regions.Asia.Asia*|749|classification.ores.articletopic/Culture.Media.Films|629","Q122426241","tt29143100","Ashura","not exact match",NA,NA
"آدرین برودی","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Biography.Biography*|901|recommendation.image_section/exists|1","Q104514","tt0253474","The Pianist","not exact match",NA,NA
"دارث ویدر","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Literature|896|classification.ores.articletopic/Culture.Media.Films|999","Q12206942","tt7616114","A World Between Worlds","not exact match",NA,NA
"جنیفر کانلی","classification.ores.articletopic/Culture.Biography.Women|949|classification.ores.articletopic/Culture.Media.Films|951|classification.ores.articletopic/Geography.Regions.Americas.North_America|685|classification.ores.articletopic/Culture.Media.Media*|949|classification.ores.articletopic/Culture.Biography.Biography*|909","Q103343","tt0087843","Once Upon a Time in America","not exact match",NA,NA
"ریس ایفانز","classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Geography.Regions.Europe.Europe*|546|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|523|classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Culture.Media.Films|592","Q215017","tt6446550","The Parting Glass","not exact match",NA,NA
"آرایشگاه زیبا","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|523|classification.ores.articletopic/Geography.Regions.Asia.Asia*|585|classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.articletopic/Culture.Media.Films|899","Q5937964","tt2265719","Barbershop Ziba","not exact match",NA,NA
"گیسو (مجموعه نمایش خانگی)","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|877","Q98713211","tt6217938","Asheghaneh","not exact match",NA,NA
"سلما هایک","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Geography.Regions.Americas.North_America|658|classification.ores.articletopic/Culture.Media.Films|966|recommendation.image_section/exists|1","Q125106","tt0448694","Puss in Boots","not exact match",NA,NA
"گشت ارشاد ۲","classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Media.Films|859","Q27481441","tt6211538","The Patrol 2","not exact match",NA,NA
"آلن ریکمن","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|546|classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Films|983","Q106481","tt0914797","Bottle Shock","not exact match",NA,NA
"شب برهنه","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|970|classification.ores.articletopic/Culture.Media.Films|938|classification.ores.articletopic/Geography.Regions.Asia.Asia*|912|classification.ores.articletopic/Culture.Biography.Biography*|672|recommendation.link/exists|1","Q5937624","tt1118627","Naked Night","not exact match",NA,NA
