"title","wikibase_item","Studio"
"فیلم برادران سوپر ماریو","Q108671102","studio = {{فهرست ساده"
"باربی (فیلم)","Q55436290","studio = {{فهرست ساده"
"محمد رسول‌الله (فیلم ۱۹۷۶)","Q588464","studio = شرکت بین‌المللی فیلمکو "
"پس از آن (فیلم ۲۰۱۹)","Q55815471","studio = [[سینلو فیلمز]]{{سخ}}افسپرینگ انترتینمنت{{سخ}}[[ولتاژ پیکچرز]]{{سخ}}[[Wattpad]]{{سخ}}دیاموند فیلم پروداکشنز "
"اوپنهایمر (فیلم)","Q108839994","studio = {{فهرست ساده"
"راهبه (فیلم ۲۰۱۸)","Q29841731","studio = [[نیو لاین سینما]]{{سخ}}سفرن کمپانی{{سخ}}اتمیک مانستر پروداکشنز{{سخ}}[[رت‌پک انترتینمنت]] "
"راهبه ۲","Q111784581","studio = {{Plainlist"
"اشتباه من (فیلم)","Q119205965","studio = پوکمون فیلمز "
"قهرمان (فیلم ۱۴۰۰)","Q105012394","studio = کالج دربی کاننی "
"سقوط (فیلم ۲۰۲۲)","Q113470320","studio = {{فهرست ساده"
"منک","Q73093591","studio = [[نت‌فلیکس]] "
"ناپلئون (فیلم ۲۰۲۳)","Q105806948","studio = {{فهرست ساده"
"مأموریت: غیرممکن – روزشمار مرگ قسمت اول","Q61876370","studio = {{فهرست ساده"
"صدای آزادی (فیلم)","Q85847274","studio = سانتا فه فلمز "
"رستگاری در شاوشنک","Q172241","studio = [[کسل راک انترتینمنت]] "
"شانگ چی و افسانه ده حلقه","Q65768589","studio = [[مارول استودیوز]] "
"ملاقات (فیلم ۲۰۱۵)","Q18386312","studio = [[ام. نایت شیامالان]]<br>[[Blumhouse Productions]] "
"تایتانیک (فیلم ۱۹۹۷)","Q44578","studio = {{فهرست ساده"
"حمله به تایتان","Q586025","studio = استودیوی [[ویت]]، با همکاری [[پروداکشن آی.جی]] سه فصل اول استودیوی [[ماپا]] فصل نهایی "
"انتقام‌جویان: پایان بازی","Q23781155","studio = [[مارول استودیوز]] "
"شمارش معکوس (فیلم ۲۰۱۹)","Q68081969","studio = {{Plainlist"
"پتان (فیلم)","Q114620212","studio = [[یاش راج فیلمز]] "
"سه هزار سال حسرت","Q94525569","studio = [[فیلم‌نیشن انترتینمنت]] "
"یک مرد و یک زن","Q261403","studio = | distributor = [[یونایتد آرتیستس]] "
"جوکر (فیلم ۲۰۱۹)","Q42759035","studio = {{Plainlist"
"جاودانگان (فیلم)","Q23894629","studio = [[مارول استودیوز]] "
"خاطرات قتل","Q488169","studio = سیداس پیکچرز{{سخ}}[[سی‌جی انترتینمنت]] "
"هزارپای انسانی (دنباله نخست)","Q854419","studio = سیکس اینترتینمنت کمپانی "
"سکوت بره‌ها (فیلم)","Q133654","studio = استرانگ هارت پروداکشنز "
"داستان شگفت‌انگیز هنری شوگر (فیلم)","Q110519496","studio = {{فهرست ساده"
"لذت (فیلم ۲۰۲۱)","Q105043940","studio = {{فهرست ساده"
"سوسیس پارتی","Q17030810","studio = نیتروژن استودیوز{{سخ}}[[آناپرنا پیکچرز]]{{سخ}}پوینت گری پیکچرز "
"استخراج ۲","Q108690659","studio = {{فهرست ساده"
"انتقام‌جویان (فیلم ۲۰۱۲)","Q182218","studio = [[مارول استودیوز]]<!-- DO NOT INCLUDE PARAMOUNT PICTURES! SEE FOOTNOTE --> "
"برابرساز ۲","Q41493467","studio = {{Plainlist"
"مرد عنکبوتی: راهی به خانه نیست","Q68934496","studio = {{فهرست ساده"
"درباره الی","Q1311890","studio = مؤسسه سینمایی سیمای مهر "
"ایکس (فیلم ۲۰۲۲)","Q105605250","studio = {{فهرست ساده"
"آواتار (فیلم ۲۰۰۹)","Q24871","studio = {{فهرست ساده"
"روانی آمریکایی (فیلم)","Q1405126","studio = | distributor = [[لاینزگیت فیلمز"
"من پیش از تو (فیلم)","Q20735644","studio = [[نیو لاین سینما]]{{سخ}}[[مترو گلدوین مایر]] "
"یک فیلم صربستانی","Q300552","studio = Contra Film "
"کنیز (فیلم ۲۰۱۶)","Q20444585","studio = موهو فیلم "
"فهرست شیندلر","Q483941","studio = {{فهرست ساده"
"تاپ گان: ماوریک","Q31202708","studio = {{فهرست ساده"
"درخشش ابدی یک ذهن پاک","Q208269","studio = {{فهرست ناگلوله‌ای"
"حمله به تایتان (مجموعه تلویزیونی)","Q22126305","studio = {{ubl"
"دختر گمشده (فیلم ۲۰۱۴)","Q14920425","studio = {{فهرست ساده"
"جرئت یا حقیقت (فیلم ۲۰۱۸)","Q30302806","studio = [[بلوم هاوس پروداکشنز]] "
"دولیتل (فیلم)","Q38689704","studio = [[یونیورسال استودیوز]]{{سخ}}روث فیلمز{{سخ}}تیم داونی "
"استخراج (فیلم ۲۰۲۰)","Q58814616","studio = {{فهرست ساده"
"پلتفرم (فیلم)","Q67628998","studio = {{Plainlist"
"انگل (فیلم ۲۰۱۹)","Q61448040","studio = بارونسون ئی‌اندای<ref name=press/> "
"باشگاه مبارزه","Q190050","studio = [[ریجنسی اینترپرایسز]] "
"بازگشته (فیلم ۲۰۱۵)","Q18002795","studio = {{فهرست ساده"
"گلادیاتور (فیلم ۲۰۰۰)","Q128518","studio = {{فهرست ساده"
"نگران نباش عزیزم (فیلم ۲۰۲۲)","Q100801718","studio = {{فهرست ساده"
"بلوند (فیلم ۲۰۲۲)","Q66823622","studio = [[پلن بی انترتینمنت]] "
"پیمان (فیلم ۲۰۲۳)","Q110819073","studio = [[مترو گلدوین مایر]]{{سخ}}[[اس‌تی‌اکس انترتینمنت]]{{سخ}}[[گای ریچی]]{{سخ}}[[کینوپویسک]]<ref name=begin>{{Cite web"
"تنت","Q63985561","studio = [[سینکاپی فیلمز]] "
"اره ۱۰","Q115734942","studio = [[تویستد پیکچرز]] "
"سه قدم بالاتر از بهشت","Q944385","studio = [[آنتنا ۳]] "
"هری پاتر و سنگ جادو (فیلم)","Q102438","studio = [[هی‌دی فیلمز]]{{سخ}}[[۱۴۹۲ پیکچرز]] "
"بتمن (فیلم ۲۰۲۲)","Q61117344","studio = {{فهرست ساده"
"غرور و تعصب (فیلم ۲۰۰۵)","Q270385","studio = {{فهرست ساده"
"قاتلان ماه گل","Q66316924","studio = {{فهرست ساده"
"مگ (فیلم)","Q27957869","studio = {{Plainlist"
"جان ویک: بخش ۴","Q80322358","studio = {{فهرست ساده"
"مکس دیوانه: جاده خشم","Q1757288","studio = {{فهرست ساده"
"فست اکس","Q31271369","studio = {{فهرست ساده"
"کاپیتان سوباسا","Q647486","studio = [[سوچیدا پروداکشن"
"پسری که باد را مهار کرد","Q60738660","studio = [[نتفلیکس]]{{سخ}}[[رسانه پارتیکیپنت]]{{سخ}}[[بی‌بی‌سی فیلمز]]{{سخ}}[[انستیتوی فیلم بریتانیا]]{{سخ}}Potboiler Productions "
"مرد عنکبوتی ۳","Q182212","studio = [[مارول انترتینمنت]]<ref name=""thenumbers"">{{cite web "
"ال کامینو: فیلم بریکینگ بد","Q61741521","studio = {{فهرست ناگلوله‌ای"
"آژانس شیشه‌ای","Q5799936","studio = [[سازمان توسعه سینمایی سوره]] "
"دیو و دلبر (فیلم ۲۰۱۷)","Q19946102","studio = [[والت دیزنی پیکچرز]]{{سخ}}[[Mandeville Films]] "
"مأموریت: غیرممکن – روزشمار مرگ قسمت دوم","Q61876374","studio = {{فهرست ساده"
"سکس و سیتی ۲","Q739502","studio = [[نیو لاین سینما]]{{سخ}}[[اچ‌بی‌او فیلمز]]{{سخ}}[[ویلیج رودشو پیکچرز]] "
"هتل هوس","Q1630873","studio = <!-- or: "
"آب عمیق (فیلم ۲۰۲۲)","Q73537513","studio = {{فهرست ساده"
"جوخه انتحار (فیلم ۲۰۱۶)","Q18604504","studio = {{فهرست ساده"
"لورنس عربستان (فیلم)","Q228186","studio = [[Horizon Pictures"
"ددپول (فیلم)","Q19347291","studio = {{فهرست ساده"
"مرد ایرلندی (فیلم ۲۰۱۹)","Q29057443","studio = {{فهرست ساده"
"نفرین لیورونا","Q48674258","studio = {{Plainlist"
"خروج (فیلم ۱۳۹۸)","Q85508845","studio = {{نشکن"
"دشمن (فیلم ۲۰۱۳)","Q2844879","studio = {{Plain list "
"بانوی بهشت","Q104646669","studio = {{فهرست ساده"
"علاءالدین (فیلم ۲۰۱۹)","Q27188178","studio = {{فهرست ساده"
"گرینلند (فیلم)","Q73897733","studio = [[تاندر رود فیلمز]] "
"داستان عشق راکی و رانی","Q108392396","studio = {{Ubl"
"دان جان","Q499918","studio = [[ولتیج پیکچرز]]{{سخ}}هیت‌رکورد فیلمز{{سخ}}رام برگمن پروداکشنز "
"مرد عنکبوتی شگفت‌انگیز (فیلم)","Q229808","studio = {{فهرست ساده"
"لیگ عدالت زک اسنایدر","Q94998134","studio = {{Plainlist"
"مرداب آبی (فیلم ۱۹۸۰)","Q83767","studio = | distributor = [[کلمبیا پیکچرز]] "
"تری‌سام (فیلم)","Q1308638","studio = شرکت تصاویر متحرک آمریکا "
"مرد آهنی (فیلم ۲۰۰۸)","Q192724","studio = {{فهرست ساده"
"معلم پیانو (فیلم)","Q159690","studio = | distributor = "
"زنان کوچک (فیلم ۲۰۱۹)","Q56881140","studio = {{فهرست ساده"
"به دل نگیر (فیلم ۲۰۲۳)","Q114397511","studio = {{فهرست ساده"
"لیگ عدالت (فیلم)","Q20501835","studio = {{Plainlist"
"گارد ساحلی (فیلم)","Q23016495","studio = {{plainlist"
"آکوامن (فیلم)","Q22998395","studio = {{Plainlist"
"جنگ ستارگان (فیلم)","Q17738","studio = {{فهرست ساده"
"اف۹ (فیلم)","Q29466808","studio = {{فهرست ساده"
"ثور: عشق و آذرخش","Q65768604","studio = [[مارول استودیوز]] "
"بالاتر از سوءظن","Q25136546","studio = | distributor =[[نتفلیکس]] "
"فیلم آبی","Q885812","studio = [[کنستانتین فیلم]]{{سخ}}اندی وارهول فیلمز "
"پری دریایی کوچولو (فیلم ۲۰۲۳)","Q24357415","studio = {{فهرست ساده"
"قندهار (فیلم ۲۰۲۳)","Q111940088","studio = {{فهرست ساده"
"جن‌گیر پاپ","Q116733128","studio = {{فهرست ساده"
"۲۰۰۱: ادیسه فضایی (فیلم)","Q103474","studio = [[مترو گلدوین مایر]] "
"ونوم (فیلم ۲۰۱۸)","Q23006268","studio = {{فهرست ساده"
"چپ‌دست (فیلم ۲۰۱۵)","Q17276718","studio = {{فهرست ساده"
"افسانه (فیلم ۲۰۱۵)","Q17182571","studio = | distributor = {{Plainlist "
"روزی روزگاری در هالیوود","Q47300912","studio = {{فهرست ساده"
"بلو بیتل (فیلم)","Q107808351","studio = {{فهرست ساده"
"جاده خاکی","Q108300151","studio = <!-- or: "
"شش قهرمان بزرگ (فیلم)","Q13091172","studio = {{Plainlist"
"دکتر استرنج (فیلم ۲۰۱۶)","Q18406872","studio = [[مارول استودیوز]] "
"بی‌مصرف‌ها ۲","Q210812","studio = [[آوی لرنر]] "
"کیو (فیلم)","Q3412379","studio = | distributor = "
