"title","wikibase_item","CompanyID","QID.imdb"
"Luettelo Disneyn animaatioelokuvista","Q211738","co0092035",NA
"Seikkailu-sarja","Q319083","co0004240",NA
"Säihky","Q11895711","co0049449",NA
"Monolith Soft","Q1239326","co0025051",NA
"Kings Road Entertainment","Q11871599","co0072649",NA
"Amen Ra Films","Q20917408","co0078451",NA
"Tuomo Kaminen","Q97940264","co0116702",NA
"Millennium Films","Q11882864","co0002572",NA
"MTV-teatteri","Q18688988","co0091089",NA
"CON-CAN Movie Festival","Q911345","co0095216",NA
"Kino Finlandia","Q5392106","co0010625",NA
"Signature Pictures","Q19709813","co0119730",NA
"Constance Talmadge Film Company","Q19702820","co0010967",NA
