"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Kelju K. Kojootti ja Maantiekiitäjä","classification.ores.articletopic/Culture.Media.Media*|934|classification.ores.articletopic/Culture.Literature|790|classification.ores.articletopic/Culture.Media.Films|888","Q822524","tt0041349","Fast and Furry-ous","not exact match",NA,NA
"Hessu Hopo","classification.ores.articletopic/Culture.Media.Films|992|classification.ores.articletopic/Culture.Literature|961|classification.ores.articletopic/Culture.Media.Entertainment|466|classification.ores.articletopic/Culture.Media.Media*|948|recommendation.link/exists|1|recommendation.image_section/exists|1","Q111135","tt0033356","The Art of Skiing","not exact match",NA,NA
"Jurassic Park (elokuvasarja)","classification.ores.articletopic/Culture.Media.Films|750|classification.ores.articletopic/Culture.Internet culture|911|classification.ores.articletopic/STEM.STEM*|664|classification.ores.articletopic/Culture.Media.Media*|981|classification.ores.articletopic/Culture.Media.Entertainment|482|recommendation.link/exists|1|recommendation.image/exists|1","Q2336369","tt0107290","Jurassic Park","not exact match",NA,NA
"Jälkiäänitys","classification.ores.articletopic/Culture.Media.Films|758|classification.ores.articletopic/Culture.Media.Media*|817","Q187657","tt0079501","Mad Max","not exact match",NA,NA
"Mykkäelokuva","classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Culture.Media.Films|999","Q226730","tt0158692","Juha","not exact match",NA,NA
"Star Wreck","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Geography.Regions.Europe.Europe*|766|classification.ores.articletopic/Culture.Media.Films|978|classification.ores.articletopic/Culture.Media.Entertainment|912|classification.ores.articletopic/Culture.Media.Television|936","Q1992234","tt2367670","Star Wreck 2pi: Full Twist, Now!","not exact match",NA,NA
"Cleaning Women","classification.ores.articletopic/Geography.Regions.Europe.Europe*|777|classification.ores.articletopic/Culture.Media.Films|798|classification.ores.articletopic/Culture.Media.Media*|979|classification.ores.articletopic/Culture.Biography.Biography*|585","Q5488543","tt20215392","The Pupils","not exact match",NA,NA
"Precious","classification.ores.articletopic/Culture.Media.Films|964|classification.ores.articletopic/Culture.Media.Media*|979","Q269331","tt0929632","Precious","match",NA,NA
"Maa aikojen alussa (elokuvasarja)","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Culture.Media.Video games|610|classification.ores.articletopic/Culture.Media.Films|879","Q1068384","tt0095489","The Land Before Time","not exact match",NA,NA
"Olympia (elokuva)","classification.ores.articletopic/Culture.Sports|193|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|768|classification.ores.articletopic/Culture.Media.Films|642|classification.ores.articletopic/Geography.Regions.Europe.Europe*|750","Q158069","tt0030522","Olympia Part One: Festival of the Nations","not exact match",NA,NA
"Liu Kang","classification.ores.articletopic/STEM.Biology|453|classification.ores.articletopic/Culture.Internet culture|999|classification.ores.articletopic/Culture.Media.Films|671|classification.ores.articletopic/Culture.Sports|131|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/Culture.Media.Video games|990|recommendation.image/exists|1","Q2266023","tt1386939","Mortal Kombat","not exact match",NA,NA
"Elokuvavuosi 2019","classification.ores.articletopic/Culture.Media.Media*|724|classification.ores.articletopic/Culture.Media.Films|996|recommendation.image/exists|1","Q18741023","tt7125774","Balloon","not exact match",NA,NA
"Elokuvavuosi 2016","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|996","Q15854651","tt5830556","Imagine You & Me","not exact match",NA,NA
"Jack Skellington","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|496","Q2708262","tt0107688","The Nightmare Before Christmas","not exact match",NA,NA
"Ghibli-museo","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Literature|973|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|998|classification.ores.articletopic/Culture.Media.Films|979|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|979|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|859|classification.ores.articletopic/Geography.Regions.Asia.Asia*|948","Q947907","tt0104652","Porco Rosso","not exact match",NA,NA
"Elokuvavuosi 2017","classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Media.Films|998","Q16958965","tt5287168","Sami Blood","not exact match",NA,NA
"MTV Movie Awards","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Television|574|classification.ores.articletopic/Culture.Media.Media*|930","Q110145","tt0275878","1992 MTV Movie Awards","not exact match",NA,NA
"Elokuvavuosi 2014","classification.ores.articletopic/Culture.Media.Films|960","Q4030043","tt2371399","Moomins on the Riviera","not exact match",NA,NA
"Takaisin Klondikeen","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|1000|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|1000|classification.ores.articletopic/Culture.Literature|1000|classification.ores.articletopic/Culture.Media.Films|1000","Q907801","tt1052561","Back to the Klondike","not exact match",NA,NA
"Työnimi","classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Media.Video games|562|classification.ores.articletopic/Culture.Media.Films|928","Q1170216","tt2396545","Juhannustyttö","not exact match",NA,NA
"Aseenpiippukohtaus","classification.ores.articletopic/Culture.Media.Films|971|classification.ores.articletopic/Culture.Media.Media*|922|classification.ores.articletopic/STEM.STEM*|501","Q2601136","tt0246460","Die Another Day","not exact match",NA,NA
"Uneton48","classification.ores.articletopic/Culture.Media.Media*|893|classification.ores.articletopic/Geography.Regions.Europe.Europe*|699|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|692|classification.ores.articletopic/Culture.Media.Films|665","Q11899521","tt4844974","Night Goes Long","not exact match",NA,NA
"Luettelo Driven saamista palkinnoista ja ehdokkuuksista","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/History and Society.Society|769|classification.ores.articletopic/Culture.Media.Media*|935","Q6604820","tt0780504","Drive","not exact match",NA,NA
"Fargo (1. tuotantokausi)","classification.ores.articletopic/Culture.Media.Television|996|classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Media.Entertainment|427|classification.ores.articletopic/Culture.Media.Films|350","Q16552958","tt2802850","Fargo","not exact match",NA,NA
"Zone of the Enders","classification.ores.articletopic/Culture.Media.Video games|999|classification.ores.articletopic/Culture.Internet culture|999|classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Films|687","Q2711870","tt0264208","Zone of the Enders","match",NA,NA
"Bubbling Boilers","classification.ores.articletopic/Culture.Media.Media*|705|classification.ores.articletopic/Culture.Media.Films|637","Q24868698","tt5936594","Thomas & Friends: Bubbling Boilers","not exact match",NA,NA
"Clara Bow’n filmografia","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Biography.Biography*|506|classification.ores.articletopic/Culture.Media.Media*|952","Q5125951","tt2619826","Clara Bow: Hollywood's Lost Screen Goddess","not exact match",NA,NA
