"title","wikibase_item","Studio"
"Nuoruuteni savotat","Q11884918","studio = [[Ring-studio]] "
"Cowboy Bebop","Q232246","studio = [[Sunrise (yhtiö)"
"Initial D","Q164883","studio = [[Studio Comet]] & [[Gallop]] "
"Frank Millerin Sin City: A Dame to Kill For","Q1653396","studio = Troublemaker Studios<br />[[Miramax]] "
"Titaanien sota (manga)","Q586025","studio = [[Wit Studio]] <small>(kaudet 1-3)</small></br>[[Production I.G]]</br>[[MAPPA]] <small>(kausi 4)</small> "
"Kelpaisiko seksi?!","Q122801696","studio = | genre = elektroninen musiikki, hip hop, huumorimusiikki "
"Makiba no shōjo Katri","Q599971","studio = [[Nippon Animation]] "
"Monster (manga)","Q858384","studio = [[Madhouse]] "
"Oldboy (vuoden 2013 elokuva)","Q1529637","studio = [[40 Acres and a Mule Filmworks]]<br />[[Joseph Drake (film producer)"
"Lady Oscar (manga ja anime)","Q699631","studio = [[TMS"
"Elfen Lied","Q214771","studio = Arms "
"Bilitis – tyttö ja unelma","Q475763","studio = Studio Davout<ref name=""LP""/> "
"300: Imperiumin nousu","Q400332","studio = {{Lista"
"Shōjo kakumei Utena","Q696377","studio = [[J.C.Staff]] "
"Digimon Adventure (vuoden 2020 animesarja)","Q83133117","studio = [[Toei Animation]] "
"I Robot (albumi)","Q1470689","studio = [[Abbey Road Studios]], [[Lontoo]]<ref name=""AllMusic""/> "
"Unplugged (Alice in Chainsin albumi)","Q944880","studio = Brooklynin musiikin akatemian teatteri "
"Trigun","Q128301","studio = [[Madhouse]] "
"Street Fighter II: The Animated Movie","Q929998","studio = [[Group TAC]] "
"Ihmemaa Oz (vuoden 1986 anime)","Q2454867","studio = [[Panmedia]] "
"Blue Gender","Q676633","studio = [[Anime International Company"
"Folklore: The Long Pond Studio Sessions","Q102302517","studio = Long Pond Studio, Hudson Valley, New York "
"Mnemosyne (anime)","Q2455207","studio = Xebec<br>Genco "
"Kodomo no omocha","Q786101","studio = [[J.C.Staff]], [[Shūeisha]] "
"Blood: The Last Vampire","Q885189","studio = [[Production I.G]] "
"Street Fighter Alpha: The Animation","Q3082893","studio = [[Group TAC]] "
