"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Édith Piaf","classification.ores.articletopic/Culture.Media.Music|144|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|970|classification.ores.articletopic/Geography.Regions.Europe.Europe*|880|classification.ores.articletopic/History and Society.History|576|classification.ores.articletopic/Culture.Biography.Biography*|981|classification.ores.articletopic/Culture.Biography.Women|962|recommendation.image_section/exists|1","Q1631","nm0182839","Marion Cotillard","not exact match","nm0681191",NA
"Johanna Anttila","classification.ores.articletopic/Culture.Biography.Biography*|812|classification.ores.articletopic/Culture.Media.Media*|777|classification.ores.articletopic/Culture.Media.Films|577","Q106835547","nm6242120","Johanna Anttila","match",NA,NA
"Amanda Harkimo","classification.ores.articletopic/Geography.Regions.Europe.Europe*|607|classification.ores.articletopic/Culture.Biography.Biography*|941|classification.ores.articletopic/Culture.Media.Media*|890|classification.ores.articletopic/Culture.Media.Television|899","Q26720337","nm5052196","Amanda Harkimo","match",NA,NA
"Mikael Kosola","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|877|classification.ores.articletopic/Culture.Media.Media*|851|classification.ores.articletopic/Geography.Regions.Europe.Europe*|808|classification.ores.articletopic/Culture.Biography.Biography*|554","Q97673610","nm6033902","Mikael Kosola","match",NA,NA
"Johnny Cash","classification.ores.articletopic/Culture.Biography.Biography*|818|classification.ores.articletopic/Geography.Regions.Americas.North America|809|classification.ores.articletopic/Culture.Media.Music|954|classification.ores.articletopic/Culture.Media.Media*|926|recommendation.image_section/exists|1","Q42775","nm0143602",NA,NA,"nm0143599",NA
"Jenni Kokander","classification.ores.articletopic/Culture.Biography.Biography*|949|classification.ores.articletopic/Culture.Media.Media*|615|classification.ores.articletopic/Culture.Media.Films|607","Q18633053","nm5338006",NA,NA,"nm1216631",NA
"Olli Tola","classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Geography.Regions.Europe.Europe*|531","Q22351088","nm0865835","Olli Tola","match",NA,NA
"Luettelo tunnetuista itsemurhan tehneistä","classification.ores.articletopic/History and Society.History|354|classification.ores.articletopic/Culture.Biography.Biography*|387","Q1999036","nm0027882","Keith Andes","not exact match",NA,NA
"Jari Virman","classification.ores.articletopic/Culture.Media.Media*|538|classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Culture.Media.Films|554|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|924|classification.ores.articletopic/Geography.Regions.Europe.Europe*|863","Q16991279","nm0899406","Jari Virman","match",NA,NA
"Bon Scott","classification.ores.articletopic/History and Society.Politics and government|861|classification.ores.articletopic/Culture.Media.Music|290|classification.ores.articletopic/Geography.Regions.Oceania|809|classification.ores.articletopic/Culture.Biography.Biography*|842|recommendation.link/exists|1","Q204162","nm0005285","Ozzy Osbourne","not exact match","nm0779747",NA
"Renaz Ebrahimi","classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Media*|538","Q63345344","nm10530933","Renaz Ebrahimi","match",NA,NA
"Alma Hätönen","classification.ores.articletopic/Culture.Biography.Biography*|994|classification.ores.articletopic/Geography.Regions.Europe.Europe*|712|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|577","Q55394063","nm9331657","Alma Hätönen","match",NA,NA
"Clint Eastwoodin filmografia","classification.ores.articletopic/Culture.Media.Media*|781|classification.ores.articletopic/Culture.Biography.Biography*|453","Q2543252","nm0000142","Clint Eastwood","not exact match",NA,NA
"Alina Toivanen","classification.ores.articletopic/Culture.Biography.Biography*|994|classification.ores.articletopic/Culture.Media.Media*|965|classification.ores.articletopic/Culture.Media.Music|839","Q106614350","nm5548198","Alina Toivanen","match",NA,NA
"Kari Hietalahden filmografia ja esiintymiset","classification.ores.articletopic/Geography.Regions.Europe.Europe*|692|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|607|classification.ores.articletopic/Culture.Biography.Biography*|577|classification.ores.articletopic/Culture.Media.Media*|515","Q110324195","nm0383213","Kari Hietalahti","not exact match",NA,NA
"Annika Damström","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Biography.Women|507|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|585","Q18632405","nm3386208","Annika Damström","match",NA,NA
"Jeffrey Dean Morgan","classification.ores.articletopic/Geography.Regions.Americas.North America|600|classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/Culture.Media.Television|840|classification.ores.articletopic/Culture.Biography.Biography*|732","Q342665","nm0604747",NA,NA,"nm0604742",NA
"Sanna Hirvaskari","classification.ores.articletopic/Culture.Biography.Biography*|973|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|699|classification.ores.articletopic/Geography.Regions.Europe.Europe*|592","Q11892379","nm2218203","Sanna Hirvaskari","match",NA,NA
"Kai Hahto","classification.ores.articletopic/Culture.Biography.Biography*|515|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Media.Music|995|classification.ores.articletopic/Geography.Regions.Europe.Europe*|884|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|912","Q1492082","nm1367085","Aki Hahto","not exact match","nm1772656",NA
"Marilyn Manson","classification.ores.articletopic/Culture.Media.Media*|944|classification.ores.articletopic/Culture.Media.Music|839|classification.ores.articletopic/Culture.Biography.Biography*|547","Q485893","nm0001504","Marilyn Manson","match",NA,NA
"Luettelo vuonna 2021 kuolleista henkilöistä","classification.ores.articletopic/Culture.Biography.Biography*|754","Q104214723","nm0389611","Robert Hogan","not exact match",NA,NA
"Muumimamma","classification.ores.articletopic/Culture.Literature|812|classification.ores.articletopic/Culture.Biography.Women|607|classification.ores.articletopic/Culture.Biography.Biography*|585|classification.ores.articletopic/Culture.Media.Media*|577","Q2569920","nm0849949","Ulla Tapaninen","not exact match",NA,NA
"Martti Suosalon filmografia ja esiintymiset","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|863|classification.ores.articletopic/Culture.Biography.Biography*|737|classification.ores.articletopic/Geography.Regions.Europe.Europe*|870","Q110857676","nm0839432","Martti Suosalo","not exact match",NA,NA
"Johnny Deppin filmografia","classification.ores.articletopic/Culture.Media.Films|722|classification.ores.articletopic/Culture.Media.Media*|950|classification.ores.articletopic/Culture.Biography.Biography*|357","Q6266571","nm0000136","Johnny Depp","not exact match",NA,NA
"Tommi Korpelan filmografia ja esiintymiset","classification.ores.articletopic/Culture.Media.Films|808|classification.ores.articletopic/Geography.Regions.Europe.Europe*|760|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|743|classification.ores.articletopic/Culture.Media.Media*|679|classification.ores.articletopic/Culture.Biography.Biography*|651","Q23844055","nm0466636","Tommi Korpela","not exact match",NA,NA
"Laura Birnin filmografia ja esiintymiset","classification.ores.articletopic/Geography.Regions.Europe.Europe*|743|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|692|classification.ores.articletopic/Culture.Biography.Women|679|classification.ores.articletopic/Culture.Biography.Biography*|629","Q112265314","nm1285342","Laura Birn","not exact match",NA,NA
"Anthrax","classification.ores.articletopic/Culture.Biography.Biography*|669|classification.ores.articletopic/Culture.Media.Media*|968|classification.ores.articletopic/Culture.Media.Music|992|recommendation.image_section/exists|1","Q109871","nm0069130","Frank Bello","not exact match","nm0031045",NA
"Katheryn Winnick","classification.ores.articletopic/Culture.Biography.Biography*|939|classification.ores.articletopic/Geography.Regions.Americas.North America|620|classification.ores.articletopic/Culture.Biography.Women|850","Q268298","nm935395",NA,NA,"nm0935395",NA
"Olga Kurylenko","classification.ores.articletopic/Geography.Regions.Europe.Europe*|766|classification.ores.articletopic/Culture.Biography.Biography*|985|classification.ores.articletopic/Culture.Media.Media*|890|classification.ores.articletopic/Culture.Media.Films|917|classification.ores.articletopic/Culture.Biography.Women|665|recommendation.image_section/exists|1","Q164730","nm01385871",NA,NA,"nm1385871",NA
"Birthe Wingren","classification.ores.articletopic/Geography.Regions.Europe.Europe*|930|classification.ores.articletopic/Culture.Media.Media*|893|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|803|classification.ores.articletopic/Culture.Media.Music|793|classification.ores.articletopic/Culture.Biography.Biography*|712","Q4990632","nm253815",NA,NA,"nm0935068",NA
"Tom Hanksin filmografia","classification.ores.articletopic/Culture.Biography.Biography*|524|classification.ores.articletopic/Culture.Media.Media*|860","Q7816075","nm0000158","Tom Hanks","not exact match",NA,NA
"Venla Ronkainen","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Biography.Women|569","Q106719623","nm11523017","Venla Ronkainen","match",NA,NA
"Non, je ne regrette rien","classification.ores.articletopic/Culture.Media.Music|798|classification.ores.articletopic/Culture.Media.Media*|948|classification.ores.articletopic/Culture.Biography.Biography*|276|recommendation.image/exists|1","Q11988","nm0681191","Édith Piaf","not exact match",NA,NA
"Sandra Hagelstam","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|824|classification.ores.articletopic/Culture.Biography.Biography*|772|classification.ores.articletopic/Geography.Regions.Europe.Europe*|750","Q106415275","nm8141987","Sandra Hagelstam","match",NA,NA
"Brad Pittin filmografia","classification.ores.articletopic/Culture.Media.Films|786|classification.ores.articletopic/Culture.Biography.Biography*|446|classification.ores.articletopic/Culture.Media.Media*|938","Q4954197","nm0000093","Brad Pitt","not exact match",NA,NA
"Pertti Ylermi Lindgren","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|996|classification.ores.articletopic/Geography.Regions.Europe.Europe*|971|classification.ores.articletopic/Culture.Biography.Biography*|685","Q5475386","nm0511855","Pertti Ylermi Lindgren","match",NA,NA
"Luettelo vuonna 2020 kuolleista henkilöistä","classification.ores.articletopic/Culture.Biography.Biography*|672|recommendation.link/exists|1","Q78748936","nm0517506","Annie Ross","not exact match",NA,NA
"Julia Robertsin filmografia","classification.ores.articletopic/Culture.Sports|37|classification.ores.articletopic/Culture.Media.Films|610|classification.ores.articletopic/Culture.Media.Media*|796|classification.ores.articletopic/Culture.Biography.Biography*|753","Q17145457","nm0000210","Julia Roberts","not exact match",NA,NA
"Luettelo tunnetuista transihmisistä","classification.ores.articletopic/Culture.Biography.Biography*|538|classification.ores.articletopic/History_and_Society.Society|991","Q2062354","nm9651588","Abigail Thorn","not exact match",NA,NA
"Mirjam Himberg","classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/Culture.Media.Films|831|classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Geography.Regions.Europe.Europe*|585","Q11882987","nm475021",NA,NA,"nm0385377",NA
"Luettelo tunnetuista sokeista","classification.ores.articletopic/Culture.Biography.Biography*|408","Q2256009","nm0176839","Ry Cooder","not exact match",NA,NA
"Tom Stoppard","classification.ores.articletopic/Culture.Biography.Biography*|361|classification.ores.articletopic/Culture.Performing arts|994|recommendation.link/exists|1","Q294773","nm000177",NA,NA,"nm0001779",NA
"Carice van Houten","classification.ores.articletopic/Culture.Biography.Biography*|838|classification.ores.articletopic/Culture.Biography.Women|834","Q232384","nm396924",NA,NA,"nm0396924",NA
