"title","wikibase_item","CompanyID","QID.imdb"
"France 2","Q525894","co0056755",NA
"France 3","Q1322641","co0044140",NA
"Réservoir Prod","Q3457700","co0045714",NA
"Liste des longs métrages en prises de vues réelles produits par les Studios Disney","Q835515","co0008970",NA
"Liste des films produits par Universal Pictures","Q2377605","co0005073",NA
"Artmedia","Q2865831","co0010563",NA
"Agence CAPA","Q2826544","co0111494",NA
"Walt Disney Imagineering","Q2140930","co0094465",NA
"Girlfriends Films","Q3107636","co0160247",NA
"TAT Productions","Q21097821","co0019617",NA
"Hustler","Q823373","co0055927",NA
"Liste des films produits par Miramax","Q6620027","co0022594",NA
"Nadeo","Q514059","co0238994",NA
"Lotte Cultureworks","Q55729438","co0150349",NA
"Bach Films","Q48750238","co0140033",NA
"Plaion","Q555273","co0157100",NA
"Casino Grand-Cercle","Q2941077","co0356077",NA
"Hybride Technologies","Q3143654","co71495",NA
"Mars Films","Q3294957","co0016464",NA
"We Live Together.com","Q16683199","co0308210",NA
"Gafer","Q3094288","co0005441",NA
"Wild Side Films","Q3568117","co0090527",NA
"Liste des films produits par Amblin Entertainment","Q3249656","co0009119",NA
"Thelma Films","Q3523524","co0146460",NA
"Sveriges Television","Q215363","co0359324",NA
"Société nouvelle de cinématographie","Q39075149","co0045465",NA
"Télé Images Productions","Q16681507","co0051962",NA
"Jerry Bruckheimer Films","Q17305144","co0026281",NA
"Phare bleu",NA,"co0521312",NA
"Fidélité Productions","Q3071502","co0037192",NA
"Albatros (production)","Q2830819","co36242",NA
"Remcorp","Q3424656","co0364075",NA
"Adastra films","Q2823848","co0256351",NA
"Storimages","Q3499806","co68144",NA
"Dupuis Edition & Audiovisuel","Q3041471","co83940",NA
"Association française des directrices et directeurs de la photographie cinématographique","Q2867740","co0245862",NA
"Liste des films produits par Gaumont sortis en salles","Q25384727","co0172053",NA
"Ouille Productions","Q3358133","co0085786",NA
"LCJ Éditions et Productions","Q3205955","co0057470",NA
"Disney Channel Worldwide","Q1111443","co0013021",NA
"Autochenille Production","Q2872536","co0259047",NA
"APPP","Q657931","co0066664",NA
"Créativité et Développement","Q16545070","co0057440",NA
"Film4","Q1108255","co0197272",NA
"Silex Films","Q24932906","co0197387",NA
"Alcatraz Films (entreprise)","Q18384665","co0425774",NA
"Les Films de l'Arlequin","Q3232643","co001411",NA
"Mad Films","Q60963802","co0128953",NA
"TFM Distribution","Q3512136","co0016056",NA
"Bélokapi","Q2378685","co54381",NA
"Les Cartooneurs associés","Q3231301","co91448",NA
"Téléma","Q30737762","co0032782",NA
"The Film (société de production)","Q16679546","co0170513",NA
"Studios d'Arpajon","Q30738624","co0062800",NA
"Pipangaï","Q3389007","co0313055",NA
"Les Films Lutétia","Q30737662","co0049728",NA
"Madeleine Films","Q3275643","co0031419",NA
"Les Films du dauphin","Q3232648","co008826",NA
"Will.i.am Music Group","Q1949791","co0333657",NA
"Comic Strip Production","Q2985194","co0068768",NA
"Outerbanks Entertainment","Q7112041","co0048032",NA
"Reel FX Creative Studio","Q28872997","co0051162",NA
"Art Theatre Guild","Q2864573","co0005137",NA
"Melenny Productions","Q3305015","co0077842",NA
"Mad Chance","Q3275123","co0034487",NA
"Zootrope Films","Q3576068","co0093709",NA
"Pathé Live","Q48748611","co0380073",NA
"Office national pour le commerce et l'industrie cinématographique","Q3349669","co0012785",NA
"Walt Disney Travel Company","Q3565632","co0059815",NA
"Eyeworks","Q492725","co0246959",NA
"Liste de films produits par Mosfilm","Q55719575","co0024010",NA
"Films 7","Q30737775","co0042052",NA
"Walt Disney Educational Productions","Q3565607","co0067765",NA
"Devil's film","Q3025447","co0023433",NA
"Maintenon Films","Q3278407","co0073931",NA
"Les Films de la Perrine","Q3232646","co107501",NA
"JPL Production","Q3156943","co0154159",NA
"Les Films Gibé","Q20724624","co0014595",NA
"Program Store","Q30737522","co0292539",NA
"Anna Sanders Films","Q2850600","co0018130",NA
"Disney Television Studios","Q63893295","co0013021",NA
"Islington Green School","Q3155401","co0166208",NA
"Zorobabel (cinéma)","Q3576116","co0178099",NA
"Malpaso Records","Q3284602","co0130576",NA
"Chubu-Nippon Broadcasting","Q528448","co0161063",NA
"SS Lane Victory","Q2376481","co0202322",NA
"Tohokushinsha Film","Q3992245","co0032110",NA
"Zide/Perry Productions","Q8071490","co0100462",NA
"Les Films du paradoxe","Q28494629","co0009196",NA
"SNPC (homonymie)","Q16102553","co77956",NA
"Toho-Towa","Q119844480","co0064457",NA
"Stella Productions","Q3498146","co0161016",NA
"King Bee Studios","Q3196993","co0142225",NA
"Michigan Films","Q3311503","co0260528",NA
"Jambalaya Studios","Q3160819","co0013905",NA
"Weiss Brothers","Q56247596","co0128383",NA
"One World Films","Q3352673","co0253907",NA
"Stargate Studios","Q3497143","co0024812",NA
"Film Polski","Q19309961","co6433",NA
"Imaginastudio","Q3148917","co0175182",NA
"Possibles Média","Q25384315","co0287081",NA
"Quasar Pictures","Q3413369","co0159116",NA
"Gulliver Productions","Q3120767","co0051047",NA
"Leland Interactive Media","Q6520761","co0040167",NA
"British Instructional Films","Q4970126","co0103053",NA
"Mittenthal Film Company","Q3317215","co0134065",NA
"Zeugma Films","Q21428140","co0024327",NA
"Tarantula Belgique","Q109318340","co0280386",NA
