"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Élisabeth II","classification.ores.articletopic/Culture.Biography.Biography*|718|recommendation.image_section/exists|1","Q9682","nm0768795","Prunella Scales","not exact match","nm0703070",NA
"Tom Hanks","classification.ores.articletopic/Culture.Media.Films|971|classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Biography.Biography*|737|recommendation.image_section/exists|1","Q2263","nm2721320","Chet Hanks","not exact match","nm0000158",NA
"Carine Roitfeld","classification.ores.articletopic/Culture.Visual_arts.Fashion|961|classification.ores.articletopic/Geography.Regions.Europe.Europe*|538|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|945|classification.ores.articletopic/Culture.Biography.Biography*|993","Q656605","nm0737710","Jacques Roitfeld","not exact match",NA,NA
"Jean Dujardin","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Media.Films|924|classification.ores.articletopic/Culture.Biography.Biography*|787","Q189422","nm4727678","Marc Dujardin","not exact match","nm0241121",NA
"France Gall","classification.ores.articletopic/Culture.Biography.Biography*|692|classification.ores.articletopic/Culture.Media.Media*|961|classification.ores.articletopic/Culture.Media.Music|679|classification.ores.articletopic/Geography.Regions.Europe.Europe*|665|classification.ores.articletopic/Culture.Media.Television|515|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|538","Q208258","nm1360702","Stéphane Rybojad","not exact match","nm0302287",NA
"Igor et Grichka Bogdanoff","classification.ores.articletopic/Culture.Biography.Biography*|607|classification.ores.articletopic/Geography.Regions.Europe.Europe*|554","Q12920","nm10725986","Alain Williams","not exact match",NA,NA
"Laure Murat","classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|737|classification.ores.articletopic/Culture.Biography.Biography*|995|classification.ores.articletopic/Geography.Regions.Europe.Europe*|665","Q3218780","nm1015316","Napoléon Murat","not exact match",NA,NA
"Keira Knightley","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Culture.Media.Films|974|recommendation.image_section/exists|1","Q42581","nm0079677","Tim Bevan","not exact match","nm0461136",NA
"Jean-Hugues Anglade","classification.ores.articletopic/Culture.Media.Media*|782|classification.ores.articletopic/Geography.Regions.Europe.Europe*|771|classification.ores.articletopic/Culture.Media.Films|737|classification.ores.articletopic/Culture.Biography.Biography*|884|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|812","Q690283","nm0814532","Pamela Soo","not exact match","nm0000767",NA
"Reem Kherici","classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Culture.Media.Films|692","Q3423028","nm9421117","Diva","not exact match","nm3372724",NA
