"title","wikibase_item","Studio"
"Indila","Q6024866","studio = 1 "
"Pixar Animation Studios","Q127552","studio = [[Pixar Campus]] "
"Great Teacher Onizuka","Q457981","studio = | chaine = [[Fuji Television]], [[Kansai Telecasting Corporation"
"Samantha Fox","Q464052","studio = 6 "
"Poséidon (film, 2006)","Q906633","studio = | label = Todd AO, CBS Radford Studios "
"Discographie de Serge Gainsbourg","Q28496138","studio = 17 "
"Iko Iko","Q5996063","studio = | venue = "
"Touchstone Pictures","Q497155","studio = [[Walt Disney Studios Burbank]] (1984-2019) }} === Contexte === Au milieu des années 1970, avec la fin des projets lancés par le défunt [[Walt Disney]], mort en [[1966]], le studio rentre dans une phase difficile avec plusieurs échecs et un problème d'identité. Les productions cinématographiques et télévisuelles sont regroupées sous le studio historique [[Walt Disney Pictures"
"Studios Disney de 1937 à 1941","Q3501059","studio = [[Walt Disney Studios Hyperion"
"Discographie de The Cure","Q2461132","studio = 13 "
"Elizabeth Daily","Q258255","studio = 5 "
"Discographie de Shy'm","Q3030039","studio = 7 "
"Michael Franks","Q1383840","studio = 18 "
"Commander in Chief","Q697031","studio = | label = [[Imperativa Records]]<br /> par le studio [[Immediate Music]] "
"Discographie de Clint Eastwood","Q3029893","studio = 2 "
"Discographie des Foo Fighters","Q1435934","studio = 10 "
"Discographie de Pat Metheny","Q7143791","studio = | live = "
"Studios Disney de 1950 à 1973","Q3501062","studio = [[Walt Disney Studios Burbank]] (1941-){{-}} [[The Walt Disney Company Limited"
"Discographie d'Henri Texier","Q48755685","studio = | live = "
"Peppino di Capri","Q982377","studio = 40 "
"Allie X","Q16150821","studio = 2 "
"Discographie de Shania Twain","Q1143593","studio = 4 "
"Kiesza","Q16730833","studio = 1 "
"Nilla Pizzi","Q255593","studio = 27 "
"Discographie de Basshunter","Q810519","studio = 5 "
"Discographie de Paula Abdul","Q3030015","studio = 3 "
"Discographie de Chick Corea","Q3029889","studio = | live = "
"Aoki densetsu shoot!","Q703277","studio = [[Toei Animation]] "
"Sakuran","Q29590","studio = | licence = "
"Discographie de Randy Newman","Q2034136","studio = 10 "
"Discographie de NCT","Q27952628","studio = 2 "
"Beast King GoLion","Q707001","studio = [[Toei Animation]] "
"Discographie d'Aldo Romano","Q99237205","studio = 22 "
"Machine Robo Rescue","Q1051871","studio = [[Sunrise (studio)"
"Mars Needs Women","Q3849862","studio = Azalea Pictures "
"Liste des chansons de The Narrative","Q15925631","studio = | live = "
