"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Virginie Efira","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Biography.Biography*|731","Q3560737","tt26254712",NA,NA,NA,NA
"James Bond","classification.ores.articletopic/Culture.Media.Media*|812|classification.ores.articletopic/Culture.Media.Films|577","Q2009573","tt0508383","Diamonds Aren't Forever","not exact match",NA,NA
"Filmographie de Clint Eastwood","classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Culture.Biography.Biography*|515|classification.ores.articletopic/Culture.Media.Media*|980","Q2543252","tt0067588","Play Misty for Me","not exact match",NA,NA
"La Famille Addams","classification.ores.articletopic/Culture.Literature|658|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|622|classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Media.Entertainment|692|classification.ores.articletopic/Culture.Media.Films|921|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|562","Q1182672","tt3488236","Adult Wednesday Addams","not exact match",NA,NA
"Lana et Lilly Wachowski","classification.ores.articletopic/Culture.Media.Media*|922|classification.ores.articletopic/Culture.Media.Films|325|classification.ores.articletopic/Culture.Literature|683|classification.ores.articletopic/Culture.Biography.Biography*|576|recommendation.image_section/exists|1","Q195719","tt0427392","The Invasion","not exact match",NA,NA
"Great Teacher Onizuka","classification.ores.articletopic/Culture.Literature|998|classification.ores.articletopic/Culture.Media.Films|562|classification.ores.articletopic/Culture.Media.Media*|531|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|1000|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|999","Q457981","tt0424142","The Hero","not exact match",NA,NA
"Oscar du meilleur film","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|991|recommendation.image/exists|1","Q102427","tt0093389","The Last Emperor","not exact match",NA,NA
"Le Chat potté","classification.ores.articletopic/Culture.Media.Entertainment|474|classification.ores.articletopic/Culture.Media.Films|534|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/STEM.Biology|735|classification.ores.articletopic/Culture.Literature|957|recommendation.image_section/exists|1","Q2283527","tt0448694","Puss in Boots","not exact match",NA,NA
"Saison 3 de The Mandalorian","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Television|863|classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Entertainment|817","Q108882382","tt8111088","The Mandalorian","not exact match",NA,NA
"Caméo","classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|718|classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Culture.Literature|887|classification.ores.articletopic/Culture.Media.Films|955","Q191796","tt0092618","Barfly","not exact match",NA,NA
"Snuff movie","classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Culture.Media.Films|622|recommendation.image/exists|1","Q644437","tt0094271","Violent Shit","not exact match",NA,NA
"Le Petit Dinosaure","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|705","Q1068384","tt0095489","The Land Before Time","not exact match",NA,NA
"Bollywood","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|995|classification.ores.articletopic/Geography.Regions.Asia.Asia*|989","Q93196","tt0156186","The Wrestlers","not exact match",NA,NA
"Jack et le Haricot magique","classification.ores.articletopic/Culture.Media.Films|651|classification.ores.articletopic/Culture.Media.Media*|948|classification.ores.articletopic/Culture.Literature|607","Q1455839","tt0074705","Jack and the Beanstalk","not exact match",NA,NA
"Prise de vues réelles","classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Culture.Media.Media*|987","Q517386","tt1517268","Barbie","not exact match",NA,NA
