"title","wikibase_item","CompanyID","QID.imdb"
"פיקסאר","Q127552","co0017902",NA
"האחים וורנר","Q126399","co0002663",NA
"סרטי יוניברסל","Q168383","co0044078",NA
"Fox Kids","Q626178","co0031877",NA
"סרטי פרמאונט","Q159846","co0023400",NA
"אולפני המאה ה-20","Q434841","co0000756",NA
"אולפני מארוול","Q367466","co0051941",NA
"אולפני ההנפשה של וולט דיסני","Q1047410","co0075995",NA
"האנה-ברברה","Q736464","co0024579",NA
"ענני","Q101435480","co0097692",NA
"סרטי סוני","Q822314","co0026545",NA
"סרטי קולומביה","Q186941","co0071509",NA
"לוקאס פילם","Q242446","co0071326",NA
"שאשי קאפור","Q379171","co0031990",NA
"יונייטד ארטיסטס","Q219400","co0026841",NA
"פן וטלר","Q130317","co0181096",NA
"קנון גרופ","Q1033465","co0080240",NA
"CD Projekt","Q7098994","co0145666",NA
"האפי מדיסון","Q1584317","co0059609",NA
"Syncopy Films","Q984047","co0147954",NA
"RKO","Q267282","co0050028",NA
"סרטי סוני הנפשה","Q1416835","co0121181",NA
"המכון לקולנוע על שם גרסימוב","Q1130457","co0016875",NA
"CD Projekt RED","Q1172164","co0232388",NA
"סטודיו פיירו","Q611346","co0106793",NA
"IFC Films","Q2910457","co0015762",NA
"לייקה (חברה)","Q1314323","co0154810",NA
"אולפני ההנפשה ברבנק","Q4998158","co0101137",NA
"The Stone Quarry","Q2436112","co0199432",NA
"Bazelevs","Q2892410","co0042742",NA
"קאסל רוק אנטרטיינמנט","Q622848","co0040620",NA
"מרצ'נט ואייבורי הפקות","Q2407366","co0128311",NA
"WingNut Films","Q3569323","co0046203",NA
"אולפני ההנפשה של פוקס","Q3080177","co0043064",NA
"Seed Productions","Q1748725","co0018020",NA
"אולפני ואן ביורן","Q2777608","co0122161",NA
"Bumper Films","Q16828554","co0104753",NA
"משפחת מאעלוף","Q2905421","co0139838",NA
"מייסון יואינג (חברה)","Q28494249","co0682339",NA
