"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"איאן סומרהולדר","classification.ores.articletopic/Culture.Media.Films|531|classification.ores.articletopic/Culture.Biography.Biography*|987|classification.ores.articletopic/Culture.Media.Media*|870","Q130447","tt0260698","Anatomy of a Hate Crime","not exact match",NA,NA
"מלחמת הכוכבים","classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Media.Entertainment|531|classification.ores.articletopic/Culture.Media.Media*|990","Q462","tt0076759","Star Wars: Episode IV - A New Hope","not exact match",NA,NA
"שודדי הקאריביים (סדרת סרטים)","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Media.Films|847|recommendation.image_section/exists|1","Q194318","tt1790809","Pirates of the Caribbean: Dead Men Tell No Tales","not exact match",NA,NA
"טום הולנד (שחקן)","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Media.Films|953|classification.ores.articletopic/Culture.Biography.Biography*|901|recommendation.image_section/exists|1","Q2023710","tt3556920","Wolf Hall","not exact match",NA,NA
"הנרי קאביל","classification.ores.articletopic/Geography.Regions.Europe.Europe*|515|classification.ores.articletopic/Culture.Media.Media*|941|classification.ores.articletopic/Culture.Media.Films|874|classification.ores.articletopic/Culture.Biography.Biography*|760|recommendation.image_section/exists|1","Q295498","tt0329276","Vendetta","not exact match",NA,NA
"אנימה (הנפשה)","classification.ores.articletopic/Culture.Media.Media*|855|classification.ores.articletopic/Culture.Media.Films|665|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|1000|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|1000|classification.ores.articletopic/Culture.Literature|1000|recommendation.image_section/exists|1","Q1107","tt2013293","The Wind Rises","not exact match",NA,NA
"ניקולס גאליצין","classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/Culture.Biography.Biography*|615|classification.ores.articletopic/Culture.Media.Films|826","Q90902600","tt3064356","The Beat Beneath My Feet","not exact match",NA,NA
"הנפשה","classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|1000","Q11425","tt0044958","Neighbours","not exact match",NA,NA
"מיקי לאון","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|835|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Geography.Regions.Asia.Asia*|766|classification.ores.articletopic/Culture.Biography.Biography*|500|classification.ores.articletopic/Culture.Media.Media*|859","Q6935884","tt5968274","The Angel","not exact match",NA,NA
"קיט קונור","classification.ores.articletopic/Geography.Regions.Europe.Europe*|600|classification.ores.articletopic/Culture.Biography.Women|562|classification.ores.articletopic/Culture.Media.Films|731|classification.ores.articletopic/Culture.Media.Media*|851|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|592|recommendation.image_section/exists|1","Q58007617","tt2555406","Rocket's Island","not exact match",NA,NA
