"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"מולי שגב","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Culture.Biography.Biography*|712|classification.ores.articletopic/Geography.Regions.Asia.Asia*|658|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|685","Q6786515","nm0782030","Muli Segev","not exact match",NA,NA
"מייקל גמבון","classification.ores.articletopic/Culture.Media.Media*|899|classification.ores.articletopic/Culture.Biography.Biography*|901|classification.ores.articletopic/Culture.Media.Films|665","Q203545","nm0002091","Michael Gambon","not exact match",NA,NA
"ריף נאמן","classification.ores.articletopic/Culture.Biography.Biography*|692|classification.ores.articletopic/Culture.Media.Media*|760|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|592|classification.ores.articletopic/Geography.Regions.Asia.Asia*|705","Q28339576","nm9858295","Reef Neeman","not exact match",NA,NA
"אמה מקי","classification.ores.articletopic/Geography.Regions.Europe.Europe*|975|classification.ores.articletopic/Culture.Media.Films|952|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|980|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Culture.Biography.Biography*|991","Q60590137","nm8076281","Emma Mackey","not exact match",NA,NA
"כריסטיאנו רונאלדו","classification.ores.articletopic/Culture.Sports|997|classification.ores.articletopic/Geography.Regions.Europe.Europe*|665|classification.ores.articletopic/Culture.Biography.Biography*|793|recommendation.image_section/exists|1","Q11571","nm1860184","Cristiano Ronaldo","not exact match",NA,NA
"שחר חסון","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|831|classification.ores.articletopic/Culture.Media.Media*|531|classification.ores.articletopic/Geography.Regions.Asia.Asia*|798|classification.ores.articletopic/Culture.Biography.Biography*|771","Q7060127","nm2987169","Shachar Chason","not exact match",NA,NA
"אדוה דדון","classification.ores.articletopic/Culture.Biography.Biography*|924|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|899|classification.ores.articletopic/Geography.Regions.Asia.Asia*|870","Q56217790","nm10993321","Adva Dadon","not exact match",NA,NA
"אמנון אברמוביץ'","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|967|classification.ores.articletopic/Culture.Biography.Biography*|615|classification.ores.articletopic/Geography.Regions.Asia.Asia*|921","Q12404042","nm5542081","Amnon Abramovich","not exact match",NA,NA
"סוזנה פפיאן","classification.ores.articletopic/Geography.Regions.Asia.Asia*|990|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|996|classification.ores.articletopic/Culture.Biography.Biography*|943","Q121418573","nm4138807","Suzanna Papian","not exact match",NA,NA
"שפרה קורנפלד","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|835|classification.ores.articletopic/Culture.Media.Media*|685|classification.ores.articletopic/Geography.Regions.Asia.Asia*|831|classification.ores.articletopic/Culture.Biography.Biography*|600","Q6934542","nm5529644","Shifra Cornfeld","not exact match",NA,NA
"רודי סעדה","classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Geography.Regions.Asia.Asia*|658|classification.ores.articletopic/Culture.Biography.Biography*|743","Q6993971","nm4688869","Rudi Saada","not exact match",NA,NA
"ברוס ויליס","classification.ores.articletopic/Culture.Biography.Biography*|939|classification.ores.articletopic/Geography.Regions.Americas.North_America|712|classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Media.Films|938|recommendation.image_section/exists|1","Q2680","nm0000246","Bruce Willis","not exact match",NA,NA
"עידו מוסרי","classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Culture.Biography.Biography*|651","Q1543563","nm1504979","Ido Mosseri","not exact match",NA,NA
"ריצ'רד האריס","classification.ores.articletopic/Geography.Regions.Europe.Europe*|515|classification.ores.articletopic/Culture.Media.Films|930|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/Culture.Media.Music|731|classification.ores.articletopic/Culture.Biography.Biography*|993","Q106775","nm0001321","Richard Harris","not exact match",NA,NA
"שוטי גטווה","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Media.Films|793|classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|651|classification.ores.articletopic/Geography.Regions.Europe.Europe*|585","Q60618349","nm6967441","Ncuti Gatwa","not exact match",NA,NA
"מימי קין","classification.ores.articletopic/Geography.Regions.Europe.Europe*|515|classification.ores.articletopic/Culture.Media.Media*|934|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|554|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Culture.Biography.Biography*|884|classification.ores.articletopic/Culture.Biography.Women|500","Q16730685","nm5488579","Mimi Keene","not exact match",NA,NA
"אהוד ברק","classification.ores.articletopic/Culture.Biography.Biography*|692|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|917|classification.ores.articletopic/Geography.Regions.Asia.Asia*|899","Q125731","nm1383992","Ehud Barak","not exact match",NA,NA
"אייסה באטרפילד","classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Media.Films|921|recommendation.image_section/exists|1","Q312524","nm2633535","Asa Butterfield","not exact match",NA,NA
"אלברט איינשטיין","classification.ores.articletopic/STEM.STEM*|938|classification.ores.articletopic/STEM.Physics|787|classification.ores.articletopic/Culture.Biography.Biography*|826","Q937","nm0251868","Albert Einstein","not exact match",NA,NA
"ליהי קורנובסקי","classification.ores.articletopic/Culture.Biography.Biography*|737|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|592|classification.ores.articletopic/Culture.Media.Media*|817","Q18203500","nm6779063","Lihi Kornowski","not exact match",NA,NA
"בלייק לייבלי","classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Geography.Regions.Americas.North_America|787|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Biography.Biography*|980|recommendation.image_section/exists|1","Q162959","nm0515116","Blake Lively","not exact match",NA,NA
"דנה פרידר","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|737|classification.ores.articletopic/Culture.Media.Media*|500|classification.ores.articletopic/Culture.Biography.Biography*|787|classification.ores.articletopic/Geography.Regions.Asia.Asia*|766","Q7060832","nm2601667","Dana Frider","not exact match",NA,NA
"טל מוסרי","classification.ores.articletopic/Geography.Regions.Asia.Asia*|507|classification.ores.articletopic/Culture.Biography.Biography*|651|classification.ores.articletopic/Culture.Media.Media*|826","Q4025827","nm1508141","Tal Mosseri","not exact match",NA,NA
"יהודה לוי (שחקן)","classification.ores.articletopic/Culture.Media.Media*|685|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|692|classification.ores.articletopic/Geography.Regions.Asia.Asia*|749|classification.ores.articletopic/Culture.Biography.Biography*|771","Q1333311","nm1106990","Yehuda Levi","not exact match",NA,NA
"אקי אבני","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|887|classification.ores.articletopic/Culture.Media.Media*|554|classification.ores.articletopic/Culture.Biography.Biography*|798|classification.ores.articletopic/Geography.Regions.Asia.Asia*|847","Q2906794","nm0043259","Aki Avni","not exact match",NA,NA
"ליא קניג","classification.ores.articletopic/Geography.Regions.Europe.Eastern Europe|958|classification.ores.articletopic/Culture.Biography.Women|917|classification.ores.articletopic/Culture.Philosophy and religion|761|classification.ores.articletopic/Geography.Regions.Asia.West Asia|768|classification.ores.articletopic/Culture.Biography.Biography*|984|classification.ores.articletopic/Geography.Regions.Europe.Europe*|619|classification.ores.articletopic/History and Society.History|725|classification.ores.articletopic/Geography.Regions.Asia.Asia*|879","Q2778259","nm0447775","Leah Koenig","not exact match",NA,NA
"מירב שירום","classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Culture.Biography.Biography*|562","Q12409144","nm6542672","Meirav Shirom","not exact match",NA,NA
"לאונרדו דיקפריו","classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Culture.Media.Films|974|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Geography.Regions.Americas.North_America|546|recommendation.image_section/exists|1","Q38111","nm0000138","Leonardo DiCaprio","not exact match",NA,NA
"איאן סומרהולדר","classification.ores.articletopic/Culture.Media.Films|531|classification.ores.articletopic/Culture.Biography.Biography*|987|classification.ores.articletopic/Culture.Media.Media*|870","Q130447","nm0813812","Ian Somerhalder","not exact match",NA,NA
"לוסי אהריש","classification.ores.articletopic/Geography.Regions.Asia.Asia*|919|classification.ores.articletopic/Culture.Media.Media*|637|classification.ores.articletopic/Culture.Biography.Biography*|718|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|959","Q6698168","nm4769376","Lucy Aharish","not exact match",NA,NA
