"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Ólafur Darri Ólafsson","classification.ores.articletopic/Culture.Media.Media*|658|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|799|classification.ores.articletopic/Culture.Biography.Biography*|499","Q16420426","nm0959963","Ólafur Darri Ólafsson","match",NA,NA
"Gísli Örn Garðarsson","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|968|classification.ores.articletopic/Culture.Biography.Biography*|888|classification.ores.articletopic/Geography.Regions.Europe.Europe*|868","Q15929501","nm1458629","Gísli Örn Garðarsson","match",NA,NA
"William Shatner","classification.ores.articletopic/Geography.Regions.Americas.North America|761|classification.ores.articletopic/Culture.Biography.Biography*|856|classification.ores.articletopic/Culture.Sports|44|classification.ores.articletopic/Culture.Media.Television|921|classification.ores.articletopic/Culture.Media.Media*|913|recommendation.link/exists|1","Q16297","nm0000638","William Shatner","match",NA,NA
"Joe Rogan","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Culture.Biography.Women|743|classification.ores.articletopic/Geography.Regions.Americas.North_America|622|classification.ores.articletopic/Culture.Media.Films|507","Q2718421","nm0736579","Joe Rogan","match",NA,NA
"Jessica Steen","classification.ores.articletopic/Culture.Biography.Women|828|classification.ores.articletopic/Geography.Regions.Americas.North America|630|classification.ores.articletopic/Culture.Media.Media*|730|classification.ores.articletopic/Culture.Biography.Biography*|862|classification.ores.articletopic/Culture.Media.Television|712|recommendation.link/exists|1","Q467450","nm0824763","Jessica Steen","match",NA,NA
"Anne Haney","classification.ores.articletopic/History and Society.History|167|classification.ores.articletopic/Culture.Biography.Women|864|classification.ores.articletopic/Geography.Regions.Americas.North America|618|classification.ores.articletopic/Culture.Biography.Biography*|985|classification.ores.articletopic/Culture.Media.Media*|803","Q530627","nm0359774","Anne Haney","match",NA,NA
"Jón Gnarr","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|903|classification.ores.articletopic/Culture.Biography.Biography*|854|classification.ores.articletopic/Geography.Regions.Europe.Europe*|896|recommendation.link/exists|1","Q445921","nm0323463","Jón Gnarr","match",NA,NA
"Laddi","classification.ores.articletopic/Geography.Regions.Europe.Europe*|977|classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|909|classification.ores.articletopic/Culture.Media.Films|737|classification.ores.articletopic/Culture.Media.Music|851|recommendation.link/exists|1","Q6469337","nm0480486","Þórhallur Sigurðsson","not exact match",NA,NA
"Pálmi Gestsson","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|864|classification.ores.articletopic/Geography.Regions.Europe.Europe*|870|classification.ores.articletopic/Culture.Biography.Biography*|909","Q16423864","nm0315191","Pálmi Gestsson","match",NA,NA
"Jóhann Svarfdælingur","classification.ores.articletopic/Geography.Regions.Europe.Europe*|702|classification.ores.articletopic/Culture.Biography.Biography*|879|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|733","Q6320309","nm0678842","Johann Petursson","not exact match",NA,NA
"Ingvar E. Sigurðsson","classification.ores.articletopic/Culture.Media.Media*|934|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|731|classification.ores.articletopic/Geography.Regions.Europe.Europe*|787|classification.ores.articletopic/Culture.Biography.Biography*|705|classification.ores.articletopic/Culture.Media.Films|817|recommendation.link/exists|1","Q496913","nm0797614","Ingvar Sigurdsson","not exact match",NA,NA
"Woody Allen","classification.ores.articletopic/Geography.Regions.Americas.North America|885|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Biography.Biography*|333|classification.ores.articletopic/Culture.Media.Films|392","Q25089","nm0000095","Woody Allen","match",NA,NA
"Jóhann Jóhannsson","classification.ores.articletopic/Culture.Biography.Biography*|814|classification.ores.articletopic/Culture.Media.Music|869|classification.ores.articletopic/Culture.Media.Media*|829|recommendation.link/exists|1","Q428347","nm0433580","Jóhann Jóhannsson","match",NA,NA
"Susanne Blakeslee","classification.ores.articletopic/Culture.Media.Media*|911|classification.ores.articletopic/Culture.Biography.Biography*|789|recommendation.image/exists|1","Q465167","nm0086840","Susanne Blakeslee","match",NA,NA
"Steinunn Ólína Þorsteinsdóttir","classification.ores.articletopic/Culture.Biography.Women|912|classification.ores.articletopic/Geography.Regions.Europe.Europe*|827|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|955|classification.ores.articletopic/History and Society.History|353|classification.ores.articletopic/Culture.Biography.Biography*|996","Q7606934","nm0960388","Steinunn Ólína Þorsteinsdóttir","match",NA,NA
"Magnús Ólafsson (leikari)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|644|classification.ores.articletopic/Culture.Media.Films|754|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Culture.Media.Media*|847","Q16421707","nm0645894","Magnús Ólafsson","not exact match",NA,NA
