"title","wikibase_item","CompanyID","QID.imdb"
"Manuel Ferrara","Q715159","co0153738",NA
"Roger Corman","Q318292","co0065427",NA
"Pellicola cinematografica a colori","Q941530","co0002739",NA
"Cortometraggi Pixar","Q1426878","co0017902",NA
"Reteitalia","Q3933698","co0013271",NA
"Alpha France","Q2839496","co0066229",NA
"Euro International Films","Q3734691","co0060514",NA
"Studio SEK","Q1050337","co0157788",NA
"Nordisk Film","Q1891982","co0060132",NA
"Carl Laemmle","Q61074","co0081887",NA
"Sacis","Q16599511","co0089251",NA
"Champion Film Company","Q16539202","co0080747",NA
"American International Pictures","Q465224","co0002353",NA
"Sunsoft","Q2298387","co0063118",NA
"Marilyn Monroe Production","Q3847973","co0053041",NA
"Ercole Pace","Q3731204","co0017758",NA
"DV8 Physical Theatre","Q2918822","co0156654",NA
"Istituto cinematografico Michelangelo Antonioni","Q3803601","co0345844",NA
"Lubin Manufacturing Company","Q116439","co0068471",NA
"Cinesicilia","Q3677222","co0299261",NA
"Clesi Cinematografica","Q3680556","co0007333",NA
"Century Film","Q17812056","co0043562",NA
"De Lane Lea Studios","Q843535","co0207906",NA
"Mollie King","Q16930213","co0037577",NA
"VCA Pictures","Q2059104","co0055927",NA
"Independent Moving Pictures","Q60648","co0081887",NA
"Davis-Films","Q3703758","co0032081",NA
"Robert Brunton","Q3938220","co0042004",NA
"Bison Motion Pictures","Q3640460","co0086589",NA
"Al Ferguson","Q3607492","co0129049",NA
"Muriel Ostriche","Q3328132","co0129117",NA
"Mario Gargiulo","Q22070169","co0089450",NA
"Robert Martin (direttore della fotografia)","Q3938358","co0127404",NA
"The King's Consort","Q1168119","co0152630",NA
"Takako Irie","Q3514156","co0127861",NA
"Robert King (direttore d'orchestra)","Q3938332","co0152630",NA
"Lightyear Entertainment","Q6546638","co0040773",NA
"Richard Pepin","Q3934858","co0027550",NA
"Filmografia della Selig Polyscope","Q3745455","co0055935",NA
"James Ford (attore)","Q3806555","co0068243",NA
"Trees Pictures","Q3998214","co0172421",NA
"Filmografia della Famous Players-Lasky Corporation","Q3745449","co0047533",NA
"Filmografia della Independent Moving Pictures","Q3745452","co0081887",NA
"Image Engine","Q8538","co0140264",NA
"Société des Cinéromans","Q16677238","co0019993",NA
"Première Heure","Q3910771","co0034340",NA
"Filmografia della Nestor Film Company","Q16556108","co0077698",NA
"Robert Broadwell","Q15864881","co0303653",NA
"New Deal Studios","Q8527","co0102403",NA
"Robert Kane (produttore)","Q3938324","co0035633",NA
"Vandalia Films","Q30896862","co0155637",NA
