"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Matteo Martari","classification.ores.articletopic/Culture.Media.Media*|896|classification.ores.articletopic/Culture.Media.Films|665","Q23829601","tt15268028","(Im)perfetti criminali","not exact match",NA,NA
"Monica Bellucci","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Geography.Regions.Europe.Europe*|705|classification.ores.articletopic/Culture.Biography.Biography*|973|classification.ores.articletopic/Culture.Media.Films|855","Q81819","tt4292420","Ville-Marie","not exact match",NA,NA
"Woody Allen","classification.ores.articletopic/Culture.Media.Media*|979|classification.ores.articletopic/Culture.Media.Films|904","Q25089","tt0863416","Woody Allen","match",NA,NA
"Sophia Loren","classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Culture.Media.Films|961|classification.ores.articletopic/Culture.Biography.Biography*|893","Q43252","tt0092345","DuckTales","not exact match",NA,NA
"Michael J. Fox","classification.ores.articletopic/Geography.Regions.Americas.North_America|538|classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Biography.Biography*|896|recommendation.image_section/exists|1","Q395274","tt0085679","High School U.S.A.","not exact match",NA,NA
"Gillian Anderson","classification.ores.articletopic/Culture.Media.Films|777|classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Culture.Biography.Women|855|classification.ores.articletopic/Culture.Media.Media*|946|recommendation.image_section/exists|1","Q485298","tt0164974","The X-Files Game","not exact match",NA,NA
"Robert De Niro","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Biography.Biography*|817|classification.ores.articletopic/Culture.Media.Media*|987|recommendation.image_section/exists|1","Q36949","tt0094226","The Untouchables","not exact match",NA,NA
"Harry Potter (serie di film)","classification.ores.articletopic/Culture.Literature|822|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|975|classification.ores.articletopic/Culture.Media.Books|926|recommendation.image_section/exists|1","Q216930","tt0373889","Harry Potter and the Order of the Phoenix","not exact match",NA,NA
"Stanley Tucci","classification.ores.articletopic/Culture.Media.Films|851|classification.ores.articletopic/Culture.Biography.Biography*|855|classification.ores.articletopic/Culture.Media.Media*|847","Q223117","tt11852724","Stanley Tucci: Searching for Italy","not exact match",NA,NA
"Steven Spielberg","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|983|classification.ores.articletopic/Culture.Biography.Biography*|812","Q8877","tt0114330","AFI Life Achievement Award: A Tribute to Steven Spielberg","not exact match",NA,NA
"Edward Norton","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Geography.Regions.Americas.North_America|554|classification.ores.articletopic/Culture.Biography.Biography*|523","Q125904","tt0307901","25th Hour","not exact match",NA,NA
"Marilyn Monroe","classification.ores.articletopic/Culture.Media.Films|577|classification.ores.articletopic/Culture.Media.Media*|851|classification.ores.articletopic/Culture.Biography.Biography*|855","Q4616","tt0042276","Born Yesterday","not exact match",NA,NA
"Megan Fox","classification.ores.articletopic/Culture.Biography.Biography*|990|classification.ores.articletopic/Culture.Media.Films|803|classification.ores.articletopic/Geography.Regions.Americas.North_America|644|classification.ores.articletopic/Culture.Media.Media*|949|recommendation.image_section/exists|1","Q80069","tt8362844","Legends of the Lost with Megan Fox","not exact match",NA,NA
"Helena Bonham Carter","classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Culture.Biography.Women|835|classification.ores.articletopic/Culture.Media.Films|930|classification.ores.articletopic/Culture.Media.Media*|949","Q170428","tt9431134","Tintoretto. A Rebel in Venice","not exact match",NA,NA
"Steven Seagal","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Culture.Biography.Biography*|938|classification.ores.articletopic/Culture.Media.Films|826","Q82110","tt0110725","On Deadly Ground","not exact match",NA,NA
"Ritorno al futuro (trilogia)","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Media.Films|766","Q91558","tt0162636","The Secrets of the Back to the Future Trilogy","not exact match",NA,NA
"Tom Hardy","classification.ores.articletopic/Culture.Media.Films|960|classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Geography.Regions.Europe.Europe*|500|classification.ores.articletopic/Culture.Biography.Biography*|651|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|515","Q208026","tt1291584","Warrior","not exact match",NA,NA
"Tom Holland (attore)","classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Culture.Media.Films|975|classification.ores.articletopic/Culture.Media.Media*|952|recommendation.image_section/exists|1","Q2023710","tt1649419","The Impossible","not exact match",NA,NA
"Sandra Bullock","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Biography.Biography*|803|classification.ores.articletopic/Culture.Biography.Women|546|classification.ores.articletopic/Culture.Media.Films|987|classification.ores.articletopic/Geography.Regions.Americas.North_America|672|recommendation.image_section/exists|1","Q40791","tt0477302","Extremely Loud & Incredibly Close","not exact match",NA,NA
"Jessica Chastain","classification.ores.articletopic/Culture.Biography.Women|803|classification.ores.articletopic/Geography.Regions.Americas.North_America|546|classification.ores.articletopic/Culture.Biography.Biography*|877|classification.ores.articletopic/Culture.Media.Media*|904|classification.ores.articletopic/Culture.Media.Films|914","Q229313","tt1675192","Take Shelter","not exact match",NA,NA
"Robert Zemeckis","classification.ores.articletopic/Culture.Media.Films|995|classification.ores.articletopic/Geography.Regions.Americas.North_America|679|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Biography.Biography*|531|recommendation.image_section/exists|1","Q187364","tt1907668","Flight","not exact match",NA,NA
"Audrey Hepburn","classification.ores.articletopic/Culture.Biography.Biography*|855|classification.ores.articletopic/Culture.Biography.Women|831|classification.ores.articletopic/Culture.Media.Media*|909|classification.ores.articletopic/Culture.Media.Films|859","Q42786","tt0040639","Dutch in Seven Lessons","not exact match",NA,NA
"Adam Sandler","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Culture.Media.Entertainment|665|classification.ores.articletopic/Culture.Media.Films|972|classification.ores.articletopic/Geography.Regions.Americas.North_America|782|recommendation.image_section/exists|1","Q132952","tt0124198","Very Bad Things","not exact match",NA,NA
"River Phoenix","classification.ores.articletopic/Culture.Biography.Biography*|679|classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Geography.Regions.Americas.North_America|562|classification.ores.articletopic/Culture.Media.Media*|936","Q106514","tt2261871","My Own Private River","not exact match",NA,NA
"Paul Newman","classification.ores.articletopic/Geography.Regions.Americas.North_America|629|classification.ores.articletopic/Culture.Media.Media*|899|classification.ores.articletopic/Culture.Media.Films|835|classification.ores.articletopic/Culture.Biography.Biography*|777","Q41871","tt0065215","Winning","not exact match",NA,NA
"Steve McQueen","classification.ores.articletopic/Culture.Biography.Biography*|912|classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Media.Films|712|classification.ores.articletopic/Culture.Media.Media*|817|recommendation.image_section/exists|1","Q159347","tt0060934","The Sand Pebbles","not exact match",NA,NA
"Paolo Sorrentino","classification.ores.articletopic/Culture.Biography.Biography*|731|classification.ores.articletopic/Geography.Regions.Europe.Europe*|592|classification.ores.articletopic/Culture.Media.Films|948|classification.ores.articletopic/Culture.Media.Media*|946","Q374678","tt2358891","The Great Beauty","not exact match",NA,NA
"Grace Kelly","classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Culture.Biography.Biography*|951|classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Culture.Biography.Women|896","Q3925","tt0076843","The Turning Point","not exact match",NA,NA
"Alessandro Borghi (attore)","classification.ores.articletopic/Culture.Media.Media*|855|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Culture.Media.Films|718","Q21321157","tt3844638","Love Pret-a-porte","not exact match",NA,NA
"Sharon Stone","classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Culture.Media.Films|977|recommendation.image_section/exists|1","Q62975","tt0430912","Basic Instinct 2","not exact match",NA,NA
"Roberto Rossellini","classification.ores.articletopic/Geography.Regions.Europe.Europe*|515|classification.ores.articletopic/Culture.Biography.Biography*|629|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Media.Films|899","Q53003","tt9289168","Le Psychodrame","not exact match",NA,NA
"Amber Heard","classification.ores.articletopic/Culture.Biography.Women|839|classification.ores.articletopic/Geography.Regions.Americas.North_America|718|classification.ores.articletopic/Culture.Media.Media*|952|classification.ores.articletopic/Culture.Biography.Biography*|943|classification.ores.articletopic/Culture.Media.Films|943","Q229166","tt0762138","Syrup","not exact match",NA,NA
"Ewan McGregor","classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Media.Films|966|classification.ores.articletopic/Culture.Biography.Biography*|754|recommendation.image_section/exists|1","Q165518","tt1139328","The Ghost Writer","not exact match",NA,NA
"Alain Delon","classification.ores.articletopic/Culture.Biography.Biography*|808|classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Geography.Regions.Europe.Europe*|743|classification.ores.articletopic/Culture.Media.Films|754|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|731|recommendation.image_section/exists|1","Q106529","tt0338608","Frank Riva","not exact match",NA,NA
"Lindsay Lohan","classification.ores.articletopic/Culture.Biography.Women|835|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Music|615|classification.ores.articletopic/Culture.Biography.Biography*|973|classification.ores.articletopic/Geography.Regions.Americas.North_America|651|classification.ores.articletopic/Culture.Media.Films|904","Q44903","tt5206770","Among the Shadows","not exact match",NA,NA
