"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"David Beckham","classification.ores.articletopic/Geography.Regions.Europe.Europe*|523|classification.ores.articletopic/Culture.Biography.Biography*|600|classification.ores.articletopic/Culture.Sports|993","Q10520","nm0065743","David Beckham","match",NA,NA
"Amanda Lear","classification.ores.articletopic/Culture.Biography.Biography*|928|classification.ores.articletopic/Culture.Media.Media*|870","Q454010","nm0495166","Amanda Lear","match",NA,NA
"Totò","classification.ores.articletopic/Culture.Media.Media*|724|classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Geography.Regions.Europe.Europe*|615|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|629","Q2291","nm0869451","Totò","match",NA,NA
"Barbara Ronchi","classification.ores.articletopic/Culture.Media.Films|787|classification.ores.articletopic/Culture.Biography.Biography*|921","Q61923714","nm4039652","Barbara Ronchi","match",NA,NA
"Clint Eastwood","classification.ores.articletopic/Culture.Biography.Biography*|538|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Media.Films|945","Q43203","nm1765859","Morgan Eastwood","not exact match",NA,NA
"Bella Thorne","classification.ores.articletopic/Culture.Media.Media*|971|classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Culture.Biography.Women|679|classification.ores.articletopic/Culture.Biography.Biography*|960|classification.ores.articletopic/Culture.Media.Music|554|recommendation.image_section/exists|1","Q208117","nm2254074","Bella Thorne","match",NA,NA
"Emily Blunt","classification.ores.articletopic/Culture.Media.Media*|966|classification.ores.articletopic/Culture.Biography.Biography*|737|classification.ores.articletopic/Culture.Biography.Women|600|classification.ores.articletopic/Culture.Media.Films|959","Q193517","nm1289434","Emily Blunt","match",NA,NA
"Joaquin Phoenix","classification.ores.articletopic/Culture.Biography.Biography*|803|classification.ores.articletopic/Culture.Media.Media*|971|classification.ores.articletopic/Culture.Media.Films|957|recommendation.image_section/exists|1","Q185140","nm0001618","Joaquin Phoenix","match",NA,NA
"Margot Robbie","classification.ores.articletopic/Culture.Biography.Women|817|classification.ores.articletopic/Culture.Media.Films|981|classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Culture.Media.Media*|981|recommendation.image_section/exists|1","Q1924847","nm3053338","Margot Robbie","match",NA,NA
"Ilary Blasi","classification.ores.articletopic/Culture.Biography.Biography*|921|classification.ores.articletopic/Culture.Biography.Women|515|classification.ores.articletopic/Culture.Media.Media*|507","Q287186","nm0087717","Ilary Blasi","match",NA,NA
