"title","wikibase_item","Studio"
"Patty Pravo","Q466422","studio = 27 "
"Amanda Lear","Q454010","studio = 19 "
"Vasco Rossi","Q17171","studio = 18 "
"Elodie","Q26978747","studio = 4 "
"Michele Morrone","Q96106282","studio = |album live = }} {{Bio "
"Natalie Imbruglia","Q488353","studio = 6 "
"Lewis Capaldi","Q42315001","studio = 2 "
"One Piece","Q28667972","studio = [[Toei Animation]] "
"Scialpi","Q728630","studio = 14 "
"Victoria Beckham","Q19810","studio = 1 "
"Mal","Q1886591","studio = 23 "
"Taylor Swift","Q26876","studio = 10 "
"ABBA","Q18233","studio = 9 "
"Annalisa (cantante)","Q2850715","studio = 8 }} {{Bio "
"Blink-182","Q482477","studio = 9 "
"Ambra Angiolini","Q437455","studio = 4 "
"Tupac Shakur","Q6107","studio = 12 (7 postumi) "
"Giorgio Napolitano","Q1220","studio = Laurea in giurisprudenza, Dottorato ''honoris causa'' in giurisprudenza ([[Università di Oxford"
"Silvio Berlusconi","Q11860","studio = *Laurea in giurisprudenza *Laurea ''ad honorem'' in ingegneria gestionale "
"Aldo Moro","Q171834","studio = Laurea in giurisprudenza "
"Elly Schlein","Q16975892","studio = [[Laurea]] in [[giurisprudenza]] "
"Morgan (cantante)","Q3862964","studio = 7 "
"Eiffel 65","Q240403","studio = 3 "
"Ivana Spagna","Q265508","studio = 17 "
"Matteo Salvini","Q1055449","studio = Diploma di liceo classico<ref name=""BioMGP""/> "
"Elettra Lamborghini","Q23907342","studio = 2 }} {{Bio "
"Vladimir Putin","Q7747","studio = laurea in giurisprudenza "
"Irama","Q28037234","studio = 4 "
"Iva Zanicchi","Q234771","studio = 33 "
"Mario Biondi (cantante)","Q1376248","studio = 11 "
"Stadio (gruppo musicale)","Q2326007","studio = 15 "
"Michael Jackson","Q2831","studio = 10 <small>(in vita)</small><br />2 <small>(postumi)</small> "
"Jujutsu kaisen - Sorcery Fight","Q55522899","studio = [[MAPPA (azienda)"
"Pino D'Angiò","Q1361747","studio = |album live = "
"Fiordaliso (cantante)","Q445692","studio = 8 (di cui 1 [[Extended play"
"Dua Lipa","Q21914464","studio = 2 "
"Justin Timberlake","Q43432","studio = 11 (6 con gli [['N Sync]]) "
"Lucio Battisti","Q469154","studio = 17 (album esteri non inclusi) <small>([[#Discografia"
"Francesca Michielin","Q439571","studio = 5 "
"Renzo Arbore","Q1312821","studio = |album live = "
"Alessandro Manzoni","Q1064","studio = |alma mater = "
"Mina (cantante)","Q231156","studio = 74 "
"Lady Gaga","Q19848","studio = 7 "
"Fabrizio De André","Q25106","studio = 14 "
"Bella Thorne","Q208117","studio = 1 "
"Stefania Rotolo","Q3972316","studio = |album live = "
"Kanye West","Q15935","studio = 11 "
"Pooh","Q1242174","studio = 31 "
"Jimmy Carter","Q23685","studio = |alma mater = [[United States Naval Academy]] "
"Jared Leto","Q484523","studio = 5 "
"Céline Dion","Q5105","studio = 27 "
"Gerry Scotti","Q363498","studio = Diploma di liceo classico "
"Diana Del Bufalo","Q19403273","studio = }} {{Bio "
"Luciano Ligabue","Q563699","studio = 14 "
"Carmen Russo","Q451650","studio = 3 "
"Måneskin","Q56884561","studio = 3 "
"Gianluca Grignani","Q304229","studio = 10 "
"Malika Ayane","Q3843927","studio = 6 "
"Moana Pozzi","Q242219","studio = |religione = [[Cattolicesimo]] "
"Davide Petrella","Q106582363","studio = 2 "
"Adriano Celentano","Q199943","studio = 27 "
"Elvis Presley","Q303","studio = 23 "
"Carles Puigdemont","Q4740163","studio = Diploma di [[Istruzione in Spagna#La scuola superiore"
"Romina Power","Q236135","studio = 18 (4 da solista, 14 in coppia con Al Bano) "
"Richard Harris","Q106775","studio = 16 "
"Tiziano Ferro","Q492029","studio = 8 "
"Cristiano Malgioglio","Q3697462","studio = 29 "
"Lorella Cuccarini","Q521541","studio = 4 "
"LP (cantante)","Q6456303","studio = 6 }} {{Bio "
"Selena Gomez","Q83287","studio = 3 "
"Patti Smith","Q557","studio = 11 "
"Pablo Escobar","Q187447","studio = |alma mater = "
"Niccolò Machiavelli","Q1399","studio = formazione umanistica "
"Carlo Calenda","Q12467437","studio = Laurea in giurisprudenza "
"I Simpson","Q886","studio = [[Gracie Films]] "
"The Rolling Stones","Q11036","studio = 36 "
"Scarlett Johansson","Q34436","studio = 2 "
"The Ronettes","Q530886","studio = |raccolte = }} '''The Ronettes''' sono state un ''[[girl group]]'' statunitense di genere [[musica leggera"
"Donald Trump","Q22686","studio = Laurea in economia<ref>{{Treccani"
"Che Guevara","Q5809","studio = laurea in medicina "
"Eminem","Q5608","studio = 14<ref>11 da solista, 2 con i [[D12 (gruppo musicale)"
"Gabriele D'Annunzio","Q193236","studio = Diploma di [[maturità classica]], Laurea in [[letteratura"
"Duncan James","Q312450","studio = 1 "
"Asia Argento","Q232052","studio = 2 "
"L'attacco dei giganti","Q586025","studio = [[Wit Studio]] "
"Ryan Gosling","Q193815","studio = |album live = "
"Zendaya","Q189489","studio = 1 "
"Freddie Mercury","Q15869","studio = 17 <small>(2 da solista, 1 postumo)</small> "
"Jaden Smith","Q221364","studio = 2 }} {{Bio "
"Britney Spears","Q11975","studio = 9 "
"Jo Squillo","Q3808524","studio = 7 "
"Brigitte Bardot","Q36268","studio = 5 "
"Brie Larson","Q29328","studio = 1 }} {{Bio "
"Mahmūd Abbās","Q127998","studio = |professione = "
"Spice Girls","Q55641","studio = 3 "
"David Bowie","Q5383","studio = 27 "
"Stefano Bollani","Q1375738","studio = 31 "
"Nunzia De Girolamo","Q3879474","studio = Laurea in giurisprudenza "
"Pink Floyd","Q2306","studio = 15 "
"Avicii","Q505476","studio = 3 "
"Jennifer Lopez","Q40715","studio = 8 "
"Christian De Sica","Q554787","studio = 4 "
"Roberto Vecchioni","Q2248723","studio = 27 "
"The Beatles","Q1299","studio = 13 "
"Harry Styles","Q3626966","studio = 3 "
"Giulio Andreotti","Q50005","studio = Laurea in giurisprudenza "
"Nek","Q45036","studio = 16 "
"Fiorello","Q982694","studio = 8 "
"Lee Ryan","Q252469","studio = 2 "
"Marco Mengoni","Q737866","studio = 8 "
"Howard Jones (musicista 1955)","Q712820","studio = 9 "
"Bud Spencer","Q221074","studio = 1 }} === Album in studio === * 2016 – ''[[Futtetenne (Bud Spencer)"
"Sade Adu","Q194187","studio = |album live = "
"Massimo Ranieri","Q467069","studio = 23 "
"Benjamin Netanyahu","Q43723","studio = [[Bachelor of Science]]<br />[[Master of Science]]<br />Dottorato in [[Scienze politiche]] "
"Shel Shapiro","Q3959331","studio = |album live = "
"Franco Battiato","Q25147","studio = 30 "
"Janis Joplin","Q1514","studio = 4 "
"Beyoncé","Q36153","studio = 7 "
"John Travolta","Q80938","studio = |album live = "
"Claudio Baglioni","Q560126","studio = 17 "
"Vladimir Luxuria","Q258305","studio = [[Laurea]] in lingue e letterature straniere "
"Marisa Sannia","Q440105","studio = 7 "
"Marilyn Monroe","Q4616","studio = 4 (di cui 2 postumi) "
"Lucio Dalla","Q167546","studio = 23 (1 EP) "
"Nina Simone","Q174957","studio = |album live = "
"Whitney Houston","Q34389","studio = 7 "
"Fabri Fibra","Q1390708","studio = 10 "
"Michelle Hunziker","Q120342","studio = 1 }} {{Modella "
"Raffaella Carrà","Q266640","studio = 34 "
"Kurt Cobain","Q8446","studio = 4 "
"Mietta","Q32529","studio = 10 "
"Cher","Q12003","studio = 28 "
"Paul McCartney","Q2599","studio = 37 "
"Madonna (cantante)","Q1744","studio = 14 "
"Iosif Stalin","Q855","studio = |professione = [[Giornalista]]<br/>[[Insegnante]] di Partito<br/>[[Politico]] "
"Will Smith","Q40096","studio = 4 "
"Miraculous - Le storie di Ladybug e Chat Noir","Q6470744","studio = [[Zagtoon]] "
"Demon Slayer - Kimetsu no yaiba","Q24862683","studio = [[Ufotable]] "
"U2","Q396","studio = 15 "
"Domenico Modugno","Q201392","studio = 26 "
"Pippo Franco","Q1725191","studio = 7 "
"Checco Zalone","Q3666978","studio = 4 "
"Rita Levi-Montalcini","Q185007","studio = [[Laurea]] in [[Medicina]] e [[Chirurgia]] "
"Berserk (manga)","Q18558978","studio = [[Oriental Light and Magic]] "
"Renato Zero","Q978509","studio = 34 "
"Nadia Cassini","Q461354","studio = 3 }} {{Bio "
"Travis Barker","Q220140","studio = 14 <small>(6 con i blink-182, 3 con i Transplants, 1 da solista, 1 con i Box Car Racer, 1 con i +44, 1 con gli Aquabats, 1 con i Goldfinger)</small> "
"Emmy Rossum","Q35912","studio = 2 "
"Guè","Q3778496","studio = 9 "
"Gigi Proietti","Q697188","studio = |album live = "
"Emma Marrone","Q442697","studio = 7 "
"Amy Winehouse","Q15897","studio = 3 "
"Katy Perry","Q42493","studio = 6 "
"Vittorio Sgarbi","Q2426702","studio = Laurea in filosofia "
"Kool & the Gang","Q850290","studio = 24 "
"Olivia Rodrigo","Q63243883","studio = 2 "
"Sfera Ebbasta","Q27683931","studio = 4 "
"Castlevania (serie animata)","Q30610085","studio = [[Frederator Studios]] "
"Barack Obama","Q76","studio = [[Bachelor of Arts]]<br />[[Juris Doctor]] "
"Michael Pitt","Q352540","studio = 2 "
"John Lennon","Q1203","studio = 11 "
"Romano Prodi","Q38484","studio = Laurea in giurisprudenza "
"Miley Cyrus","Q4235","studio = 8 "
"Riccardo Fogli","Q1236257","studio = 22 "
"Leighton Meester","Q199931","studio = 2 }} {{Bio "
"Alan Sorrenti","Q1370043","studio = 12 "
"Telly Savalas","Q209471","studio = 6 "
"Donna Summer","Q908933","studio = 17 "
"Madame (cantante)","Q99535403","studio = 2 "
"Rino Gaetano","Q469078","studio = 6 "
"Eddie Murphy","Q43874","studio = 3 "
"Diodato (cantante)","Q17389092","studio = 5 }} {{Bio "
"Franco Califano","Q1054391","studio = 24 "
"Amedeo Minghi","Q460631","studio = 17 "
"Al Bano","Q263621","studio = 37<ref>(21 da solista, 14 in coppia con Romina Power, 2 in coppia con Massimo Ferrarese)</ref> "
"Naruto","Q26971382","studio = [[Pierrot (azienda)"
"Fausto Leali","Q323127","studio = 19 "
"Jamie Foxx","Q171905","studio = 5 "
"Ursula von der Leyen","Q60772","studio = Laurea in medicina e chirurgia "
"Ivan Graziani","Q2755051","studio = 16 "
"Pino Daniele","Q736851","studio = 24 "
"Laura Pausini","Q170697","studio = 12 "
"Elton John","Q2808","studio = 34 "
"Afrojack","Q349041","studio = 1 "
"AC/DC","Q27593","studio = 17 "
"Bob Dylan","Q392","studio = 40 "
"Mick Jagger","Q128121","studio = 40<ref>35 con i [[The Rolling Stones"
"Antony Costa","Q552748","studio = 1 "
"Julie Andrews","Q161819","studio = 32 "
"Mia Martini","Q237446","studio = 18 "
"Drake (rapper)","Q33240","studio = 8 "
"Max Pezzali","Q744019","studio = 6 (883) + 5 (solista) "
"Tom DeLonge","Q4270","studio = 11 "
"Luciano Pavarotti","Q37615","studio = ''[[#Discografia parziale"
"Ronald Reagan","Q9960","studio = Laurea in economia e sociologia "
"Gigi D'Alessio","Q585972","studio = 19 "
"Queen","Q15862","studio = 15 "
"Agnetha Fältskog","Q173144","studio = 11 "
"Jim Morrison","Q44301","studio = 6 "
"Arisa","Q445698","studio = 7 "
"Tananai","Q110162378","studio = 2 }} {{Bio "
"Frank Sinatra","Q40912","studio = 59 "
"The Notorious B.I.G.","Q179157","studio = 5 (1 con i Junior M.A.F.I.A.) "
"Gala (cantante)","Q236237","studio = 1 "
"Giuni Russo","Q669464","studio = 10 "
"Jovanotti","Q505455","studio = 20 (4 EP) "
"Rishi Sunak","Q20055561","studio = [[Master in Business Administration]] in [[amministrazione aziendale]] "
"Massimo Boldi","Q435210","studio = |album live = "
"Luigi Di Maio","Q13581225","studio = Diploma di liceo classico "
"Bing (serie animata)","Q18786502","studio = Acamar Films, Brown Bag Films, Tandem Films, Digitales Studios "
"Tommaso Paradiso","Q30554515","studio = 2 "
"Eduardo De Filippo","Q332632","studio = *Laurea ''honoris causa'' in lettere, [[Università di Birmingham]], 1977 *Laurea ''honoris causa'' in lettere, [[Sapienza - Università di Roma"
"Toto Cutugno","Q487473","studio = 18 (1 con gli [[Albatros (gruppo musicale)"
"Christopher Lee","Q180338","studio = 7 "
"Led Zeppelin","Q2331","studio = 9 "
"Bleach (manga)","Q904","studio = [[Pierrot (azienda)"
"Naike Rivelli","Q467739","studio = 1 "
"Giorgio Faletti","Q1130939","studio = 9 "
"Ed Sheeran","Q47447","studio = 9 "
"Metallica","Q15920","studio = 12 "
"Guido Elmi","Q3779273","studio = 1 "
"Dragon Ball Super","Q19839121","studio = [[Toei Animation]] "
"Sangiovanni (cantante)","Q107066810","studio = 1 }} {{Bio "
"Volodymyr Zelens'kyj","Q3874799","studio = Laurea in [[giurisprudenza]] "
"Simon Webbe","Q348944","studio = 3 "
"Hunter × Hunter","Q696071","studio = [[Pierrot (azienda)"
"Irene Cara","Q234169","studio = 5 }} {{Bio "
"Reinhold Messner","Q189307","studio = diploma di geometra "
"Futurama","Q73622","studio = [[The Curiosity Company]] "
"Ben 10","Q207746","studio = [[Cartoon Network Studios]] "
"Damian Lillard","Q622308","studio = 3 "
"Star Wars Rebels","Q28787","studio = [[Lucasfilm Animation]] "
"Lady Oscar","Q699631","studio = [[Tokyo Movie Shinsha]] "
"Zucchero Fornaciari","Q125948","studio = 15 "
"Mario Draghi","Q294460","studio = *Laurea in economia *Dottorato di ricerca in economia "
"Joe Bastianich","Q3808635","studio = 2 }} {{Bio "
"Ornella Vanoni","Q239002","studio = 47 "
"Gigi Sabani","Q374402","studio = 1 }} {{Bio "
"Ariana Grande","Q151892","studio = 6 "
"George W. Bush","Q207","studio = [[Bachelor of Arts]]<br />[[Master of Business Administration]] "
"Pierangelo Bertoli","Q3902983","studio = 19 "
"The Weeknd","Q2121062","studio = 5 "
"Viola Valentino","Q4013793","studio = 12 "
"Roby Facchinetti","Q3939348","studio = 6 "
"99 Posse","Q1648202","studio = 10 "
"Chainsaw Man","Q65240543","studio = [[MAPPA (azienda)"
"Ricchi e Poveri","Q541385","studio = 20 "
"PAW Patrol","Q15106029","studio = [[Nelvana]] "
"Enzo Tortora","Q3726658","studio = [[Laurea]] in [[giurisprudenza]] "
