"title","wikibase_item","Distributor"
"ヤング・シェルドン","Q30014613","distributor = ワーナー・ブラザース・テレビジョン・ディストリビューション "
"アソーカ (テレビドラマ)","Q104153367","distributor = ディズニー・メディア・ディストリビューション "
"ウォーキング・デッド (テレビドラマ)","Q232737","distributor = [[AMC (テレビ局)"
"グッド・ドクター 名医の条件","Q29908604","distributor = {{plain list"
"愛の不時着","Q65258113","distributor = {{ubl"
"THE BLACKLIST/ブラックリスト","Q13148212","distributor = | country = {{USA}} "
"ゲーム・オブ・スローンズ","Q23572","distributor = [[ワーナー・ブラザース・テレビジョン]] "
"ウェンズデー (テレビドラマ)","Q105553568","distributor = {{Plainlist"
"ロキ (テレビドラマ)","Q64349029","distributor = ディズニー・メディア・ディストリビューション "
"マンダロリアン (テレビドラマ)","Q56876444","distributor = ディズニー・メディア・ディストリビューション "
"Ghost of Tsushima","Q42564798","distributor = ソニー・インタラクティブエンタテインメント "
"ダイ・ハード","Q105598","distributor = [[20世紀フォックス]] "
"Lupin/ルパン","Q104082429","distributor = [[Netflix]] "
"フィアー・ザ・ウォーキング・デッド","Q18844725","distributor = | channel = [[AMC (テレビ局)"
"ザ・シンプソンズ","Q886","distributor = [[20世紀スタジオ"
"浪漫ドクター キム・サブ","Q27067918","distributor = [[SBS (韓国)"
"スパイダーマン:ファー・フロム・ホーム","Q27985819","distributor = {{flagicon"
"ザ・ルーキー 40歳の新米ポリス!?","Q48744320","distributor = {{plain list"
"サンダーバード (テレビ番組)","Q288085","distributor = ITCエンターテインメント "
"THE FLASH/フラッシュ","Q15711398","distributor = [[ワーナー・ブラザース・テレビジョン]] "
"S.W.A.T. (テレビドラマ)","Q30005220","distributor = |country = {{USA}} "
"アメリカズ・ゴット・タレント","Q467561","distributor = [[フリーマントルメディア"
"社内お見合い","Q108486931","distributor = {{ubl"
"シカゴ・ファイア","Q1187416","distributor = [[NBCユニバーサル・テレビジョン・ディストリビューション]] "
"シカゴ P.D.","Q13218686","distributor = [[NBCユニバーサル・テレビジョン・ディストリビューション]] "
"ハンニバル (テレビドラマ)","Q888841","distributor = [[ソニー・ピクチャーズ テレビジョン]] "
"Glee/グリー","Q152178","distributor = [[20世紀フォックス]] "
"スペースインベーダー","Q220665","distributor = | producer = "
"ワンス・アポン・ア・タイム (テレビドラマ)","Q23673","distributor = [[ウォルト・ディズニー・カンパニー#ABC"
"THE LAST OF US (テレビドラマ)","Q87131973","distributor = [[ワーナー・ブラザース・テレビジョン]] "
"FBI: 特別捜査班","Q42301907","distributor = {{plain list"
"サバイバー: 宿命の大統領","Q22662417","distributor = [[アメリカン・ブロードキャスティング・カンパニー"
"エミリー、パリへ行く","Q64584978","distributor = [[Netflix"
"ウィッチャー (テレビドラマ)","Q47500433","distributor = Netflix "
"バーン・ノーティス 元スパイの逆襲","Q682825","distributor = |network = [[USAネットワーク]] "
"ホステル (映画)","Q842720","distributor = {{Plainlist"
"アリー my Love","Q244803","distributor = [[20th テレビジョン]] "
"スタートレック:ディスカバリー","Q21296543","distributor = CBS Television Distribution "
"高い城の男 (テレビドラマ)","Q18844750","distributor = [[Amazon.com]] "
"アナベル 死霊館の人形","Q15733440","distributor = [[ワーナー・ブラザース]] "
"ハウス・オブ・ザ・ドラゴン","Q72930269","distributor = [[ワーナー・ブラザース・テレビジョン]] "
"ウエストワールド (テレビドラマ)","Q17572811","distributor = Warner Bros. Television Distribution "
"ハウス・オブ・カード 野望の階段","Q3330940","distributor = [[Netflix]](配信)<br />[[ソニー・ピクチャーズ テレビジョン]](物理メディア) "
"ブルーイ","Q39071378","distributor = [[:en:BBC Studioworks"
"シャークネード","Q13794921","distributor = [[アサイラム (映画会社)"
"ムーンライト (映画)","Q21527875","distributor = {{USA}}：A24<br />{{JPN}}：[[ファントム・フィルム]] "
"アウトランダー (テレビドラマ)","Q15072906","distributor = | country = {{USA}} & {{GBR}} "
"イエローストーン (テレビドラマ)","Q47452423","distributor = Paramount Global Distribution Group "
"アンダー・ザ・ドーム (テレビドラマ)","Q2947967","distributor = | channel = [[CBS]] "
"スーパーサイズ・ミー","Q738662","distributor = Samuel Goldwyn Films<br />Roadside Attractions<br />{{flagicon"
"NCIS: ニューオーリンズ","Q16802335","distributor = |country = {{USA}} "
"ARROW/アロー","Q552314","distributor = [[ワーナー・ブラザース・テレビジョン]] "
"GOTHAM/ゴッサム","Q15726959","distributor = [[ワーナー・ブラザース・テレビジョン"
"ファイブ・ナイツ・アット・フレディーズ (映画)","Q21512706","distributor = {{Flagicon"
"グッド・ファイト","Q28052823","distributor = {{仮リンク"
"オビ＝ワン・ケノービ (テレビドラマ)","Q104154217","distributor = | ヘッダ1 = 配信 "
"スクリーム (1996年の映画)","Q27411","distributor = {{flagicon"
"シカゴ・メッド","Q19848860","distributor = [[NBCユニバーサル・テレビジョン・ディストリビューション]] "
"BLOOD THE LAST VAMPIRE","Q885189","distributor = | producer = {{Plainlist"
"僕のヤバイ妻","Q106989752","distributor = {{仮リンク"
"スウィーニー・トッド フリート街の悪魔の理髪師","Q212041","distributor = {{flagicon"
"ハンドレッド (テレビドラマ)","Q13098946","distributor = Warner Bros. Television Distribution "
"裏窓","Q34414","distributor = | channel = {{USA}} [[アメリカン・ブロードキャスティング・カンパニー"
"ミス・ペレグリンと奇妙なこどもたち (映画)","Q19321019","distributor = 20世紀フォックス<ref name=""eiren-boxoffice"">{{映連興行収入"
"ワンダヴィジョン","Q65980217","distributor = ディズニー・メディア・ディストリビューション "
"新スタートレック","Q16290","distributor = [[CBSテレビジョン・ディストリビューション]]（2007年以降） "
"13日の金曜日 (1980年の映画)","Q1243029","distributor = {{plainlist"
"ハズビン・ホテル","Q75020770","distributor = | budget = "
"ブルックリン・ナイン-ナイン","Q13417244","distributor = NBCUniversal Television Distribution "
"アンブレラ・アカデミー","Q44535025","distributor = [[Netflix]]<br>NBCユニバーサル・テレビジョン・ディストリビューション "
"ピースメイカー (テレビドラマ)","Q101089777","distributor = [[HBO Max"
"スクリームシリーズ","Q388659","distributor = {{Plainlist"
"ムーンナイト (テレビドラマ)","Q84712802","distributor = [[ディズニー・メディア・ディストリビューション]] "
"エレメンタリー ホームズ&ワトソン in NY","Q247643","distributor = |channel = [[CBS]] "
"ボバ・フェット/The Book of Boba Fett","Q104396610","distributor = {{仮リンク"
"僕を溶かしてくれ","Q65239752","distributor = [[tvN]] "
"ペット (映画)","Q18844656","distributor = {{Flagicon"
"スタートレック:ヴォイジャー","Q156329","distributor = [[CBSテレビジョン・ディストリビューション]] "
"ブロードチャーチ〜殺意の町〜","Q4972159","distributor = | network = ITV "
