"title","wikibase_item","CompanyID","QID.imdb"
"ナタリー・ポートマン","Q37876","co0224040",NA
"沈黙 (遠藤周作)","Q3960523","co0017712",NA
"新東宝","Q3959532","co0038715",NA
"ロボテック","Q1023459","co0129244",NA
"クリエイティヴ・アーティスツ・エージェンシー","Q3002407","co0002521",NA
"東映京都撮影所","Q11527253","co0119318",NA
"東横映画","Q11527435","co0199200",NA
"海保エミリ","Q11558750","co0285615",NA
"東京映画","Q11524902","co0024556",NA
"ソニー・ピクチャーズ・イメージワークス","Q1783801","co0042679",NA
"フランコ・クリスタルディ","Q2713078","co0033761",NA
"太泉映画","Q11444042","co0134314",NA
"日本電波映画","Q11509383","co0072523",NA
"ディズニー・キャラクター・ボイス・インターナショナル","Q5282435","co0393823",NA
"横田商会","Q6135635","co0187091",NA
"東京映画配給","Q11524907","co0124399",NA
"芸苑社","Q17216847","co0088142",NA
"ムービング・ピクチャー・カンパニー","Q3866664","co0016492",NA
"フレームストア","Q1165638","co0014175",NA
"片岡千恵蔵プロダクション","Q11569690","co0086350",NA
"ゴールドウィン・ピクチャーズ","Q179922","co0073678",NA
"国際活映","Q11422498","co0087524",NA
"ソニマージュ","Q11315167","co0050747",NA
"共同映画","Q11392650","co0088951",NA
"20世紀ピクチャーズ","Q14920514","co0067247",NA
"小林商会","Q3198113","co0143164",NA
"入江ぷろだくしょん","Q11388932","co0127861",NA
"東京発声映画製作所","Q11525045","co0127523",NA
"アニマル・ロジック","Q547341","co0005154",NA
"全ロシア映画大学","Q1130457","co0016875",NA
"ブルーバード映画","Q11334953","co0048238",NA
"松竹キネマ研究所","Q11532181","co0007001",NA
"アマゾン (映像製作)","Q11284842","co0176761",NA
"牧野教育映画製作所","Q11570565","co0141394",NA
"東日興業","Q11527218","co0088812",NA
"ラテルナ","Q11347138","co0132512",NA
"スキャンラインVFX","Q7430045","co0060787",NA
"ブラー・スタジオ","Q921556","co0064973",NA
"テレヴィジオン・スイス・ロマンド","Q115895","co0079204",NA
"岩岡巽","Q11474406","co0225806",NA
"日本マンガフィルム研究所","Q11506958","co0130047",NA
"東京映画撮影所","Q11524904","co0024556",NA
"ピクソモンド","Q1570390","co0387842",NA
"大宝 (企業)","Q17225044","co0004458",NA
"アラン・サルド","Q712827","co0022244",NA
"チェッキ・ゴーリ・グループ","Q3664077","co0092991",NA
"東邦映画製作所","Q11528448","co0206013",NA
"Crypt TV","Q55608616","co0524024",NA
"イメージエンジン","Q8538","co0069055",NA
"日本電波映画撮影所","Q11509384","co0072523",NA
"タカマツ・アズマプロダクション","Q11315966","co0221991",NA
"レ・フィルム・デュ・ローザンジュ","Q605307","co0052216",NA
"ベルヴィジョン・スタジオ","Q2509498","co0001977",NA
"東活映画社","Q11527722","co0143186",NA
"アヌーシュカ・フィルム","Q11284445","co0128426",NA
"マンデート・ピクチャーズ","Q5368270","co0142446",NA
"M・カシー商会","Q11234127","co0087546",NA
"ティペット・スタジオ","Q8334","co0044098",NA
"不二映画社","Q11361549","co0156092",NA
"シネサイト","Q5120891","co0089996",NA
"タイタン・メディア","Q1611025","co0106975",NA
"サミュエル・ゴールドウィン・スタジオ","Q3471130","co0016710",NA
"コミック・ストリップのシンジケート配信","Q48995646","co0012604",NA
"ウィングナット・フィルムズ","Q3569323","co0046203",NA
"映画芸術協会","Q2867339","co0147393",NA
"JLGフィルム","Q11225862","co0045207",NA
"レ・フィルム・デュ・キャロッス","Q3232649","co0106723",NA
"安樂影片","Q7243087","co0010281",NA
"エトナ映画社","Q11290308","co0228273",NA
"ファンダメンタル・フィルムズ","Q24905052","co0269133",NA
"太秦発声映画","Q17194136","co0131230",NA
"イレブンアーツ・ジャパン","Q17193650","co0388539",NA
"キャピトル・フィルムズ","Q5035871","co0060324",NA
"シルヴィオ・クレメンテッリ","Q3960852","co0007333",NA
"SSD (映画会社)","Q11244360","co0238818",NA
"フィリップ・デュサール","Q3379794","co0052572",NA
"赤沢映画","Q11635766","co0171728",NA
"トライアングル・フィルム・コーポレーション","Q24679","co0046754",NA
"シネマテーク・スイス","Q688143","co0045263",NA
"勝見庸太郎プロダクション","Q11400486","co0228264",NA
"新映画 (企業)","Q11502474","co0138016",NA
"マドレーヌ・フィルム","Q3275643","co0031419",NA
"プレミアム・ピクチャー・プロダクションズ","Q7240467","co0034072",NA
"マクシマ・フィルム","Q11339986","co0029582",NA
"シネマ・アーチスト・コーポレーション","Q11307437","co0009976",NA
"エンターテインメントパートナーズアジア","Q11291395","co0210737",NA
"アンナ・マリア・クレメンテッリ","Q11285373","co0007333",NA
"アッヴェントゥーラ・フィルム","Q11283902","co0022201",NA
"協立映画プロダクション","Q11407258","co0106944",NA
