"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"野獣死すべし (1980年の映画)","classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Culture.Media.Media*|957|classification.ores.articletopic/Geography.Regions.Asia.Asia*|835|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|847","Q11645870","tt0314913","The Beast to Die","not exact match",NA,NA
"前原滉","classification.ores.articletopic/Culture.Biography.Biography*|658|classification.ores.articletopic/Culture.Media.Media*|771|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|782|classification.ores.articletopic/Culture.Media.Films|515|classification.ores.articletopic/Geography.Regions.Asia.Asia*|749","Q28067918","tt15289042","First Love","not exact match",NA,NA
"スター・ウォーズシリーズ","classification.ores.articletopic/Culture.Media.Films|980|classification.ores.articletopic/Culture.Media.Media*|996|recommendation.image_section/exists|1","Q462","tt0076759","Star Wars: Episode IV - A New Hope","not exact match",NA,NA
"ドニー・イェン","classification.ores.articletopic/Culture.Media.Media*|896|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|980|classification.ores.articletopic/Geography.Regions.Asia.Asia*|955|classification.ores.articletopic/Culture.Biography.Biography*|644|classification.ores.articletopic/Culture.Media.Films|718","Q311723","tt2888046","Ip Man 3","not exact match",NA,NA
"柄本明","classification.ores.articletopic/Geography.Regions.Asia.Asia*|919|classification.ores.articletopic/Culture.Media.Films|731|classification.ores.articletopic/Culture.Biography.Biography*|679|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|945|classification.ores.articletopic/Culture.Media.Media*|826","Q873921","tt6993614","Umami","not exact match",NA,NA
"エマ・ワトソン","classification.ores.articletopic/Culture.Biography.Biography*|880|classification.ores.articletopic/Culture.Biography.Women|782|classification.ores.articletopic/Culture.Literature|766|classification.ores.articletopic/Culture.Media.Films|851|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Culture.Media.Books|554|recommendation.image_section/exists|1","Q39476","tt3281548","Little Women","not exact match",NA,NA
"田宮二郎","classification.ores.articletopic/Culture.Media.Media*|766|classification.ores.articletopic/Geography.Regions.Asia.Asia*|890|classification.ores.articletopic/Culture.Biography.Biography*|826|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|917|classification.ores.articletopic/Culture.Media.Films|507","Q11576494","tt0598110","Odd Man In","not exact match",NA,NA
"黒澤明","classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Culture.Media.Films|907|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|651|classification.ores.articletopic/Geography.Regions.Asia.Asia*|585|classification.ores.articletopic/Culture.Biography.Biography*|622","Q8006","tt0211909","Kurosawa: The Last Emperor","not exact match",NA,NA
"魔女の宅急便","classification.ores.articletopic/Culture.Media.Media*|851|classification.ores.articletopic/Geography.Regions.Asia.Asia*|679|classification.ores.articletopic/Culture.Media.Films|658|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|607|recommendation.image/exists|1","Q1768944","tt2865558","Kiki's Delivery Service","not exact match",NA,NA
"長塚京三","classification.ores.articletopic/Geography.Regions.Asia.Asia*|907|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|930|classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Biography.Biography*|877|classification.ores.articletopic/Culture.Media.Media*|817","Q2028537","tt6993614","Umami","not exact match",NA,NA
