"title","wikibase_item","Studio"
"スパイダーマン:ファー・フロム・ホーム","Q27985819","studio = [[コロンビア ピクチャーズ]]<br />[[マーベル・スタジオ]]<br />パスカル・ピクチャーズ "
"女神降臨 (テレビドラマ)","Q65272745","studio = | venue = "
"アナベル 死霊館の人形","Q15733440","studio = [[ニュー・ライン・シネマ]]<br>アトミック・モンスター<br />ザ・サフラン・カンパニー "
"ムーンライト (映画)","Q21527875","studio = {{Plainlist"
"スーパーサイズ・ミー","Q738662","studio = The Con "
"ファイブ・ナイツ・アット・フレディーズ (映画)","Q21512706","studio = [[ブラムハウス・プロダクションズ]]<br />ストライカー・エンターテインメント "
"スクリーム (1996年の映画)","Q27411","studio = ウッズ・エンタテインメント<ref name=afi>{{cite web"
"13日の金曜日 (1980年の映画)","Q1243029","studio = ジョージタウン・プロダクションズ{{sfn"
"スクリームシリーズ","Q388659","studio = {{Plainlist"
"パウ・パトロール ザ・マイティ・ムービー","Q111918018","studio = [[ニコロデオン・ムービーズ]]<br />[[スピンマスター"
"ペット (映画)","Q18844656","studio = [[イルミネーション・エンターテインメント]] "
"パウ・パトロール ザ・ムービー","Q97609238","studio = [[ニコロデオン・ムービーズ]]<br />[[スピンマスター"
"テトリス (映画)","Q104044312","studio = {{Plainlist"
"エルカミーノ: ブレイキング・バッド THE MOVIE","Q61741521","studio = {{ubl"
"スクリーム4: ネクスト・ジェネレーション","Q323392","studio = {{plainlist"
"朝やけの詩","Q7335858","studio = {{plainlist"
"マンマ・ミーア! ヒア・ウィー・ゴー","Q36951175","studio = {{仮リンク"
"ムービー43","Q548978","studio = [[レラティビティ・メディア]]<br />[[:w:Virgin Produced"
"風に濡れた女","Q28868415","studio = [[日活]] "
"個人教授 (映画)","Q10989262","studio = フランシス・フィルム<br>マニック・フィルムズ<br>CICC "
"ニモーナ","Q111165179","studio = [[アンナプルナ・ピクチャーズ]] "
"レッド・ノーズ・デイ・アクチュアリー","Q29959709","studio = <!-- or: "
"股旅 (映画)","Q16946634","studio = [[日本アート・シアター・ギルド"
"ブランディ・ラヴ","Q4355600","studio = | associatedact = "
"ブルックリン (映画)","Q16954098","studio = [[英国映画協会"
"ダンジョン&ドラゴン (映画)","Q1265779","studio = [[シルバー・ピクチャーズ]] "
"サンダーバード55/GoGo","Q109598892","studio = | distributor = {{ubl"
"さらば箱舟","Q5435060","studio = [[日本アート・シアター・ギルド"
"スカイ・ハイ (1975年の映画)","Q7750035","studio = {{plainlist"
"マイリトルポニー: 新しい世界","Q105747750","studio = [[エンターテインメント・ワン]]<br>[[ボルダー・メディア]] "
"ジンジャー・リン","Q233596","studio = | associatedact = "
"ピッチ・パーフェクト2","Q16619265","studio = Gold Circle Films "
"帰らざる日々 (映画)","Q6346007","studio = [[日活]]{{Sfn"
"オペラの怪人 (1925年の映画)","Q927919","studio = ジュエル・プロダクションズ "
"ペット・セメタリー2","Q1079636","studio = コロンバス・サークル・フィルム "
"ストーミー・ダニエルズ","Q233240","studio = | associatedact = "
"エクスティンクション 地球奪還","Q33025803","studio = {{Plainlist"
"ニュージーズ","Q1056698","studio = [[ウォルト・ディズニー・ピクチャーズ]] "
"パレードへようこそ","Q16937096","studio = {{unbulleted list"
"ウホッホ探険隊","Q5915527","studio = [[ディレクターズ・カンパニー]]<br>ニュー・センチュリー・プロデューサーズ(NCP)<br>[[日本テレビ放送網]] "
"非行少女 (1963年の映画)","Q4840284","studio = [[日活]]{{Sfn"
"ざくろの色","Q2235380","studio = [[:en:Armenfilm"
"マニュエル・フェラーラ","Q715159","studio = | associatedact = "
"浪華悲歌","Q3205300","studio = 第一映画社（[[第一映画嵯峨野撮影所]]）{{Sfn"
"テラ・パトリック","Q30628","studio = | associatedact = "
"あまくない砂糖の話","Q21095965","studio = Madman Entertainment "
"パーティで女の子に話しかけるには","Q16386142","studio = {{Plainlist"
"さらば夏の光よ","Q109357735","studio = [[松竹]]{{Sfn"
"マッドハウス (映画)","Q3842359","studio = {{仮リンク"
"デュアル (映画)","Q100724914","studio = {{ill"
"トロール (2022年の映画)","Q113488508","studio = | distributor = [[Netflix]] "
"Tokio Jokio","Q3890778","studio = | distributor = [[ワーナー・ブラザース]]<br />[[ヴァイタフォン"
"鑓の権三","Q1537296","studio = [[松竹]]{{Sfn"
"里見八犬伝 (1954年の映画)","Q7563352","studio = [[東映]]（[[東映京都撮影所]]）{{Sfn"
"スウィート17モンスター","Q21925075","studio = {{plain list"
"地の群れ (映画)","Q4779158","studio = えるふプロダクション{{Sfn"
"プロジェクトX (映画)","Q249215","studio = {{Plainlist"
"オペラの怪人 (1943年の映画)","Q1435221","studio = [[ユニバーサル・ピクチャーズ]] "
"ニューローズホテル (映画)","Q976048","studio = Rose Releasing "
"無頼漢 (映画)","Q2928298","studio = [[東宝]]{{Sfn"
"アニーよ銃をとれ (映画)","Q1263921","studio = [[メトロ・ゴールドウィン・メイヤー"
"アルテミスと妖精の身代金","Q12302227","studio = [[ウォルト・ディズニー・ピクチャーズ]]<br />{{仮リンク"
"ベーゼ・モア","Q803974","studio = Pan-Européenne<br />Canal+<br />Take One<br />Wild Bunch "
"ねこあつめの家","Q28687278","studio = [[メディアンド]] "
"ロンドン、人生はじめます","Q29913451","studio = [[:en:Ecosse Films"
"タブー・セックス/恥辱","Q25409878","studio = | distributor = "
"充たされた生活","Q6880773","studio = [[文芸プロダクションにんじんくらぶ]]{{Sfn"
"婉という女 (映画)","Q120334965","studio = ほるぷ映画{{Sfn"
"女中ッ子 (映画)","Q116794471","studio = [[日活]]{{Sfn"
"アメリカン・パイパイ ようこそ美乳天国へ","Q2005986","studio = Persistent Entertainment "
"雁 (1953年の映画)","Q42405822","studio = [[大映]]（[[大映東京撮影所]]）{{Sfn"
"女経 (1960年の映画)","Q6269810","studio = [[大映]]（[[大映東京撮影所]]）{{Sfn"
"ブルー・ムービー","Q885812","studio = アンディ・ウォーホル・フィルムズ "
"ほら男爵の冒険 (映画)","Q569912","studio = [[ウーファ"
"コルベルク (映画)","Q706951","studio = [[ウーファ"
"NARC ナーク","Q1656994","studio = Splendid Pictures<br>[[:en:Emmett/Furla/Oasis Films"
"キングコブラ (2016年の映画)","Q23893043","studio = {{plainlist"
"真夏の夜の夢 (1935年の映画)","Q1305191","studio = [[ワーナー・ブラザース]] "
"ハンクの肉球大決戦","Q21450513","studio = [[フライング・タイガース・エンターテインメント]]<br />アライン<br />GFMアニメーション<br />HBウィンクアニメーション<br />アニベンチャー<br />[[シネサイト]] "
"魔の巣 Manos","Q691828","studio = [[Sun City Films]]<br>Norm-Iris Productions "
