"wikibase_item","CompanyID"
"Q51491","co0364894"
"Q453515","co0130922"
"Q216611","co0019779"
"Q20828223","co0436879"
"Q16106408","co0364226"
"Q6163548","co0139494"
"Q645024","co0036894"
"Q29904084","co0021358"
"Q7006678","co0083952"
"Q209055","co0014269"
"Q209055","co0035914"
"Q6591456","co0184093"
"Q6591456","co0102282"
"Q319083","co0004240"
"Q7150034","co0419306"
"Q5323317","co0090287"
"Q5323317","co0128193"
"Q5323317","co0020869"
"Q5323317","co0046830"
"Q5323317","co0066302"
"Q2121074","co0103009"
"Q96390297","co0184340"
"Q528185","co0144711"
"Q17386363","co0217434"
"Q7387318","co0016836"
"Q16105579","co0017741"
"Q22690141","co0529233"
"Q22690141","co0446708"
"Q22690141","co0362167"
"Q5162248","co0131612"
"Q6140580","co0054264"
"Q6140580","co0081793"
"Q6945355","co0104185"
"Q2973197","co0247997"
"Q16150557","co0417929"
"Q16150557","co0261269"
"Q16150557","co0398060"
"Q16150557","co0181418"
"Q16150557","co0454986"
"Q16150557","co0189807"
"Q16150557","co0189431"
"Q16150557","co0260469"
"Q16150557","co0121295"
"Q16150557","co0132355"
"Q16150557","co0444351"
"Q16150557","co0177828"
"Q16150557","co0358381"
"Q16150557","co0446897"
"Q16150557","co0160088"
"Q16150557","co0133573"
"Q16150557","co0393253"
"Q16150557","co0291254"
"Q16150557","co0146731"
"Q16150557","co0351557"
"Q16196002","co0122627"
"Q5449153","co0103210"
"Q6388209","co0052470"
"Q16731085","co0389143"
"Q6945358","co0104185"
"Q6945360","co0104185"
"Q6945362","co0104185"
"Q6945361","co0104185"
"Q7043913","co0305443"
"Q10840252","co0035224"
"Q6945364","co0104185"
"Q8197051","co0108980"
"Q6945357","co0104185"
"Q18151192","co0462791"
"Q6945363","co0104185"
"Q6945366","co0104185"
"Q6945354","co0104185"
"Q7149554","co0022067"
"Q21598215","co0247527"
"Q6945367","co0104185"
"Q29452993","co0332660"
"Q1536295","co0443180"
"Q17056844","co0440169"
"Q5448907","co0322677"
"Q6545273","co0171407"
"Q7229508","co0185861"
"Q6287627","co0016037"
"Q7342807","co0014905"
"Q7343295","co0074280"
"Q7351926","co0403861"
"Q5114050","co0074022"
"Q20687611","co0126611"
"Q4933675","co0124304"
"Q20744032","co0114189"
"Q7822101","co0071486"
"Q16187372","co0039806"
"Q5245206","co0327195"
"Q3728570","co0041878"
"Q714078","co0446046"
"Q8201516","co0247837"
"Q24042585","co0101294"
"Q26183050","co0116694"
"Q21065582","co0047633"
"Q154685","co0056253"
"Q6235651","co177677"
"Q3047494","co10693"
"Q6395749","co0038475"
"Q97940264","co0116702"
"Q528448","co0161063"
"Q16102553","co77956"
"Q30754133","co18897"
"Q8776769","co0255042"
"Q379171","co0031990"
"Q715159","co0153738"
"Q3731204","co0017758"
"Q16930213","co0037577"
"Q3938220","co0042004"
"Q3607492","co0129049"
"Q3328132","co0129117"
"Q22070169","co0089450"
"Q3938358","co0127404"
"Q3806555","co0068243"
"Q15864881","co0303653"
"Q3938324","co0035633"
"Q11558750","co0285615"
"Q3379794","co0052572"
"Q9350410","co0135461"
"Q9296332","co0121176"
"Q9345235","co0016585"
"Q724727","co0029542"
"Q19722177","co0016585"
"Q468121","co0315605"
"Q3589478","co0033794"
"Q4217038","co0021676"
"Q190214","co0105292"
"Q229784","co0233488"
"Q15931438","co0210424"
"Q6562271","co0114189"
"Q15379051","co355820"
"Q108908326","co0089918"
