"wikibase_item","PersonID","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"Q113987169","nm4308205","Nagi Anglo","\N","\N","director,assistant_director,actor","tt6839212,tt4172500,tt6219994,tt6839744"
"Q12217827","nm2200577","Seif Abol Naga","\N","\N","actor","tt0327682,tt1666287"
"Q12205148","nm4772209","Jirjes Jbarah","\N","\N","actor","tt1556046,tt1650844,tt19881322,tt8470384"
"Q106787479","nm9863072","Aly Kassem","\N","\N","actor","tt27259192,tt10935956,tt18573712,tt8526164"
"Q108124205","nm6917241","Jon Primo","\N","\N","director,camera_department,writer","tt4203666,tt7636116,tt5740850"
"Q12245843","nm5954763","Mona Hussain","\N","\N","actor","tt12421918,tt12624544,tt22497928,tt3196950"
"Q68168060","nm3526931","Aboelhassan Abbas","1964","\N","actor,writer","tt1459040,tt1982848,tt2769156,tt10503934"
"Q60577954","nm0007778","Ahmed Abaza","\N","\N","actor","tt0369517,tt0358976,tt0126513,tt0376612"
"Q60455242","nm10058846","Hager Al-Sharnouby","\N","\N","actress","tt12857284,tt27190394,tt6536704,tt7084536"
"Q20392404","nm9765093","Ayman Al Shewi","\N","\N","actor","tt9475502,tt4876506,tt3843078,tt0419787"
"Q105814964","nm11285843","Mohammed Otaka","\N","\N","actor,director","tt16252110,tt11638962,tt10515086,tt0960084"
"Q109298316","nm2034097","Azza Kamal","\N","\N","actress","tt7936544,tt10178996,tt6832764,tt1808463"
"Q12237903","nm1136022","Layla Fahmy","1938","2003","actress","tt0359366,tt0367213,tt0309658,tt2241455"
"Q22684354","nm7466671","Engy Abou Zaid","\N","\N","actress","tt14360120,tt6461966,tt10141742,tt4923740"
"Q82918","nm2241304","Saparmurat Niyazov","1940","2006",NA,"tt0123338"
"Q109299689","nm4894640","Angel Aaram","1947","\N","actress","tt7226792,tt2287825,tt28023400,tt5613796"
"Q108611088","nm10075073","Mohamed El-Saqqa","\N","\N","actor","tt10590502,tt0203613"
"Q60577348","nm4250512","Sabry Abdelaziz","\N","\N","actor","tt0358986,tt5579382,tt0498837,tt0373085"
"Q109256207","nm10600009","Tamer Nabil","\N","\N","actor","tt6909846,tt10935956,tt4003070,tt1795681"
"Q109256214","nm2778868","Dua Hegazi","\N","\N","actress","tt0419086,tt6448962,tt14236644,tt1664814"
"Q20423335","nm6890041","Mahmoud Abu Abbas","1956","\N","actor","tt4242538,tt10676126,tt12418408,tt12392220"
"Q108610889","nm4986695","Mahmoud El-Touni","\N","\N","actor","tt2339881,tt13722794,tt7302168,tt19858222"
"Q60573239","nm3357398","Wissam Saliba","\N","\N","actor,producer,director","tt1319699,tt2271697,tt2231329,tt13442632"
"Q108760897","nm9635901","Hussain Nazmi","\N","\N","actor","tt2339881,tt9062068,tt26007056"
"Q109249069","nm6394360","Nadia Al Kelani","\N","\N","actress","tt9275148,tt3637442,tt6520864"
"Q109256184","nm0201101","Mohamed Dardiri","\N","\N","actor","tt3107886,tt0208176,tt0091960,tt0492860"
