"title","wikibase_item","FilmID","status","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"مايكل غامبون","Q203545","tt3734688","not exact match","movie","Cordelia","Cordelia",0,"2019","\N","91","Drama,Horror,Thriller"
"آير فورس إيمي","Q3351955","tt0326596","not exact match","movie","Lesbian Ho'Down at the Bunnyranch","Lesbian Ho'Down at the Bunnyranch",1,"2000","\N","73","Adult"
"كازابلانكا (فيلم 2019)","Q60576357","tt10497826","not exact match","movie","Kasablanka","Casablanca",0,"2019","\N","105","Action,Thriller"
"بني آدم (فيلم)","Q67083871","tt8884336","not exact match","movie","Sons of Adam","Sons of Adam",0,"2018","\N","114","Crime,Drama,Mystery"
"سمير صبري","Q12216883","tt19783870","not exact match","tvMovie","Zekraiaty - Radio Show","Zekraiaty - Radio Show",0,"2016","\N","60","Biography"
"ساندرا بولوك","Q40791","tt0685721","not exact match","tvEpisode","Sandra Bullock","Sandra Bullock",0,"2002","\N","\N","\N"
"محمد محمود عبد العزيز","Q12240986","tt2330934","not exact match","tvSeries","Bab Al Khalk","Bab Al Khalk",0,"2012","\N","45","Comedy,Drama,Thriller"
"كلو جونز","Q432937","tt0159879","not exact match","tvSeries","Howard Stern","Howard Stern",0,"1994","2009","60","Comedy,Talk-Show"
"جون ويك 5","Q121862910","tt12844100","not exact match","movie","John Wick: Chapter 5","John Wick: Chapter 5",0,"\N","\N","\N","Action,Crime,Thriller"
"نيكولاس جاليتزين","Q90902600","tt3064356","not exact match","movie","The Beat Beneath My Feet","The Beat Beneath My Feet",0,"2014","\N","91","Comedy,Drama,Family"
"ريح البحر","Q60572949","tt1860301","not exact match","movie","Parfum de mer","Parfum de mer",0,"2006","\N","106","Drama"
"عمرو جمال (مخرج)","Q57158407","tt20357392","not exact match","tvSeries","Aden: The Art","Aden: The Art",0,"2021","2021","\N","History,Talk-Show"
"كلمة شرف","Q12235816","tt3553418","not exact match","movie","A Word of Honor","Kalimat Sharaf",0,"1972","\N","89","Crime,Drama,Thriller"
"هدى الإتربي","Q63122476","tt14557260","not exact match","tvSeries","Man's Shadow","Man's Shadow",0,"2021","\N","30","Drama"
