"title","wikibase_item","CompanyID","QID.imdb"
"Walt Disney Animation Studios","Q1047410","co0075995",NA
"Alvernia Studios","Q9149255","co0298884",NA
"Blue Sky Studios","Q885885","co0047265",NA
"Miramax","Q465449","co0022594",NA
"The Weinstein Company","Q1138789","co0150452",NA
"Roger Corman","Q318292","co0065427",NA
"Opus Film","Q15993918","co0054609",NA
"Goldwyn Pictures","Q179922","co0073678",NA
"Searchlight Pictures","Q953040","co0028932",NA
"Gaumont","Q913462","co0353668",NA
"Syrena Entertainment Group","Q9350410","co0135461",NA
"ITI Film Studio","Q9296332","co0121176",NA
"Touchstone Pictures","Q497155","co0049348",NA
"Avex","Q790686","co0007534",NA
"It’s a Laugh Productions","Q912601","co0135631",NA
"Stefan Nasfeter","Q9345235","co0016585",NA
"Hollywood Pictures","Q1348264","co0076240",NA
"Burbank Films Australia","Q4998158","co0101137",NA
"P.A. Works","Q1584469","co0185049",NA
"CinéGroupe","Q2973075","co0051822",NA
"Focus Features","Q649649","co0042399",NA
"Studio Ekran","Q4530492","co0111229",NA
"Kijewnauczfilm","Q16852254","co0114348",NA
"Working Title Films","Q2060840","co0057311",NA
"Playtone","Q1626895","co0036575",NA
"Mr. Mudd","Q922453","co0040322",NA
"Henry Jamison Handy","Q724727","co0029542",NA
"Zodiac Entertainment","Q8073230","co0237067",NA
"Biuro Filmowe Stefan Nasfeter","Q19722177","co0016585",NA
"Werner Herzog Filmproduktion","Q9372058","co0039268",NA
"Albfilm","Q2754549","co0014426",NA
"Looksfilm","Q22987866","co0143619",NA
"Lang Film","Q18345055","co0118003",NA
"Rat Pack Filmproduktion","Q1402681","co0065798",NA
"Stoopid Monkey","Q3499746","co0142485",NA
"Odyssey Entertainment","Q16999846","co0051747",NA
