"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Beata Tyszkiewicz","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|952|classification.ores.articletopic/Geography.Regions.Europe.Europe*|926|classification.ores.articletopic/Culture.Media.Media*|665|classification.ores.articletopic/Culture.Media.Films|500|classification.ores.articletopic/Culture.Biography.Biography*|877","Q435732","tt0344707","Proizshestvie na slyapata ulitza","not exact match",NA,NA
"Selena Gomez","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Biography.Women|507|classification.ores.articletopic/Culture.Media.Music|934|classification.ores.articletopic/Culture.Biography.Biography*|943|classification.ores.articletopic/Culture.Media.Films|592|recommendation.image_section/exists|1","Q83287","tt1067774","Monte Carlo","not exact match",NA,NA
"Jacek Braciak","classification.ores.articletopic/Culture.Media.Media*|724|classification.ores.articletopic/Geography.Regions.Europe.Europe*|507|classification.ores.articletopic/Culture.Media.Films|577|classification.ores.articletopic/Culture.Biography.Biography*|585","Q11715219","tt1175750","Zemsta","not exact match",NA,NA
"Mateusz Kościukiewicz","classification.ores.articletopic/Culture.Media.Films|919|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|877|classification.ores.articletopic/Geography.Regions.Europe.Europe*|859|classification.ores.articletopic/Culture.Biography.Biography*|984|classification.ores.articletopic/Culture.Media.Media*|880","Q6786690","tt3457372","Elixir","not exact match",NA,NA
"Vin Diesel","classification.ores.articletopic/Culture.Media.Media*|964|classification.ores.articletopic/Geography.Regions.Americas.North_America|622|classification.ores.articletopic/Culture.Media.Films|988|classification.ores.articletopic/Culture.Biography.Biography*|993|recommendation.image_section/exists|1","Q178166","tt1634106","Bloodshot","not exact match",NA,NA
"Christopher Lee","classification.ores.articletopic/Culture.Media.Films|651|classification.ores.articletopic/Culture.Biography.Biography*|743|classification.ores.articletopic/Culture.Media.Media*|904|recommendation.image_section/exists|1","Q180338","tt1957799","Theatre Macabre","not exact match",NA,NA
"Jake Gyllenhaal","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Culture.Biography.Biography*|787|classification.ores.articletopic/Culture.Media.Media*|979|recommendation.image_section/exists|1","Q133313","tt1855199","End of Watch","not exact match",NA,NA
"Olaf Lubaszenko","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|699|classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Culture.Media.Films|699|classification.ores.articletopic/Geography.Regions.Europe.Europe*|692|classification.ores.articletopic/Culture.Biography.Biography*|644","Q1937615","tt5538280","Episode #1.3","not exact match",NA,NA
"Tomasz Kot (aktor)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|724|classification.ores.articletopic/Culture.Biography.Biography*|839|classification.ores.articletopic/Culture.Media.Media*|685|classification.ores.articletopic/Culture.Media.Films|500|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|592","Q1881915","tt12531856","Joika","not exact match",NA,NA
"Meryl Streep","classification.ores.articletopic/Culture.Biography.Biography*|917|classification.ores.articletopic/Culture.Media.Films|874|classification.ores.articletopic/Culture.Biography.Women|822|classification.ores.articletopic/Culture.Media.Media*|948|recommendation.image_section/exists|1","Q873","tt0166943","Music of the Heart","not exact match",NA,NA
"O.J. Simpson","classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Media.Films|855","Q44473","tt2788432","American Crime Story","not exact match",NA,NA
"Simon Cowell","classification.ores.articletopic/Culture.Media.Films|562|classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Media.Television|890|classification.ores.articletopic/Culture.Media.Music|538|classification.ores.articletopic/Culture.Biography.Biography*|996","Q162629","tt2515086","One Direction: This Is Us","not exact match",NA,NA
"Kirk Douglas","classification.ores.articletopic/Culture.Biography.Biography*|928|classification.ores.articletopic/Geography.Regions.Americas.North_America|629|classification.ores.articletopic/Culture.Media.Films|901|classification.ores.articletopic/Culture.Media.Media*|968|recommendation.image_section/exists|1","Q104027","tt3203606","Trumbo","not exact match",NA,NA
"Sia (piosenkarka)","classification.ores.articletopic/Culture.Biography.Biography*|907|classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Media.Music|826|classification.ores.articletopic/Culture.Media.Films|577|recommendation.image_section/exists|1","Q181484","tt10554024","Now You Sia, Now You Don't!","not exact match",NA,NA
"Jadwiga Barańska","classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Geography.Regions.Europe.Europe*|546|classification.ores.articletopic/Culture.Biography.Women|760|classification.ores.articletopic/Culture.Biography.Biography*|966|classification.ores.articletopic/Culture.Media.Media*|760","Q455564","tt0076454","Nido de viudas","not exact match",NA,NA
"Roger Moore","classification.ores.articletopic/Culture.Media.Films|863|classification.ores.articletopic/Geography.Regions.Europe.Europe*|538|classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Culture.Biography.Biography*|995|recommendation.image_section/exists|1","Q134333","tt0223426","Happy Anniversary 007: 25 Years of James Bond","not exact match",NA,NA
"Sasha Grey","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Music|215|classification.ores.articletopic/Culture.Media.Films|916|classification.ores.articletopic/Culture.Biography.Biography*|673","Q2709","tt6189052","X-Rated 2: The Greatest Adult Stars of All Time!","not exact match",NA,NA
"Kamil Nożyński","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|919|classification.ores.articletopic/Geography.Regions.Europe.Europe*|855","Q65170204","tt9415108","The Auschwitz Report","not exact match",NA,NA
"Tom i Jerry","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Media.Films|997","Q131144","tt0274294",NA,NA,NA,NA
"Bill Skarsgård","classification.ores.articletopic/Culture.Biography.Biography*|282|classification.ores.articletopic/Culture.Media.Films|384|classification.ores.articletopic/Culture.Media.Media*|839","Q862460","tt2249179","Victoria","not exact match",NA,NA
"Carrie Fisher","classification.ores.articletopic/Geography.Regions.Americas.North_America|803|classification.ores.articletopic/Culture.Literature|577|classification.ores.articletopic/Culture.Media.Films|962|classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Culture.Media.Media*|939","Q108941","tt3453320","The Convention Conundrum","not exact match",NA,NA
"Mark Hamill","classification.ores.articletopic/Culture.Literature|675|classification.ores.articletopic/Culture.Media.Films|654|classification.ores.articletopic/STEM.Biology|704|classification.ores.articletopic/Culture.Media.Media*|895|classification.ores.articletopic/Culture.Biography.Biography*|678|classification.ores.articletopic/Culture.Media.Entertainment|579","Q210447","tt11930496","The Sword, the Fox and the Scooby-Doo!","not exact match",NA,NA
"John Wayne","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Geography.Regions.Americas.North_America|538|classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Culture.Media.Media*|979","Q40531","tt3203606","Trumbo","not exact match",NA,NA
"Format obrazu","classification.ores.articletopic/Culture.Media.Media*|746|classification.ores.articletopic/Culture.Media.Films|649|classification.ores.articletopic/STEM.STEM*|454","Q1441762","tt3460252","The Hateful Eight","not exact match",NA,NA
"Zorro","classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Media.Films|803|classification.ores.articletopic/Culture.Media.Media*|928|recommendation.link/exists|1|recommendation.image_section/exists|1","Q226822","tt0120746","The Mask of Zorro","not exact match",NA,NA
"Clark Gable","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Culture.Media.Films|962|classification.ores.articletopic/Geography.Regions.Americas.North_America|622|recommendation.image_section/exists|1","Q71243","tt0037494","Adventure","not exact match",NA,NA
"Maïwenn","classification.ores.articletopic/Geography.Regions.Europe.Europe*|754|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|629|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|972|classification.ores.articletopic/Culture.Media.Media*|938","Q201985","tt7019186",NA,NA,NA,NA
"Adriana Chechik","classification.ores.articletopic/STEM.Biology|145|classification.ores.articletopic/History and Society.Society|309|classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Biography.Biography*|666","Q19258497","tt5027236","Anchorwoman: A XXX Parody","not exact match",NA,NA
"Loki (sezon 2)","classification.ores.articletopic/Culture.Media.Television|884|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|994|classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Films|855|classification.ores.articletopic/Culture.Literature|989|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|990","Q112610403","tt9140554","Loki","not exact match",NA,NA
"Barbapapa","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Films|831|classification.ores.articletopic/Culture.Literature|531","Q755021","tt0304999","Barbapapa","match",NA,NA
"Orson Welles","classification.ores.articletopic/Culture.Media.Radio|796|classification.ores.articletopic/Culture.Media.Films|363|classification.ores.articletopic/Culture.Media.Music|195|classification.ores.articletopic/Geography.Regions.Americas.North America|882|classification.ores.articletopic/Culture.Media.Media*|794|classification.ores.articletopic/Culture.Sports|97|classification.ores.articletopic/Culture.Biography.Biography*|695","Q24829","tt0660834","The Phantom Farmhouse/Silent Snow, Secret Snow","not exact match",NA,NA
