"title","wikibase_item","Studio"
"Dragon Ball","Q2020","studio = [[Toei Animation]] "
"Czarodziejka z Księżyca","Q1643098","studio = [[Toei Animation]] "
"Dragon Ball Z","Q477916","studio = [[Toei Animation]] "
"Neon Genesis Evangelion","Q662","studio = [[Gainax]] "
"Cyberpunk: Edgerunners","Q96677963","studio = [[Trigger (studio)"
"Fullmetal Alchemist","Q189562","studio = [[Bones (studio)"
"Death Note","Q1834","studio = [[Madhouse (studio)"
"Haikyu!!","Q326642","studio = [[Production I.G]] "
"Black Clover","Q20638503","studio = [[Xebec"
"Bakugan: Młodzi wojownicy","Q632746","studio = [[TMS Entertainment]] "
"Akira","Q91486","studio = [[TMS Entertainment"
"Hamtaro – wielkie przygody małych chomików","Q696310","studio = [[TMS Entertainment"
"Sword Art Online","Q27863","studio = [[A-1 Pictures]] "
"Initial D","Q164883","studio = [[Pastel (studio anime)"
"Puella Magi Madoka Magica","Q53353","studio = [[Shaft (studio)"
"Gintama","Q764135","studio = [[Sunrise (studio)"
"Wojna planet","Q700127","studio = [[Tatsunoko Production]] "
"Darling in the Franxx","Q36498848","studio = [[CloverWorks]]<br />[[Trigger (studio)"
"Wirtualna Lain","Q858387","studio = [[Triangle Staff]] "
"Digimon Adventure","Q689114","studio = [[Toei Animation]] "
"Sonic X","Q428130","studio = [[TMS Entertainment]] "
"Shin-chan","Q120300","studio = Shin'ei Doga "
"Mistrzowie kaijudo","Q912997","studio = Hibari (odc. 1−90)<br />Nihon Animedia <small>(Zero Duel Masters)</small><br />A.C.G.T. (odc. 27−78)<br />[[Shogakukan-Shueisha Productions"
"Violet Evergarden","Q22101190","studio = Kyoto Animation "
"Bobobo-bo Bo-bobo","Q786853","studio = [[Toei Animation]] "
"Sailor Moon (anime)","Q17563016","studio = Tavac Studio "
"Sally czarodziejka","Q632755","studio = [[Toei Animation]] "
"Gantz (manga)","Q1057617","studio = [[Gonzo (studio)"
"Great Teacher Onizuka","Q457981","studio = [[Pierrot (przedsiębiorstwo)"
"Pamiętnik przyszłości","Q494357","studio = [[Asread]] "
"Sailor Moon Crystal","Q16138249","studio = [[Toei Animation]] "
"Superświnka","Q1315904","studio = [[Nippon Animation]] "
"Little Witch Academia","Q11348188","studio = [[Trigger (studio)"
"No Game No Life","Q11325839","studio = [[Madhouse (studio)"
"Kimba, biały lew","Q696580","studio = [[Mushi Production]] "
"Uchū no kishi Tekkaman Blade","Q1185522","studio = [[Tatsunoko Production]]<br />[[Sotsu Agency]] "
"Sailor Moon Sailor Stars","Q60963627","studio = Toei Animation "
"Akame ga Kill!","Q1525793","studio = [[White Fox]] "
"Cudowna podróż (serial animowany)","Q1072208","studio = [[Pierrot (przedsiębiorstwo)"
"Undead Girl Murder Farce","Q30922766","studio = [[Lapin Track]] "
"Transformerzy: Wojna o Energon","Q605856","studio = ACTAS, Inc., A-CAT (CG) "
"Pasożyt (manga)","Q945730","studio = [[Madhouse (studio)"
"Pojedynek Aniołów","Q2624529","studio = [[Knack Productions]] "
"B-Daman","Q495709","studio = [[Nippon Animedia]] "
"Grand Blue","Q20044054","studio = [[Zero-G]] "
"Fate/Zero","Q1141789","studio = [[Ufotable]] "
"Ajin (manga)","Q15732099","studio = [[Polygon Pictures]] "
"City Hunter","Q714064","studio = [[Sunrise (studio)"
"Aggretsuko","Q30324232","studio = Fanworks "
"Kill la Kill","Q13637192","studio = [[Trigger (studio)"
"Sailor Moon SuperS","Q17563017","studio = | telewizja = {{flaga"
"Sailor Moon S","Q17563018","studio = | telewizja = {{flaga"
"Appleseed","Q91499","studio = [[Bandai Visual]] "
"Urusei Yatsura","Q715723","studio = [[Pierrot (przedsiębiorstwo)"
"Sailor Moon R","Q12516209","studio = Tavac Studio "
"Tekkonkinkreet","Q111988774","studio = [[Studio 4°C]] "
"Fushigi no umi no Nadia","Q696455","studio = [[Gainax]] "
"Haganai – Nie mam wielu przyjaciół","Q482870","studio = [[Anime International Company]] "
"Seishun buta yarō","Q17502190","studio = [[CloverWorks]] "
"Sailor Moon R – Czarodziejka z Księżyca: Film kinowy","Q636444","studio = | wydany = [[5 grudnia]] [[1993]] "
"Tatakau Shisho","Q3267787","studio = [[David Production]] "
"Tao-Tao, mały miś panda","Q617266","studio = Japan, Germany "
"Pensjonat w zaświatach","Q46996408","studio = Gonzo "
"Sewayaki kitsune no Senko-san","Q60594242","studio = [[Doga Kobo]] "
"Digimon Tamers","Q696346","studio = [[Toei Animation]] "
"Detroit Metal City","Q1152489","studio = | telewizja = "
"Summer Wars","Q715526","studio = [[Madhouse (studio)"
"Kidō Senshi Zeta Gundam","Q698745","studio = [[Sunrise (studio)"
"Armitage III","Q688651","studio = [[Anime International Company"
"Yūsha Ō Gaogaigar","Q1071984","studio = [[Sunrise (studio)"
"Buddy Daddies","Q115087947","studio = [[P.A. Works]] "
"Dumbbell nan kilo moteru?","Q28688911","studio = [[Doga Kobo]] "
"Sailor Moon SuperS – Czarodziejka z Księżyca: Film kinowy","Q566098","studio = | wydany = 12 grudnia 1995 "
"Nodame Cantabile","Q1046959","studio = [[J.C.Staff]] "
"Pierwsza miłość Ami","Q2760773","studio = [[TV Asahi]] (ze współpracą innych firm) "
"Muzeum. Seryjny morderca śmieje się w deszczu","Q25208680","studio = | wydany = 12 listopada 2016 "
"Lu Lu i cudowny kwiat","Q700969","studio = [[Toei Animation]] "
"Tokijskie singielki i ich tęgie rozkminy","Q22128702","studio = |wydany = "
"Sōkō Kihei Votoms","Q965450","studio = [[Sunrise (studio)"
"Chōjū Kishin Dancouga","Q2602128","studio = [[Ashi Productions]] "
"Suisei no Gargantia","Q1707781","studio = [[Production I.G]] "
"Hinamatsuri (manga)","Q11330133","studio = [[Feel (studio)"
"Szczyt bogów","Q1526490","studio = [[Kadokawa Corporation]] "
"Czopi i księżniczka","Q2004363","studio = [[Mushi Production]] "
"Atashin’chi","Q703261","studio = [[Shin-Ei Animation]] "
"Maluda","Q705093","studio = [[Madhouse (studio)"
"Sailor Moon SuperS: Special","Q9332765","studio = [[TV Asahi]] "
"Mawaru Penguindrum","Q25059","studio = [[Brain’s Base]] "
"Penguin Highway","Q55284249","studio = [[Studio Colorido]] "
"Sword Art Online: Ordinal Scale","Q24238538","studio = [[A-1 Pictures]] "
"Aoki Ryūsei SPT Layzner","Q2453763","studio = [[Sunrise (studio)"
"Długo i szczęśliwie?!","Q3127189","studio = | wydany = "
"Kurosagi","Q616817","studio = | wydany = [[Tokyo Broadcasting System"
"Steins;Gate: Fuka Ryōiki no Déjà vu","Q7606919","studio = [[White Fox]] "
"Suppli","Q712498","studio = | wydany = "
"Brave Story","Q1314114","studio = [[Gonzo (studio)"
"Virus Buster Serge","Q7935290","studio = [[J.C.Staff]], Plum "
"Psycho-Pass (film)","Q18578673","studio = [[Production I.G]] "
"Absolutnie doskonały","Q196881","studio = | wydany = "
"Ingress (anime)","Q55614467","studio = Craftar "
"Chūgakusei nikki","Q56350024","studio = | wydany = "
