"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Джеймс Бонд","classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Culture.Media.Media*|974","Q2009573","tt2382320","No Time to Die","not exact match",NA,NA
"Пацаны (4-й сезон)","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Television|731|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|896|classification.ores.articletopic/Culture.Media.Films|743|classification.ores.articletopic/Culture.Literature|731|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|914","Q117719006","tt1190634","The Boys","not exact match",NA,NA
"Фильмография Джеки Чана","classification.ores.articletopic/Culture.Biography.Biography*|592|classification.ores.articletopic/Culture.Media.Films|877|classification.ores.articletopic/Culture.Media.Media*|959|classification.ores.articletopic/Geography.Regions.Asia.Asia*|507|recommendation.image_section/exists|1","Q948564","tt1528855",NA,NA,NA,NA
"Хоббит (кинотрилогия)","classification.ores.articletopic/Geography.Regions.Oceania|890|classification.ores.articletopic/Culture.Media.Media*|884|classification.ores.articletopic/Culture.Media.Films|592|recommendation.image_section/exists|1","Q74331","tt0903624","The Hobbit: An Unexpected Journey","not exact match",NA,NA
"Ганнибал Лектер","classification.ores.articletopic/Culture.Literature|679|classification.ores.articletopic/Culture.Media.Media*|863|classification.ores.articletopic/Culture.Media.Films|592","Q211013","tt0102926","The Silence of the Lambs","not exact match",NA,NA
"Дракула","classification.ores.articletopic/Culture.Media.Films|692|classification.ores.articletopic/Culture.Media.Media*|938|recommendation.image_section/exists|1","Q3266236","tt0337744","Vlad","not exact match",NA,NA
"Рассказчик (Бойцовский клуб)","classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Media.Media*|731|classification.ores.articletopic/Culture.Literature|651","Q4001141","tt0137523","Fight Club","not exact match",NA,NA
"Фильмография Марго Робби","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Biography.Women|930|classification.ores.articletopic/Culture.Media.Films|921|classification.ores.articletopic/Culture.Media.Television|712","Q89350371","tt5730698","Australian Psycho","not exact match",NA,NA
"Джей и Молчаливый Боб","classification.ores.articletopic/Culture.Media.Films|851|classification.ores.articletopic/History_and_Society.Society|562|classification.ores.articletopic/Culture.Media.Media*|839","Q369860","tt4168660","Randal's Monday","not exact match",NA,NA
"Анимация","classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Films|994","Q11425","tt0126029","Shrek","not exact match",NA,NA
