"title","wikibase_item","Distributor"
"Континенталь (мини-сериал)","Q47287975","distributor = |network = * [[Peacock (стриминговый сервис)"
"Кларисса (телесериал, 2021)","Q97187555","distributor = [[CBS Television Distribution]] "
"Аватар: Легенда об Аанге (сериал, 2024)","Q109608844","distributor = [[Netflix]] "
"Пенниуорт (телесериал)","Q57695644","distributor = [[Warner Bros. Television"
"Ковбой Бибоп (фильм)","Q1334287","distributor = [[Destination Films]] "
"Морская полиция: Гавайи","Q106623987","distributor = [[CBS Media Ventures]] "
"Волан-де-Морт: Корни наследника","Q30093942","distributor = | Год = 2018 "
"Утиная фабрика (телесериал)","Q7731128","distributor = [[20th Television]] "
"Mobile Suit Gundam: Char’s Counterattack","Q1363770","distributor = [[Shochiku]] "
"Майк Хаммер: Цепь убийств","Q23021207","distributor = [[CBS]]<br>[[Columbia Pictures Television]]<br>[[Sony Pictures Television]] "
"Парикмахерская (мини-сериал, 2015)","Q20017517","distributor = Turner Broadcasting System<br>[[Warner Bros. Television Distribution]] "
"Mobile Suit Gundam F91","Q2340234","distributor = [[Shochiku]] "
"Мотель «Ниагара»","Q251063","distributor = [[Mongrel Media]] (Canada) <br />[[Soda Pictures]] (United Kingdom) "
"Уличная кошка","Q4732186","distributor = [[Film Ventures International"
"Трудности любви","Q4464313","distributor = [[RDF Rights]]<ref name=rdfb&c>{{статья "
