"title","wikibase_item","CompanyID","QID.imdb"
"Список фильмов производства компании Уолта Диснея","Q835515","co0008970",NA
"Сага о Форсайтах","Q735319","co0103289",NA
"Роза Марена","Q468121","co0315605",NA
"Canal+","Q1032540","co0028557",NA
"Кристмас Филмз","Q4241295","co0034877",NA
"Команда Кусто","Q3589478","co0033794",NA
"Мастер-фильм","Q4284283","co0031998",NA
"Varus Video","Q48941632","co0091775",NA
"Анимос (кинокомпания)","Q48941505","co0160070",NA
"Премьер Видео Фильм","Q4377237","co0095832",NA
"Стайер (кинокомпания)","Q4439153","co0003048",NA
"Братья Боултинг","Q3181105","co0103294",NA
"The Star-Ledger","Q1024250","co0115347",NA
"Кинематограф Албании","Q581281","co0014426",NA
"2ПЛАN2","Q4030619","co0187256",NA
"Asia Television Limited","Q727145","co0011845",NA
"Айтыш Фильм","Q4059033","co0269649",NA
"Perspektywa","Q4046704","co0007869",NA
"BS Graphics","Q4034745","co0081122",NA
"Катаев, Виталий Витальевич","Q4217038","co0021676",NA
"Rise FX","Q55631737","co0318973",NA
"Revolver (кинокомпания, Канада)","Q4048222","co0164776",NA
"Lynch/Frost Productions","Q4043290","co0029640",NA
"Heron Communications","Q16251300","co0052823",NA
"Sfinks (киностудия)","Q4049342","co0011209",NA
