"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Нурмагомедов, Хабиб Абдулманапович","classification.ores.articletopic/Culture.Sports|989|classification.ores.articletopic/Culture.Biography.Biography*|843","Q3526023","nm5212228","Khabib Nurmagomedov","not exact match",NA,NA
"Юдашкин, Валентин Абрамович","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|855|classification.ores.articletopic/Geography.Regions.Europe.Europe*|826|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|960|classification.ores.articletopic/Geography.Regions.Asia.Asia*|926","Q3553614","nm1552738","Valentin Yudashkin","not exact match",NA,NA
"Кнорозов, Юрий Валентинович","classification.ores.articletopic/History and Society.Society|719|classification.ores.articletopic/History and Society.History|168|classification.ores.articletopic/Culture.Biography.Biography*|888","Q407741","nm2054767","Tiahoga Ruge","not exact match",NA,NA
"Marilyn Manson","classification.ores.articletopic/Culture.Media.Music|951|classification.ores.articletopic/Culture.Media.Media*|979|classification.ores.articletopic/Culture.Biography.Biography*|585","Q485893","nm0001504","Marilyn Manson","match",NA,NA
"Цигаль-Полищук, Мариэтта Сергеевна","classification.ores.articletopic/Culture.Biography.Biography*|984|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|798|classification.ores.articletopic/Culture.Media.Media*|749|classification.ores.articletopic/Geography.Regions.Europe.Europe*|743|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|737|classification.ores.articletopic/Geography.Regions.Asia.Asia*|685|classification.ores.articletopic/Culture.Media.Films|637","Q120279918","nm3529832","Marietta Tsigal-Polishchuk","not exact match",NA,NA
"Лоза, Евгения Фёдоровна","classification.ores.articletopic/Culture.Biography.Biography*|972|classification.ores.articletopic/Culture.Media.Media*|705","Q3572479","nm2548573","Evgeniya Loza","not exact match",NA,NA
"Ливия Друзилла","classification.ores.articletopic/History_and_Society.History|983|classification.ores.articletopic/Culture.Biography.Women|637|classification.ores.articletopic/Culture.Biography.Biography*|986","Q469701","nm0810738","Kasia Smutniak","not exact match",NA,NA
"Эфира, Виржини","classification.ores.articletopic/Culture.Media.Films|672|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Media.Media*|817|recommendation.image_section/exists|1","Q3560737","nm1812637","Virginie Efira","not exact match",NA,NA
"Ромарио","classification.ores.articletopic/Culture.Sports|997|classification.ores.articletopic/Culture.Biography.Biography*|959|classification.ores.articletopic/Geography.Regions.Americas.South_America|523","Q178649","nm0739838","Romário","not exact match",NA,NA
"Фильмография Робина Уильямса","classification.ores.articletopic/Culture.Biography.Biography*|938|classification.ores.articletopic/Culture.Media.Films|782|classification.ores.articletopic/Culture.Media.Media*|930","Q17157149","nm0000245","Robin Williams","not exact match",NA,NA
"Фильмография Армена Джигарханяна","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Culture.Biography.Biography*|600|classification.ores.articletopic/Culture.Media.Films|749|recommendation.image/exists|1","Q25384654","nm0246150","Armen Dzhigarkhanyan","not exact match",NA,NA
"Таинственный сад (книга)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|766|classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Biography.Biography*|538|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|907|classification.ores.articletopic/Culture.Literature|793|classification.ores.articletopic/Culture.Media.Books|685|recommendation.image_section/exists|1","Q472194","nm0122364","Frances Hodgson Burnett","not exact match",NA,NA
"Ясперс, Карл","classification.ores.articletopic/Culture.Philosophy_and_religion|980|classification.ores.articletopic/Geography.Regions.Europe.Europe*|507|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|644|classification.ores.articletopic/Culture.Biography.Biography*|995","Q76509","nm1747664","Karl Jaspers","not exact match",NA,NA
"Вальехо, Вирхиния","classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Geography.Regions.Americas.South_America|972","Q7934646","nm1761469","Andrés Calderón","not exact match",NA,NA
"Леди Годива","classification.ores.articletopic/Geography.Regions.Europe.Europe*|920|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|967|classification.ores.articletopic/Culture.Biography.Biography*|878|classification.ores.articletopic/History and Society.History|877|recommendation.image_section/exists|1","Q106077","nm0330352","Julia Swayne Gordon","not exact match",NA,NA
"Супермодель","classification.ores.articletopic/Culture.Visual_arts.Fashion|966|classification.ores.articletopic/Culture.Biography.Biography*|600|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|904|classification.ores.articletopic/Culture.Biography.Women|554","Q865851","nm0001381","Lauren Hutton","not exact match",NA,NA
