"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Nasir Dhagole","classification.ores.articletopic/Culture.Biography.Biography*|994|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|867|classification.ores.articletopic/Geography.Regions.Europe.Europe*|658|classification.ores.articletopic/Geography.Regions.Africa.Africa*|615","Q117768614","nm13622043","Nasir Dhagole","match",NA,NA
"Henrik Wahlström","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|987|classification.ores.articletopic/Geography.Regions.Europe.Europe*|945|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Biography.Women|863","Q117050788","nm5111855","Henrik Wahlström","match",NA,NA
"Carl Hamilton (litterär figur)","classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/Geography.Regions.Europe.Europe*|771|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|538","Q10443056","nm0377631","Krister Henriksson","not exact match",NA,NA
"Johnny Cash","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Media.Music|939|classification.ores.articletopic/Culture.Biography.Biography*|817","Q42775","nm0143602",NA,NA,"nm0143599",NA
"Sebastian Stakset","classification.ores.articletopic/Culture.Media.Music|771|classification.ores.articletopic/Geography.Regions.Europe.Europe*|932|classification.ores.articletopic/Culture.Media.Media*|569|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|960|classification.ores.articletopic/Culture.Biography.Biography*|997","Q28053728","nm6384912",NA,NA,"nm0465398",NA
"Jakob Setterberg","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|984|classification.ores.articletopic/Culture.Biography.Biography*|751|classification.ores.articletopic/Geography.Regions.Europe.Europe*|992|classification.ores.articletopic/Culture.Media.Media*|724","Q6173405","nm0786115","Jakob Setterberg","match",NA,NA
"Jean-Paul Sartre","classification.ores.articletopic/Geography.Regions.Europe.Europe*|712|classification.ores.articletopic/Culture.Philosophy_and_religion|771|classification.ores.articletopic/Culture.Biography.Biography*|896","Q9364","nm0003436","Simone de Beauvoir","not exact match","nm0765683",NA
"Martin Soneby","classification.ores.articletopic/Geography.Regions.Europe.Europe*|926|classification.ores.articletopic/Culture.Biography.Biography*|538|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|926","Q6183795","nm4832877","Martin Soneby","match",NA,NA
"Mike Tyson","classification.ores.articletopic/Geography.Regions.Americas.North_America|629|classification.ores.articletopic/Culture.Sports|987|classification.ores.articletopic/Culture.Biography.Biography*|851|recommendation.image_section/exists|1","Q79031","nm5512",NA,NA,"nm0005512",NA
"Sofia Wistam","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|982|classification.ores.articletopic/Culture.Biography.Women|515|classification.ores.articletopic/Geography.Regions.Europe.Europe*|961|classification.ores.articletopic/Culture.Biography.Biography*|992","Q3305426","nm0259410","Sofia Wistam","match",NA,NA
"Lars Norén","classification.ores.articletopic/Culture.Biography.Biography*|984|classification.ores.articletopic/Geography.Regions.Europe.Europe*|896|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|835","Q558837","nm0617914","Titti Mörk","not exact match","nm0636424",NA
"Jason Momoa","classification.ores.articletopic/Culture.Media.Media*|776|classification.ores.articletopic/Culture.Biography.Biography*|721|classification.ores.articletopic/Geography.Regions.Americas.North America|726","Q315271","nm424713",NA,NA,"nm0597388",NA
"Leif ""Loket"" Olsson","classification.ores.articletopic/Culture.Media.Media*|629|classification.ores.articletopic/Culture.Biography.Biography*|751|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|990|classification.ores.articletopic/Geography.Regions.Europe.Europe*|982","Q6027382","nm0648095","Leif 'Loket' Olsson","not exact match",NA,NA
"Dagny Carlsson (bloggare)","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|993|classification.ores.articletopic/Geography.Regions.Europe.Europe*|980|classification.ores.articletopic/Culture.Biography.Biography*|997|classification.ores.articletopic/Culture.Biography.Women|679","Q24018789","nm7983379","Dagny Carlsson","not exact match",NA,NA
"Jeffrey Dean Morgan","classification.ores.articletopic/Geography.Regions.Americas.North America|600|classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/Culture.Media.Television|840|classification.ores.articletopic/Culture.Biography.Biography*|732|recommendation.image_section/exists|1","Q342665","nm0604747",NA,NA,"nm0604742",NA
"Francesco Totti","classification.ores.articletopic/Culture.Biography.Biography*|956|classification.ores.articletopic/Geography.Regions.Europe.Europe*|868|classification.ores.articletopic/Geography.Regions.Europe.Southern Europe|709|classification.ores.articletopic/Culture.Sports|947|recommendation.image_section/exists|1","Q20110","nm2105399","Francesco Totti","match",NA,NA
"Henrik Jönsson (entreprenör)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|957|classification.ores.articletopic/Culture.Biography.Biography*|931|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|984","Q79145322","nm2866610","Henrik Jonsson","not exact match",NA,NA
"Robert Plant","classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Music|997|classification.ores.articletopic/Culture.Biography.Biography*|600","Q428223","nm686619",NA,NA,"nm0686619",NA
"Bröderna Dalton","classification.ores.articletopic/Culture.Biography.Biography*|360|classification.ores.articletopic/Geography.Regions.Americas.North America|894|classification.ores.articletopic/Culture.Sports|70|classification.ores.articletopic/History and Society.Politics and government|613|recommendation.image_section/exists|1","Q934918","nm0198276","Emmett Dalton","not exact match",NA,NA
"Filmtrilogin om Härskarringen","classification.ores.articletopic/Culture.Media.Films|946|classification.ores.articletopic/Culture.Biography.Biography*|376|classification.ores.articletopic/Culture.Media.Media*|947|recommendation.image_section/exists|1","Q190214","nm0026428","Bob Anderson","not exact match",NA,NA
"Ice Cube","classification.ores.articletopic/Culture.Biography.Biography*|826|classification.ores.articletopic/Culture.Media.Music|924|classification.ores.articletopic/Culture.Media.Media*|981","Q173637","nm1084",NA,NA,"nm0001084",NA
"Lonnie Frisbee","classification.ores.articletopic/Geography.Regions.Americas.North_America|724|classification.ores.articletopic/Culture.Biography.Biography*|963|classification.ores.articletopic/Culture.Philosophy_and_religion|979","Q1131456","nm1955208","Connie Bremer","not exact match",NA,NA
"Dustin Hoffman","classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Films|976|classification.ores.articletopic/Geography.Regions.Americas.North_America|760|classification.ores.articletopic/Culture.Media.Media*|979","Q42930","nm163",NA,NA,"nm0000163",NA
"Anne Reid","classification.ores.articletopic/Culture.Media.Television|963|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Culture.Biography.Biography*|881","Q2290416","nm0717179",NA,NA,"nm0717176",NA
"Steven Gerrard","classification.ores.articletopic/Culture.Sports|997|classification.ores.articletopic/Geography.Regions.Europe.Europe*|977|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|996|classification.ores.articletopic/Culture.Biography.Biography*|985|recommendation.image_section/exists|1","Q459830","nm1350448","Steven Gerrard","match",NA,NA
