"title","wikibase_item","CompanyID","QID.imdb"
"ABC Signature","Q287218","co0067205",NA
"Lista över Hanna-Barbera Productions tecknade TV-serier","Q10563322","co0024579",NA
"Playgirl","Q580633","co0065169",NA
"Filmåret 1917","Q923061","co0051651",NA
"Lista över Filmations tecknade TV-serier","Q10563304","co0030668",NA
"The 3DO Company","Q1062171","co0048923",NA
"Filmåret 1902","Q936395","co0051651",NA
"Fundament Film","Q10500097","co0227074",NA
"DePatie-Freleng Enterprises","Q2701539","co0020670",NA
"Family Home Entertainment","Q5433158","co0108311",NA
"Meteor Studios","Q3307342","co0085412",NA
"Lista över DFE:s tecknade TV-serier","Q10563286","co0020670",NA
"Weed Road Pictures","Q10719511","co0093488",NA
"Outerbanks Entertainment","Q7112041","co0048032",NA
