"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"The Fast and the Furious (filmserie)","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Media.Entertainment|500|classification.ores.articletopic/Culture.Media.Films|896|classification.ores.articletopic/Culture.Media.Video games|685|recommendation.link/exists|1|recommendation.image/exists|1","Q1576873","tt0232500","The Fast and the Furious","not exact match",NA,NA
"Ahsoka Tano","classification.ores.articletopic/Culture.Media.Media*|964|classification.ores.articletopic/Culture.Literature|951|classification.ores.articletopic/Culture.Media.Entertainment|454|classification.ores.articletopic/Culture.Media.Films|949","Q51755","tt8111088","The Mandalorian","not exact match",NA,NA
"Filmtrilogin om Härskarringen","classification.ores.articletopic/Culture.Media.Films|946|classification.ores.articletopic/Culture.Biography.Biography*|376|classification.ores.articletopic/Culture.Media.Media*|947|recommendation.image_section/exists|1","Q190214","tt0961079","Reclaiming the Blade","not exact match",NA,NA
"Helan och Halvan","classification.ores.articletopic/Culture.Media.Films|743|classification.ores.articletopic/Culture.Media.Entertainment|631|classification.ores.articletopic/Culture.Media.Media*|949","Q33497","tt0029747","Way Out West","not exact match",NA,NA
"Leia Organa","classification.ores.articletopic/Culture.Literature|987|classification.ores.articletopic/Culture.Media.Entertainment|632|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Culture.Media.Films|978|recommendation.image_section/exists|1","Q51797","tt2527338","Star Wars: Episode IX - The Rise of Skywalker","not exact match",NA,NA
"Spöket på Canterville","classification.ores.articletopic/Culture.Media.Films|341|classification.ores.articletopic/Culture.Media.Media*|976","Q288020","tt0115820","The Canterville Ghost","not exact match",NA,NA
"I min dotters namn","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Biography.Biography*|966|classification.ores.articletopic/Culture.Media.Films|921","Q112124764","tt14479480","Redemption","not exact match",NA,NA
"King Kong","classification.ores.articletopic/Culture.Media.Entertainment|441|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Geography.Regions.Asia.Asia*|662|classification.ores.articletopic/Geography.Regions.Asia.East Asia|797|classification.ores.articletopic/Culture.Media.Films|409|classification.ores.articletopic/Culture.Literature|868|recommendation.link/exists|1","Q216810","tt0024216","King Kong","match",NA,NA
"Kylo Ren","classification.ores.articletopic/Culture.Literature|970|classification.ores.articletopic/STEM.Biology|649|classification.ores.articletopic/Culture.Media.Films|954|classification.ores.articletopic/Culture.Media.Media*|979|recommendation.image_section/exists|1","Q21515016","tt2527338","Star Wars: Episode IX - The Rise of Skywalker","not exact match",NA,NA
"Nymphomaniac","classification.ores.articletopic/Geography.Regions.Europe.Europe*|777|classification.ores.articletopic/Culture.Media.Media*|973|classification.ores.articletopic/Culture.Media.Films|995","Q3346699","tt1937390","Nymphomaniac: Vol. I","not exact match",NA,NA
"Suheib Saleh","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|949|classification.ores.articletopic/Geography.Regions.Europe.Europe*|943|classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Media.Films|912|classification.ores.articletopic/Culture.Biography.Women|904","Q122773011","tt10587051",NA,NA,NA,NA
"Svensk film","classification.ores.articletopic/Geography.Regions.Europe.Europe*|955|classification.ores.articletopic/Culture.Biography.Biography*|351|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|985|classification.ores.articletopic/Culture.Media.Films|790|recommendation.image_section/exists|1","Q1199168","tt0115134","Cinema Europe: The Other Hollywood","not exact match",NA,NA
"Poison (film, 2023)","classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Books|985|classification.ores.articletopic/Culture.Literature|961|classification.ores.articletopic/Culture.Media.Films|870","Q122581782","tt28912885","Poison","not exact match",NA,NA
"Sanningen (TV-serie)","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|995|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|901|classification.ores.articletopic/Culture.Media.Television|965|classification.ores.articletopic/Geography.Regions.Europe.Europe*|960","Q116236175","tt19818812","Fallen","not exact match",NA,NA
"Filmåret 2008","classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Culture.Media.Films|988","Q430100","tt0795421","Mamma Mia!","not exact match",NA,NA
"Beck – Den tunna isen","classification.ores.articletopic/Geography.Regions.Europe.Europe*|969|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|955|classification.ores.articletopic/Culture.Media.Media*|938|classification.ores.articletopic/Culture.Media.Films|724","Q49103774","tt7696124","Den tunna isen","not exact match",NA,NA
"Filmåret 1983","classification.ores.articletopic/Culture.Media.Films|986|classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/History_and_Society.History|629","Q753317","tt0086190","Star Wars: Episode VI - Return of the Jedi","not exact match",NA,NA
"Laila Lockhart Kraner","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Culture.Biography.Women|629","Q120490100","tt5093452","Shots Fired","not exact match",NA,NA
"Filmåret 1996","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|985|recommendation.link/exists|1","Q735708","tt0116883","Lilla Jönssonligan och cornflakeskuppen","not exact match",NA,NA
"Filmåret 2006","classification.ores.articletopic/Culture.Media.Films|995|classification.ores.articletopic/Culture.Media.Media*|693|recommendation.link/exists|1","Q751946","tt0381061","Casino Royale","not exact match",NA,NA
"Lida (roman)","classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Literature|585|recommendation.image/exists|1","Q596874","tt0353590","Julie Ganapathy","not exact match",NA,NA
"Fiktiv dokumentärfilm","classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Culture.Media.Media*|994|recommendation.image/exists|1","Q8812380","tt0367090","Stargate: The Lowdown","not exact match",NA,NA
