"title","wikibase_item","Studio"
"Min granne Totoro","Q39571","studio = [[Studio Ghibli]] "
"Momo e no tegami","Q559417","studio = [[Production I.G]] "
"Det levande slottet","Q29011","studio = [[Studio Ghibli]] "
"Kikis expressbud","Q196602","studio = [[Studio Ghibli]] "
"Kimitachi wa dō ikiru ka","Q47482560","studio = [[Studio Ghibli]] "
"Kick-Ass (film)","Q2201","studio = Marv Films <br />[[Plan B Entertainment]] "
"Laputa – slottet i himlen","Q498577","studio = [[Studio Ghibli]] "
"Nausicaä från Vindarnas dal","Q8885676","studio = [[Topcraft]] "
"Neon Genesis Evangelion","Q662","studio = [[Gainax]] "
"Spirited Away","Q155653","studio = [[Studio Ghibli]] "
"Dragon Ball Z","Q477916","studio = [[Toei Animation]] "
"Ponyo på klippan vid havet","Q236728","studio = [[Studio Ghibli]] "
"Porco Rosso","Q498375","studio = [[Studio Ghibli]] "
"Det blåser upp en vind","Q888131","studio = [[Studio Ghibli]] "
"Prinsessan Mononoke","Q186572","studio = [[Studio Ghibli]] "
"Serial Experiments Lain","Q858387","studio = [[Triangle Staff]] "
"Cowboy Bebop","Q232246","studio = {{flaggbild"
"Om du lyssnar noga","Q842292","studio = [[Studio Ghibli]] "
"Eldflugornas grav","Q274520","studio = [[Studio Ghibli]] "
"The Way Back","Q575778","studio = [[National Geographic Films]] <br /> [[Spitfire Pictures]] <br /> [[Imagenation Abu Dhabi]] <br /> Film Fund Luxembourg "
"Musse Pigg på camping","Q540931","studio = [[Walt Disney Animation Studios"
"Tengen Toppa Gurren Lagann","Q4277","studio = [[Gainax]] "
"Den kloka hönan","Q1218820","studio = [[Walt Disney Productions]] "
"Legender från Övärlden","Q721737","studio = [[Studio Ghibli]] "
"Uppe på vallmokullen","Q194726","studio = [[Studio Ghibli]] "
"Tetsuwan Atom","Q673036","studio = [[MBS Productions]] "
"Katternas rike","Q51543","studio = [[Studio Ghibli]] "
"Digimon Adventure","Q689114","studio = [[TOEI Animation]] "
