"title","wikibase_item","Distributor"
"Moving","Q109317559","distributor = | budget = 650億[[韓圓]] "
"封神第一部：朝歌风云","Q67936237","distributor = 北京文化<br/>[[安樂影片]]（[[港澳]]）<br/>MM2 Entertainment/Shanghai Pictures（[[马来西亚—新加坡关系"
"蒼鷺與少年","Q47482560","distributor = {{flagicon"
"有生之年","Q122901366","distributor = [[聯利媒體股份有限公司]] "
"巨齒鯊2：海溝深淵","Q110842446","distributor = [[華納兄弟]] "
"想見你 (電視劇)","Q65056818","distributor = [[衛視中文台]] "
"不可能的任務：致命清算 第一章","Q61876370","distributor = [[派拉蒙影業]] "
"A.I.創世者","Q110617876","distributor = [[二十世紀影業]] "
"拆弹专家 (电影)","Q23987018","distributor = {{flagicon"
"奪魂鋸X","Q115734942","distributor = {{Plain list"
"那年盛夏我們綻放如花","Q114368405","distributor = | channel = [[ViuTV]] "
"財閥家的小兒子","Q110244733","distributor = [[Viu]] "
"私刑教育3","Q114818951","distributor = [[索尼影視娛樂]] "
"風再起時 (電影)","Q43734006","distributor = [[美亞娛樂]]<br/>[[橙天嘉禾"
"鬼修女II","Q111784581","distributor = [[華納兄弟]] "
"泰坦尼克号 (1997年电影)","Q44578","distributor = {{plainlist"
"奧本海默 (電影)","Q108839994","distributor = [[環球影業]] "
"拆弹专家2","Q62597210","distributor = {{flagicon"
"去有风的地方","Q115858835","distributor = | channel = [[湖南卫视]]、[[芒果TV]] "
"地獄里長","Q119941986","distributor = 風起娛樂有限公司 "
"黑暗荣耀","Q113197148","distributor = [[Netflix]] "
"坚如磐石","Q97178048","distributor = | released = {{film date"
"性愛自修室","Q55632932","distributor = [[Netflix]] "
"威尼斯魅影謀殺案","Q114589148","distributor = [[二十世紀影業]] "
"自由之聲","Q85847274","distributor = {{Plainlist"
"GT：跨界玩家","Q112909147","distributor = {{le"
"恐懼鬥室","Q486239","distributor = [[獅門娛樂]] "
"兄弟连","Q208048","distributor = HBO Home Entertainment "
"Barbie芭比","Q55436290","distributor = [[華納兄弟]] "
"亞蘇卡 (電視劇)","Q104153367","distributor = {{le"
"汉江刑警","Q121758204","distributor = [[Disney+]] "
"汪汪隊立大功","Q15106029","distributor = {{flagicon"
"元素方城市","Q112801489","distributor = [[華特迪士尼工作室電影]] "
"浴血任務4","Q108813842","distributor = {{Plain list"
"大法師：信徒","Q107610336","distributor = [[環球影業]] "
"伸冤人","Q13562643","distributor = [[哥倫比亞電影公司]] "
"五月雪","Q121076415","distributor = | released = 2023年9月4日（[[第80屆威尼斯影展"
"千与千寻","Q155653","distributor = {{flagicon"
"星际穿越","Q13417189","distributor = [[派拉蒙影业]]（北美）<br />[[華納兄弟]]（海外） "
"大法師","Q274167","distributor = [[華納兄弟]] "
"鬼修女","Q29841731","distributor = [[華納兄弟]] "
"疫起","Q117794013","distributor = [[威望國際"
"哈利波特系列電影","Q216930","distributor = [[華納兄弟"
"蜘蛛俠：飛躍蜘蛛宇宙","Q76448600","distributor = [[索尼影視娛樂]] "
"长安三万里","Q120725405","distributor = {{Plain list"
"死亡漩渦：奪魂鋸新遊戲","Q64590532","distributor = {{Plainlist"
"汪汪隊立大功：超級大電影","Q111918018","distributor = {{Plainlist"
"查無此心","Q115517210","distributor = [[華映娛樂]] "
"肖申克的救赎","Q172241","distributor = [[哥倫比亞影業]] "
"非常律師禹英禑","Q110118400","distributor = [[Netflix]]（國際） "
"亨利·休格的神奇故事 (電影)","Q110519496","distributor = [[Netflix]] "
"今際之國的闖關者 (電視劇)","Q103967305","distributor = [[Netflix]] "
"暗殺風暴","Q51950305","distributor = 新聯華娛樂 "
"寄生上流","Q61448040","distributor = {{tsl"
"色，戒 (電影)","Q718524","distributor = {{Plainlist"
"金刚川 (电影)","Q102967304","distributor = 中国电影股份有限公司（中国大陆）<br/>[[英皇電影]]（香港、澳門） "
"笨錢效應","Q114740513","distributor = {{tsl"
"龍與地下城：盜賊榮耀","Q105554572","distributor = 派拉蒙影業 "
"洛基 (電視劇)","Q64349029","distributor = {{le"
"亚森·罗宾 (电视剧)","Q104082429","distributor = [[Netflix]] "
"浴血黑帮","Q14944179","distributor = {{link-en"
"牯嶺街少年殺人事件","Q710745","distributor = [[中影股份有限公司]] "
"玩命關頭X","Q31271369","distributor = [[環球影業]] "
"少年謝爾頓","Q30014613","distributor = Warner Bros. Television Distribution "
"本日公休",NA,"distributor = 威視股份有限公司<br>伯樂影業股份有限公司 "
"瀑布 (電影)","Q108393005","distributor = [[索尼影業]] "
"萤火虫之墓","Q274520","distributor = {{flagicon"
"奪魂鋸：遊戲重啟","Q15712110","distributor = [[獅門影業]] "
"不可能的任務：致命清算 第二章","Q61876374","distributor = [[派拉蒙影業]] "
"無恥之徒 (美國電視劇)","Q23599","distributor = [[華納兄弟電視公司"
"让子弹飞","Q2633399","distributor = [[中国电影集团]]<br />[[英皇電影]]<br />东阳不亦樂乎電影文化發展有限公司 "
"無間道","Q714057","distributor = [[寰亞電影發行]] "
"隐藏人物","Q23755544","distributor = [[二十世紀福斯]] "
"藍甲蟲 (電影)","Q107808351","distributor = [[華納兄弟影片]] "
"点燃我，温暖你","Q115762242","distributor = [[优酷]] "
"紮職","Q15924351","distributor = [[英皇電影]] "
"哈尔的移动城堡","Q29011","distributor = {{flagicon"
"長江7號","Q609170","distributor = 中國大陸：<br/>[[中國電影集團公司]]<br/>[[保利博納電影發行有限公司]]<br/>全球（中國大陸除外）：<br/>[[哥倫比亞電影公司"
"機密特務：阿蓋爾","Q107460063","distributor = {{plainlist"
"媽的多重宇宙","Q83808444","distributor = [[A24 (公司)"
"霸王別姬 (電影)","Q696413","distributor = 湯臣(香港)電影有限公司 "
"少年吔，安啦！","Q5317017","distributor = [[雄威有限公司]] "
"私刑教育2","Q41493467","distributor = [[索尼影視娛樂]]<ref name=insight/> "
