"title","wikibase_item","CompanyID","QID.imdb"
"魔戒電影三部曲","Q190214","co0105292",NA
"皮克斯动画工作室","Q127552","co0017902",NA
"雷利·史考特","Q56005","co0074212",NA
"派拉蒙影業","Q159846","co0023400",NA
"A24 (公司)","Q16248298","co0390816",NA
"梦工厂动画","Q500088","co0129164",NA
"T-Series","Q7667850","co0145724",NA
"漫威影业","Q367466","co0051941",NA
"安樂影片","Q7243087","co0010281",NA
"顶峰娱乐","Q632323","co0046206",NA
"Avex trax","Q1988428","co0211526",NA
"传奇影业","Q621364","co0159111",NA
"照明娛樂","Q1189512","co0221986",NA
"华纳兄弟影业","Q8016302","co0456097",NA
"卢卡斯影业","Q242446","co0071326",NA
"光影魔幻工業","Q746676","co0072491",NA
"盛日影业","Q2415769","co0159772",NA
"藍天工作室","Q885885","co0047265",NA
"纽约科技学院","Q1709596","co0061366",NA
"Brazzers","Q903343","co0233682",NA
"索尼动画","Q1416835","co0121181",NA
"索尼影视电视","Q652390","co0086397",NA
"华纳兄弟动画公司","Q13416804","co0072876",NA
"维吉妮娅·马德森","Q229784","co0233488",NA
"Nadao Bangkok","Q29563269","co0493447",NA
"數位遊樂場","Q1224808","co0036370",NA
"标准收藏","Q1204187","co0097672",NA
"阿德曼动画","Q301092","co0103531",NA
"东方梦工厂","Q13420050","co0371886",NA
"日本家庭录像公司","Q3124776","co0037689",NA
"燕麥工作室","Q33105357","co0645562",NA
"威視電影","Q30950274","co0242091",NA
"光影風暴娛樂","Q775450","co0038663",NA
"联华影业公司","Q1536079","co0127501",NA
"Playboy TV","Q1479456","co0110195",NA
"西蒙·維森塔爾中心","Q311474","co27770",NA
"卢卡斯艺术","Q216611","co0019779",NA
"GALLOP (動畫工作室)","Q2296673","co0018399",NA
"燈籠娛樂","Q57650084","co0625235",NA
"成龍英皇影業","Q1114301","co0115014",NA
"Topcraft","Q3532077","co0063380",NA
"维塔数码","Q842482","co0005031",NA
"數字王國3.0","Q568817","co0011313",NA
"邪惡影像","Q1424253","co0072514",NA
"亚特拉斯娱乐","Q19747898","co0028338",NA
"安纳布尔纳影业","Q16242963","co0323215",NA
"亞壁古道影業","Q2858710","co0088354",NA
"普雷通公司","Q1626895","co0036575",NA
"孩之寶工作室","Q3783594","co0304983",NA
"联盟动画电影","Q679912","co0114162",NA
"Original Film","Q557387","co0112448",NA
"迪士尼卡通工作室","Q2081339","co0092035",NA
"双重否定 (视觉特效工作室)","Q2742913","co0105115",NA
"西基電腦動畫","Q15931438","co0210424",NA
"環球內容製作","Q7893895","co0242101",NA
"次元影業","Q908662","co0019626",NA
"協和電影公司","Q18343365","co0036859",NA
"陳氏影業","Q7681997","co0330076",NA
"節奏特效工作室","Q1431039","co0075252",NA
"黑馬漫畫改編電影列表","Q378189","co0020061",NA
"泰坦媒體","Q1611025","co0106975",NA
"迪士尼自然","Q2501552","co0236496",NA
"世界摔跤娱乐电影制片厂","Q1149935","co0108372",NA
"亞美尼亞電影作品列表","Q6562271","co0114189",NA
"安姬拉·夏納萊克","Q84409","co0050575",NA
"4th Creative Party","Q31177452","co0438038",NA
"克魯斯-華格納製片","Q3005562","co0012382",NA
"阿米爾汗製作","Q2820005","co0026618",NA
"1492影业","Q678058","co0046151",NA
"杜蒙電視網","Q1262316","co0071248",NA
"十字小溪影業","Q16249615","co0285648",NA
"TeamTO","Q15138646","co0272120",NA
"花開影業","Q4928436","co0176238",NA
"HBO电影","Q662081","co0005861",NA
"杜甫仁科电影制片厂","Q577589","co0114161",NA
"Spacetoon","Q497465","co0272333",NA
"墨臣艾禾里製片","Q2407366","co0128311",NA
"Les Cinémas de la zone","Q3231567","co0007481",NA
"尼尔街制作公司","Q6984198","co0165439",NA
"敖德萨电影制片厂","Q2628487","co0114125",NA
"沙哈蒙空電影國際有限公司","Q1040910","co0146612",NA
"蘇聯廣播","Q4972153","co0114181",NA
"里斯本戲劇與電影學校","Q1367284","co0022668",NA
"康威录音室","Q5166721","co0152961",NA
"南方電視台 (英國)","Q7696975","co0103547",NA
"Heaven Sent Gaming","Q17275459","co0487613",NA
"南澳影业公司","Q7566109","co0036887",NA
"ITV泰恩提茲","Q5975140","co0103533",NA
"梅森·尤因公司","Q28494249","co0682339",NA
"让·威廉·布鲁勒","Q15379051","co355820",NA
"Astron-6","Q4811599","co0314310",NA
"福寶堂","Q5507636","co0221774",NA
"吉澤商店","Q6134725","co0187091",NA
"第一印象工作室","Q5453219","co0010508",NA
"哈斯伍德电影公司","Q1074681","co0023675",NA
"丹佛和黛利拉製作公司","Q23016773","co0116500",NA
"幽視影業","Q17096536","co0440557",NA
"橫田商會","Q6135635","co0187091",NA
"弗朗切斯科·鲁利","Q5448907","co0322677",NA
"斯特拉斯电影公司","Q108908326","co0089918",NA
