"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"坚如磐石","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|977|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Geography.Regions.Asia.Asia*|973","Q97178048","tt11448070","Under the Light","not exact match",NA,NA
"志愿军：雄兵出击","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|955|classification.ores.articletopic/Geography.Regions.Asia.Asia*|919|classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Culture.Media.Media*|777","Q121725484","tt22185176","The Volunteers: To the War","not exact match",NA,NA
"洛基 (第二季)","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|893|classification.ores.articletopic/Culture.Literature|963|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|980|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|965|classification.ores.articletopic/Culture.Media.Television|847","Q112610403","tt9140554","Loki","not exact match",NA,NA
"哈利波特系列電影","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Media.Books|798|classification.ores.articletopic/Culture.Media.Films|964|classification.ores.articletopic/Culture.Literature|839|recommendation.image_section/exists|1","Q216930","tt0373889","Harry Potter and the Order of the Phoenix","not exact match",NA,NA
"查無此心","classification.ores.articletopic/Culture.Media.Films|980|classification.ores.articletopic/Geography.Regions.Asia.Asia*|893|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|826","Q115517210","tt22742070","The Abandoned","not exact match",NA,NA
"湯姆·克魯斯","classification.ores.articletopic/Culture.Media.Films|980|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Biography.Biography*|822|classification.ores.articletopic/Geography.Regions.Americas.North_America|760","Q37079","tt0117060","Mission: Impossible","not exact match",NA,NA
"速命道","classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Geography.Regions.Asia.Asia*|787|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|592|classification.ores.articletopic/Culture.Media.Films|965","Q116249820","tt27033991","Red Line","not exact match",NA,NA
"邁可·坎邦","classification.ores.articletopic/Culture.Biography.Biography*|826|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Media.Films|938","Q203545","tt3734688","Cordelia","not exact match",NA,NA
"劉冠廷","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|812|classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Media.Films|665|classification.ores.articletopic/Culture.Biography.Biography*|622|classification.ores.articletopic/Geography.Regions.Asia.Asia*|826","Q47664973","tt6684036","Specimen Memories","not exact match",NA,NA
"基利安·墨菲","classification.ores.articletopic/Geography.Regions.Europe.Europe*|787|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Media.Films|896|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|847","Q202589","tt0893399","Dali & I: The Surreal Story","not exact match",NA,NA
"新次元！蠟筆小新THE MOVIE 超能力大決戰 ～飛吧！手卷壽司～","classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Literature|909|classification.ores.articletopic/Culture.Media.Films|884|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|945|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|938|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|692|classification.ores.articletopic/Geography.Regions.Asia.Asia*|749","Q115657429","tt26862791","Shin Jigen! Crayon Shin-chan the Movie","not exact match",NA,NA
"連恩·尼遜","classification.ores.articletopic/Culture.Biography.Biography*|960|classification.ores.articletopic/Culture.Media.Films|948|classification.ores.articletopic/Culture.Media.Media*|924|recommendation.image_section/exists|1","Q58444","tt0936501","Taken","not exact match",NA,NA
"別叫我“賭神”","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|766|classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Media.Films|917|classification.ores.articletopic/Geography.Regions.Asia.Asia*|803","Q64822090","tt27766543",NA,NA,NA,NA
"变形金刚电影系列","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|930|classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Culture.Media.Films|957|classification.ores.articletopic/Culture.Media.Entertainment|835|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|917","Q2073466","tt4701182","Bumblebee","not exact match",NA,NA
"伊恩·麦凯伦","classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Biography.Biography*|826","Q170510","tt0611354","Episode #9.5","not exact match",NA,NA
"丹尼尔·拉德克利夫","classification.ores.articletopic/Culture.Biography.Biography*|890|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Media.Films|912|recommendation.image_section/exists|1","Q38119","tt5797184","Escape from Pretoria","not exact match",NA,NA
"魔戒電影三部曲","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Geography.Regions.Oceania|679|classification.ores.articletopic/Culture.Media.Films|980|recommendation.image_section/exists|1","Q190214","tt0961079","Reclaiming the Blade","not exact match",NA,NA
"女子監獄 (2023年電影)","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|855|classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|975|classification.ores.articletopic/Geography.Regions.Asia.Asia*|831","Q122313325","tt28814576","Nu zi jian yu","not exact match",NA,NA
"哈里森·福特","classification.ores.articletopic/Culture.Media.Films|992|classification.ores.articletopic/Geography.Regions.Americas.North_America|658|classification.ores.articletopic/Culture.Media.Media*|990|classification.ores.articletopic/Culture.Biography.Biography*|863|recommendation.image_section/exists|1","Q81328","tt3325392","Dalai Lama Awakening","not exact match",NA,NA
"侯孝賢","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|867|classification.ores.articletopic/Culture.Media.Films|980|classification.ores.articletopic/Geography.Regions.Asia.Asia*|890|classification.ores.articletopic/Culture.Biography.Biography*|699|classification.ores.articletopic/Culture.Media.Media*|957","Q435626","tt0107157","The Puppetmaster","not exact match",NA,NA
"張毓軒","classification.ores.articletopic/Culture.Media.Films|685|classification.ores.articletopic/Culture.Biography.Biography*|743|classification.ores.articletopic/Geography.Regions.Asia.Asia*|600|classification.ores.articletopic/Culture.Media.Music|523|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|615|classification.ores.articletopic/Culture.Media.Media*|936","Q122641790","tt21244414","The Moonlight is Shining Tonight","not exact match",NA,NA
