"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"鄭少秋","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|955|classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Geography.Regions.Asia.Asia*|952","Q704724","nm0155532","Adam Cheng","not exact match",NA,NA
"黃尚禾","classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Media.Films|884|classification.ores.articletopic/Geography.Regions.Asia.Asia*|749|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|749|classification.ores.articletopic/Culture.Biography.Biography*|672","Q16076403","nm4852825","Shang-Ho Huang","not exact match",NA,NA
"李千娜","classification.ores.articletopic/Geography.Regions.Asia.Asia*|855|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|817|classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Culture.Biography.Biography*|651","Q5562892","nm4193385","Chien-Na Lee","not exact match",NA,NA
"韓孝周","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|988|classification.ores.articletopic/Geography.Regions.Asia.Asia*|977|classification.ores.articletopic/Culture.Biography.Biography*|919|classification.ores.articletopic/Culture.Media.Media*|859|classification.ores.articletopic/Culture.Media.Films|507","Q494346","nm2174122","Han Hyo-joo","not exact match",NA,NA
"高允贞","classification.ores.articletopic/Culture.Biography.Biography*|808|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|953|classification.ores.articletopic/Geography.Regions.Asia.Asia*|953","Q97210760","nm10442995","Go Yoon-Jung","not exact match",NA,NA
"大卫·贝克汉姆","classification.ores.articletopic/Culture.Sports|995|classification.ores.articletopic/Geography.Regions.Europe.Europe*|718|classification.ores.articletopic/Culture.Biography.Biography*|909","Q10520","nm0065743","David Beckham","not exact match",NA,NA
"宫崎骏","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|743|classification.ores.articletopic/Culture.Literature|644|classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Geography.Regions.Asia.Asia*|554|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Films|787|recommendation.image_section/exists|1","Q55400","nm0594503","Hayao Miyazaki","not exact match",NA,NA
"倪妮","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Culture.Biography.Biography*|884|classification.ores.articletopic/Culture.Media.Films|839|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|968|classification.ores.articletopic/Geography.Regions.Asia.Asia*|957","Q3135165","nm4809043","Ni Ni","not exact match",NA,NA
"文詠珊","classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|546|classification.ores.articletopic/Culture.Biography.Biography*|812|classification.ores.articletopic/Geography.Regions.Asia.Asia*|637","Q6154296","nm2906761","Janice Man","not exact match",NA,NA
"周润发","classification.ores.articletopic/Geography.Regions.Asia.Asia*|952|classification.ores.articletopic/Culture.Biography.Biography*|787|classification.ores.articletopic/Culture.Media.Films|839|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|957|classification.ores.articletopic/Culture.Media.Media*|914","Q181425","nm0000334","Chow Yun-Fat","not exact match",NA,NA
"周杰倫","classification.ores.articletopic/Culture.Media.Media*|863|classification.ores.articletopic/Geography.Regions.Asia.Asia*|863|classification.ores.articletopic/Culture.Media.Music|569|classification.ores.articletopic/Culture.Biography.Biography*|500|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|859|recommendation.image_section/exists|1","Q238819","nm1727100","Jay Chou","not exact match",NA,NA
"于文文","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|863|classification.ores.articletopic/Geography.Regions.Asia.Asia*|867|classification.ores.articletopic/Culture.Biography.Biography*|831|classification.ores.articletopic/Culture.Media.Music|743|classification.ores.articletopic/Culture.Media.Media*|946|recommendation.image/exists|1","Q18651471","nm9531852","Kelly Yu","not exact match",NA,NA
"李正河","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|953|classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Geography.Regions.Asia.Asia*|951","Q69697261","nm12153847","Lee Jeong-Ha","not exact match",NA,NA
