"title","wikibase_item","Studio"
"封神第一部：朝歌风云","Q67936237","studio = {{Plain list"
"蒼鷺與少年","Q47482560","studio = [[吉卜力工作室]] "
"巨齒鯊2：海溝深淵","Q110842446","studio = {{Plainlist"
"不可能的任務：致命清算 第一章","Q61876370","studio = {{Plainlist"
"A.I.創世者","Q110617876","studio = {{Plain list"
"拆弹专家 (电影)","Q23987018","studio = {{flagicon"
"奪魂鋸X","Q115734942","studio = {{le"
"私刑教育3","Q114818951","studio = {{Plainlist"
"風再起時 (電影)","Q43734006","studio = {{flagicon"
"鬼修女II","Q111784581","studio = {{Plain list"
"泰坦尼克号 (1997年电影)","Q44578","studio = {{plainlist"
"奧本海默 (電影)","Q108839994","studio = {{Plain list"
"拆弹专家2","Q62597210","studio = {{flagicon"
"坚如磐石","Q97178048","studio = [[北京光线影业有限公司]]<br/>[[东阳瀚丽影视文化有限公司]] "
"威尼斯魅影謀殺案","Q114589148","studio = {{Plain list"
"自由之聲","Q85847274","studio = 聖達菲電影（{{lang"
"GT：跨界玩家","Q112909147","studio = {{Plainlist"
"恐懼鬥室","Q486239","studio = {{ubl"
"Barbie芭比","Q55436290","studio = {{Plainlist"
"元素方城市","Q112801489","studio = [[皮克斯動畫工作室]] "
"浴血任務4","Q108813842","studio = {{Plain list"
"大法師：信徒","Q107610336","studio = {{Plain list"
"伸冤人","Q13562643","studio = [[哥倫比亞影業]]<br />[[威秀电影]]<br />逃生藝術家 "
"千与千寻","Q155653","studio = [[吉卜力工作室]]"
"星际穿越","Q13417189","studio = {{Plainlist "
"大法師","Q274167","studio = Hoya Productions "
"鬼修女","Q29841731","studio = {{Plainlist"
"疫起","Q117794013","studio = {{Plainlist}} * 奇幻娛樂國際 * [[凱擘公司"
"哈利波特系列電影","Q216930","studio = [[華納兄弟"
"蜘蛛俠：飛躍蜘蛛宇宙","Q76448600","studio = {{Plainlist"
"长安三万里","Q120725405","studio = {{Plain list"
"死亡漩渦：奪魂鋸新遊戲","Q64590532","studio = {{le"
"汪汪隊立大功：超級大電影","Q111918018","studio = {{Plainlist"
"查無此心","Q115517210","studio = 興揚電影有限公司<br>溫柔鄉電影有限公司 "
"肖申克的救赎","Q172241","studio = [[城堡石娛樂公司]] "
"亨利·休格的神奇故事 (電影)","Q110519496","studio = {{le"
"今際之國的闖關者 (電視劇)","Q103967305","studio = | genre = 電視劇原聲帶 "
"暗殺風暴","Q51950305","studio = {{flagicon"
"金刚川 (电影)","Q102967304","studio = [[中国电影股份有限公司]]<br/>七印象影视传媒（海口）有限公司<br/>郭帆文化传媒（北京）有限公司<br/>北京自由酷鲸影业有限公司<br/>[[华夏电影发行有限责任公司]]<br/>[[华谊兄弟"
